,代号,名字,占净值比例,持股数(万股),持仓市值(万元)
171,300251,光线传媒,0.11%,0.61,4.14
172,002640,跨境通,0.11%,0.49,4.08
173,601880,大连港,0.11%,1.90,4.05
174,603816,顾家家居,0.10%,0.12,3.85
175,600317,营口港,0.10%,1.34,3.70
176,601326,秦港股份,0.09%,0.98,3.56
177,300133,华策影视,0.09%,0.52,3.52
178,603515,欧普照明,0.09%,0.11,3.45
179,601236,红塔证券,0.09%,0.98,3.39
180,000564,供销大集,0.08%,1.24,3.24
181,600233,圆通速递,0.08%,0.25,3.08
182,603233,大参林,0.08%,0.07,3.06
183,601828,美凯龙,0.08%,0.25,3.04
184,600754,锦江酒店,0.08%,0.12,2.96
185,603866,桃李面包,0.08%,0.07,2.92
186,000869,张裕A,0.08%,0.09,2.89
187,002382,蓝帆医疗,0.07%,0.20,2.76
188,002925,盈趣科技,0.07%,0.07,2.73
189,601127,小康股份,0.07%,0.20,2.62
190,600707,彩虹股份,0.06%,0.49,2.45
191,300459,金科文化,0.06%,0.41,2.33
192,600350,山东高速,0.06%,0.46,2.21
193,300782,卓胜微,0.06%,0.02,2.16
194,600968,海油发展,0.05%,0.58,2.07
195,601698,中国卫通,0.04%,0.42,1.64
196,601019,山东出版,0.04%,0.21,1.63
197,603867,新化股份,0.04%,0.06,1.62
198,603486,科沃斯,0.03%,0.04,1.27
199,300594,朗进科技,0.03%,0.03,1.19
200,603868,飞科电器,0.03%,0.03,1.17
201,603056,德邦股份,0.03%,0.08,1.13
202,601298,青岛港,0.01%,0.06,0.50
203,600733,北汽蓝谷,0.01%,0.04,0.33
204,600299,安迪苏,0.01%,0.03,0.31
205,002946,新乳业,0.00%,0.01,0.15
