,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma2,ma_v_2,ma3,ma_v_3,ma4,ma_v_4,ma5,ma_v_5,ma8,ma_v_8,ma10,ma_v_10,ma15,ma_v_15,ma20,ma_v_20
0,20190830,300506.SZ,8.17,8.17,8.0,8.07,8.05,0.02,0.2484,36577.2,29595.412,0.9136,1.04,8.06,35183.175,8.1,36647.6733,8.145,36753.38,8.144,36524.514,8.2287,39992.6113,8.266,49484.748,8.0887,40497.0327,8.038,42685.4115
1,20190829,300506.SZ,8.2,8.28,8.04,8.05,8.18,-0.13,-1.5892,33789.15,27365.98,0.8439,0.94,8.115,36682.91,8.17,36812.1067,8.1625,36511.3425,8.186,35090.734,8.3012,49881.3737,8.238,48712.32,8.0653,39968.516,8.051,43109.237
2,20190828,300506.SZ,8.28,8.28,8.12,8.18,8.28,-0.1,-1.2077,39576.67,32397.528,0.9885,0.94,8.23,38323.585,8.2,37418.74,8.22,35416.13,8.26,35981.834,8.3175,53060.1412,8.207,47376.823,8.0467,39932.7987,8.071,42888.9505
3,20190827,300506.SZ,8.15,8.36,8.15,8.28,8.14,0.14,1.7199,37070.5,30704.258,0.9259,0.64,8.21,36339.775,8.2333,34029.2833,8.28,35083.125,8.306,41999.574,8.2688,51719.6725,8.164,45990.316,8.0233,40519.4147,8.0855,42431.1135
4,20190826,300506.SZ,8.2,8.2,8.04,8.14,8.28,-0.14,-1.6908,35609.05,28895.6,0.8894,0.57,8.21,32508.675,8.28,34420.6667,8.3125,43231.8425,8.38,57722.934,8.2012,49640.1325,8.101,43999.636,7.9953,44903.964,8.097,42453.4685
5,20190823,300506.SZ,8.47,8.53,8.26,8.28,8.42,-0.14,-1.6627,29408.3,24574.584,0.7345,0.47,8.35,33826.475,8.37,45772.7733,8.44,63251.405,8.388,62444.982,8.1525,48402.9512,8.061,42483.292,8.0027,44739.044,8.1155,43120.475
6,20190822,300506.SZ,8.4,8.54,8.33,8.42,8.41,0.01,0.1189,38244.65,32247.071,0.9552,0.65,8.415,53955.01,8.4933,74532.44,8.415,70704.1525,8.29,62333.906,8.0738,46872.3762,8.005,42407.407,8.006,45782.0713,8.123,43572.3
7,20190821,300506.SZ,8.53,8.59,8.36,8.41,8.65,-0.24,-2.7746,69665.37,58858.182,1.74,1.39,8.53,92676.335,8.4133,81523.9867,8.2575,68356.22,8.154,58771.812,7.9887,44647.4962,7.94,41908.281,8.008,45191.3227,8.1325,43445.7375
8,20190820,300506.SZ,8.12,9.0,8.12,8.65,8.18,0.47,5.7457,115687.3,99097.897,2.8894,3.82,8.415,87453.295,8.2067,67919.8367,8.09,56048.4225,8.022,49981.058,7.9025,39520.5062,7.882,39779.335,8.012,42574.96,8.153,41501.6565
9,20190819,300506.SZ,7.99,8.18,7.99,8.18,7.79,0.39,5.0064,59219.29,47980.001,1.4791,2.63,7.985,44036.105,7.9033,36168.7967,7.865,33554.4975,7.822,30276.338,7.7925,29216.2675,7.803,38494.479,8.0027,37363.6467,8.159,36757.1165
