,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma2,ma_v_2,ma3,ma_v_3,ma4,ma_v_4,ma5,ma_v_5,ma8,ma_v_8,ma10,ma_v_10,ma15,ma_v_15,ma20,ma_v_20
0,20190830,601949.SH,6.49,6.63,6.15,6.31,6.55,-0.24,-3.6641,301142.98,192582.27,7.5097,1.88,6.43,341145.255,6.3367,275789.8967,6.25,232374.3725,6.184,202896.384,6.0512,160829.4987,5.975,151312.584,5.786,120298.432,5.7145,108631.256
1,20190829,601949.SH,6.27,6.69,6.11,6.55,6.15,0.4,6.5041,381147.53,244617.917,9.5048,3.67,6.35,263113.355,6.23,209451.5033,6.1525,178334.735,6.096,159931.804,5.975,137910.8575,5.89,129687.024,5.73,103210.8333,5.692,98018.7415
2,20190828,601949.SH,6.01,6.16,5.9,6.15,5.99,0.16,2.6711,145079.18,88122.179,3.6179,1.58,6.07,123603.49,6.02,110730.47,5.9825,104627.8725,5.96,103770.894,5.8613,103854.4163,5.764,98339.101,5.66,81256.198,5.6645,81902.915
3,20190827,601949.SH,5.94,6.11,5.88,5.99,5.92,0.07,1.1824,102127.8,61491.782,2.5468,1.08,5.955,93556.115,5.9267,91144.1033,5.9125,93443.8225,5.88,91853.26,5.775,96330.4413,5.682,88428.401,5.612,75828.7367,5.66,77790.656
4,20190826,601949.SH,5.71,5.97,5.67,5.92,5.87,0.05,0.8518,84984.43,49775.962,2.1193,0.85,5.895,85652.255,5.8867,90549.1633,5.8525,89284.625,5.822,94986.47,5.6875,92023.0038,5.628,82691.151,5.5733,77411.7753,5.6645,75694.466
5,20190823,601949.SH,5.88,5.92,5.8,5.87,5.87,0.0,0.0,86320.08,50667.936,2.1526,0.87,5.87,93331.53,5.83,90718.0233,5.7975,97486.98,5.766,99728.784,5.6137,87146.4725,5.587,78999.456,5.558,77209.5467,5.672,74807.8395
6,20190822,601949.SH,5.78,5.93,5.78,5.87,5.75,0.12,2.087,100342.98,58972.605,2.5023,1.08,5.81,92916.995,5.7733,101209.28,5.74,103080.96,5.684,99442.244,5.5613,81950.875,5.547,74850.348,5.5573,77381.054,5.6855,75267.6565
7,20190821,601949.SH,5.71,5.8,5.7,5.75,5.7,0.05,0.8772,85491.01,49263.525,2.1319,1.01,5.725,101642.43,5.6967,103993.62,5.6375,99217.06,5.568,92907.308,5.5163,75416.4375,5.51,69998.85,5.566,74613.5887,5.6975,74126.3575
8,20190820,601949.SH,5.64,5.82,5.64,5.7,5.64,0.06,1.0638,117793.85,67700.983,2.9375,1.67,5.67,113244.925,5.6,103792.41,5.5225,94761.3825,5.484,85003.542,5.4813,70333.6863,5.478,67816.475,5.5867,73103.1213,5.7165,74003.257
9,20190819,601949.SH,5.44,5.66,5.43,5.64,5.46,0.18,3.2967,108696.0,60755.38,2.7106,1.87,5.55,96791.69,5.4633,87083.8933,5.43,76805.965,5.434,70395.832,5.4562,62087.955,5.449,68624.428,5.612,69263.798,5.732,70218.949
10,20190816,601949.SH,5.29,5.49,5.28,5.46,5.29,0.17,3.2136,84887.38,46065.731,2.1169,1.69,5.375,76277.84,5.36,66175.9533,5.3825,60820.79,5.408,58270.128,5.43,56459.3625,5.454,65949.928,5.6407,66500.858,5.748,69628.699
11,20190815,601949.SH,5.24,5.34,5.14,5.29,5.33,-0.04,-0.7505,67668.3,35281.541,1.6875,1.44,5.31,56820.24,5.3567,52798.5933,5.395,51615.815,5.41,50258.452,5.4237,61582.6125,5.494,66350.459,5.686,67209.4607,5.781,69320.239
12,20190814,601949.SH,5.42,5.46,5.33,5.33,5.35,-0.02,-0.3738,45972.18,24833.718,1.1464,0.91,5.39,45363.74,5.43,46264.9867,5.44,45905.99,5.452,47090.392,5.4737,63367.95,5.565,65466.729,5.7407,67866.0407,5.824,73605.324
13,20190813,601949.SH,5.48,5.49,5.39,5.45,5.51,-0.06,-1.0889,44755.3,24294.346,1.1161,0.67,5.48,46411.39,5.4767,45883.9267,5.4825,47369.945,5.472,50629.408,5.54,68733.0138,5.638,67152.911,5.794,70336.4953,5.8745,79234.565
14,20190812,601949.SH,5.5,5.51,5.43,5.51,5.47,0.04,0.7313,48067.48,26331.033,1.1987,0.65,5.49,46448.24,5.4933,48241.4933,5.4775,52097.935,5.464,66853.024,5.6087,70492.4763,5.701,68697.781,5.8313,70159.988,5.917,83088.284
15,20190809,601949.SH,5.54,5.58,5.46,5.47,5.5,-0.03,-0.5455,44829.0,24725.118,1.1179,0.54,5.485,48328.5,5.4667,53441.42,5.4525,71549.41,5.5,73629.728,5.6775,72338.2913,5.757,70616.223,5.8613,73414.8893,5.9505,86323.6865
16,20190808,601949.SH,5.45,5.53,5.44,5.5,5.43,0.07,1.2891,51828.0,28501.635,1.2925,0.62,5.465,57747.63,5.4467,80456.2133,5.5075,80829.91,5.578,82442.466,5.7537,74260.1663,5.824,75684.965,5.9047,75674.168,5.9855,88585.3455
17,20190807,601949.SH,5.47,5.49,5.38,5.43,5.41,0.02,0.3697,63667.26,34651.385,1.5877,0.76,5.42,94770.32,5.51,90497.2133,5.5975,90096.0825,5.678,83843.066,5.825,76188.1538,5.885,78253.865,5.948,82443.6347,6.0155,89604.0545
