,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma2,ma_v_2,ma3,ma_v_3,ma4,ma_v_4,ma5,ma_v_5,ma8,ma_v_8,ma10,ma_v_10,ma15,ma_v_15,ma20,ma_v_20
0,20190830,000006.SZ,5.43,5.46,5.26,5.3,5.42,-0.12,-2.214,128738.04,68793.58,0.9548,0.85,5.36,160156.84,5.36,140895.1133,5.3625,141996.375,5.368,141614.504,5.4137,198721.1688,5.426,229960.144,5.2613,168362.8013,5.1905,136127.124
1,20190829,000006.SZ,5.33,5.55,5.31,5.42,5.36,0.06,1.1194,191575.64,103909.78,1.4209,1.06,5.39,146973.65,5.3833,146415.82,5.385,144833.62,5.394,151202.12,5.4437,263656.565,5.388,223593.603,5.238,161242.5413,5.182,132913.145
2,20190828,000006.SZ,5.34,5.37,5.3,5.36,5.37,-0.01,-0.1862,102371.66,54613.539,0.7593,0.44,5.365,123835.91,5.3733,129252.9467,5.3875,141108.74,5.42,181298.926,5.4425,247410.97,5.333,210823.342,5.2073,150402.732,5.1735,125195.006
3,20190827,000006.SZ,5.4,5.44,5.34,5.37,5.39,-0.02,-0.3711,145300.16,78316.54,1.0776,0.44,5.38,142693.59,5.3967,154021.1,5.435,201030.7425,5.446,233416.802,5.3875,242748.5912,5.291,205400.723,5.18,145932.5127,5.17,122241.4215
4,20190826,000006.SZ,5.25,5.4,5.23,5.39,5.43,-0.04,-0.7366,140087.02,74735.741,1.039,0.44,5.41,158381.57,5.4567,219607.6033,5.465,255445.9625,5.48,334001.012,5.325,232570.2,5.249,193294.764,5.15,140824.3987,5.1675,117033.856
5,20190823,000006.SZ,5.54,5.54,5.41,5.43,5.55,-0.12,-2.1622,176676.12,96356.142,1.3104,0.6,5.49,259367.895,5.49,293898.9433,5.5025,382479.51,5.484,318305.784,5.2687,221077.5062,5.208,181736.95,5.1313,134297.9973,5.1645,111553.9565
6,20190822,000006.SZ,5.52,5.67,5.5,5.55,5.49,0.06,1.0929,342059.67,190954.149,2.537,1.42,5.52,352510.355,5.5267,451080.64,5.4975,353713.2,5.382,295985.086,5.2087,202023.0625,5.16,166262.752,5.1113,126816.82,5.161,105654.375
7,20190821,000006.SZ,5.44,5.58,5.28,5.49,5.54,-0.05,-0.9025,362961.04,197239.179,2.692,2.05,5.515,505591.125,5.48,357597.71,5.34,284466.44,5.246,240347.758,5.1375,162329.2137,5.101,134954.635,5.0913,106493.6993,5.1555,94118.4755
8,20190820,000006.SZ,5.89,5.89,5.48,5.54,5.41,0.13,2.403,648221.21,370814.196,4.8077,12.33,5.475,354916.045,5.29,258301.5733,5.185,209694.4375,5.136,177384.644,5.07,119700.8512,5.047,102190.368,5.078,85182.9613,5.1555,81743.235
9,20190819,000006.SZ,5.41,5.41,5.41,5.41,4.92,0.49,9.9593,61610.88,33331.486,0.4569,1.36,5.165,63341.755,5.0667,63518.8467,5.035,59675.5025,5.018,52588.516,4.9975,42295.5125,4.985,44236.092,5.0633,44711.4707,5.1455,51539.558
