,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma2,ma_v_2,ma3,ma_v_3,ma4,ma_v_4,ma5,ma_v_5,ma8,ma_v_8,ma10,ma_v_10,ma15,ma_v_15,ma20,ma_v_20
0,20190830,300226.SZ,77.36,77.62,75.1,75.3,76.82,-1.52,-1.9787,14478.32,110404.928,0.9475,0.85,76.06,12306.475,76.4567,12819.4233,76.84,16224.885,76.582,17000.904,76.3688,15957.0262,76.463,18129.157,75.15,18417.06,73.594,19157.225
1,20190829,300226.SZ,77.99,77.99,76.51,76.82,77.25,-0.43,-0.5566,10134.63,78060.239,0.6627,0.57,77.035,11989.975,77.3533,16807.0733,76.9025,17631.55,76.642,17120.99,76.565,16608.0012,76.203,18257.625,74.69,18508.9727,73.5035,19820.259
2,20190828,300226.SZ,78.46,78.46,76.52,77.25,77.99,-0.74,-0.9488,13845.32,106872.435,0.9054,0.78,77.62,20143.295,76.93,20130.5233,76.5975,18867.58,76.494,17726.392,76.5638,19584.8275,75.766,18561.449,74.1493,18634.3393,73.4395,20239.491
3,20190827,300226.SZ,75.9,79.29,75.9,77.99,75.55,2.44,3.2296,26441.27,206256.302,1.7291,1.6,76.77,23273.125,76.38,20541.6667,76.305,18696.66,76.316,17839.588,75.995,19824.5375,75.241,19268.259,73.5527,19073.218,73.3955,20803.295
4,20190826,300226.SZ,74.08,77.27,73.83,75.55,75.6,-0.05,-0.0661,20104.98,152298.5,1.3147,1.04,75.575,17591.865,75.7433,16115.1233,75.8975,15689.1675,76.092,16488.558,75.3025,18165.9875,74.74,18331.412,72.9127,19440.8847,73.3785,20748.522
5,20190823,300226.SZ,76.2,76.69,75.29,75.6,76.08,-0.48,-0.6309,15078.75,114438.199,0.9861,0.78,75.84,14120.195,76.0133,14217.23,76.2275,15584.4525,76.344,19257.41,74.8588,18267.0425,74.434,19125.138,72.598,19875.9987,73.4765,20659.8225
6,20190822,300226.SZ,76.36,76.76,75.36,76.08,76.36,-0.28,-0.3667,13161.64,100089.51,0.8607,0.68,76.22,13786.47,76.4367,15753.02,76.53,20302.075,75.764,19394.26,74.5313,18516.2987,73.714,19202.964,72.4573,20720.0153,73.5695,20888.708
7,20190821,300226.SZ,76.13,77.33,76.0,76.36,76.87,-0.51,-0.6635,14411.3,110501.382,0.9424,0.7,76.615,17048.71,76.68,22682.22,75.685,20952.415,75.038,19396.506,74.0825,20376.3737,72.977,19088.313,72.4213,21077.1907,73.6155,22154.4275
8,20190820,300226.SZ,76.99,77.95,76.01,76.87,76.81,0.06,0.0781,19686.12,151732.558,1.2873,0.98,76.84,26817.68,75.46,23132.7867,74.7075,20642.8075,74.166,20696.93,73.0875,20557.0875,72.171,19690.033,72.422,21791.1973,73.435,22180.051
9,20190819,300226.SZ,73.61,77.45,73.61,76.81,72.7,4.11,5.6534,33949.24,257508.482,2.2201,1.79,74.755,24856.12,73.9867,20961.7033,73.49,20949.6325,73.388,20174.266,72.0675,19598.2137,71.323,20917.048,72.474,22168.51,73.109,21602.446
