,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma2,ma_v_2,ma3,ma_v_3,ma4,ma_v_4,ma5,ma_v_5,ma8,ma_v_8,ma10,ma_v_10,ma15,ma_v_15,ma20,ma_v_20
0,20190830,603970.SH,13.1,13.4,12.87,12.93,13.13,-0.2,-1.5232,17566.08,23016.807,1.839,0.9,13.03,17279.76,13.1067,17582.54,13.125,19041.06,13.082,18850.718,12.98,17115.8088,12.944,17035.354,12.7953,14766.9927,12.7985,15627.5405
1,20190829,603970.SH,13.29,13.41,13.12,13.13,13.26,-0.13,-0.9804,16993.44,22445.243,1.779,0.93,13.195,17590.77,13.19,19532.72,13.12,19171.8775,13.102,19429.614,12.9713,17172.6237,12.899,16384.246,12.764,14220.8967,12.825,16121.4155
2,20190828,603970.SH,13.2,13.35,13.06,13.26,13.18,0.08,0.607,18188.1,23997.4,1.9041,1.08,13.22,20802.36,13.1167,19898.0233,13.095,20038.6575,13.016,18185.47,12.9225,16974.2525,12.822,16229.913,12.7273,13801.4727,12.8285,15795.9575
3,20190827,603970.SH,12.92,13.25,12.87,13.18,12.91,0.27,2.0914,23416.62,30641.066,2.4515,1.49,13.045,20752.985,13.04,20655.51,12.955,18184.8125,12.904,16835.77,12.825,16082.615,12.75,15258.707,12.6847,14016.074,12.8315,15383.9925
4,20190826,603970.SH,12.95,13.15,12.81,12.91,13.03,-0.12,-0.921,18089.35,23446.839,1.8938,1.19,12.97,19274.955,12.88,16440.8767,12.835,15190.5575,12.84,15756.566,12.7225,15086.8012,12.682,13765.529,12.6733,14161.814,12.842,14775.2855
5,20190823,603970.SH,12.7,13.08,12.69,13.03,12.7,0.33,2.5984,20460.56,26484.617,2.142,1.53,12.865,15616.64,12.81,14224.2933,12.8225,15173.37,12.806,15219.99,12.6762,13885.1375,12.652,12725.13,12.704,14553.148,12.8705,14307.898
6,20190822,603970.SH,12.7,12.81,12.63,12.7,12.7,0.0,0.0,10772.72,13710.728,1.1278,0.75,12.7,11106.16,12.7533,13410.9733,12.75,13909.8475,12.696,13338.878,12.61,12388.1725,12.595,11616.538,12.7327,15018.6827,12.886,13693.612
7,20190821,603970.SH,12.83,12.83,12.63,12.7,12.86,-0.16,-1.2442,11439.6,14546.08,1.1976,0.84,12.78,14730.1,12.7667,14955.5567,12.695,13980.4175,12.628,14274.356,12.5987,12002.2525,12.583,11609.474,12.766,14999.4533,12.9225,13676.628
8,20190820,603970.SH,12.74,12.92,12.65,12.86,12.74,0.12,0.9419,18020.6,23063.252,1.8866,1.53,12.8,16713.535,12.6933,14827.3567,12.61,14983.045,12.596,13681.644,12.5687,11744.1325,12.575,12606.226,12.8073,14900.0667,12.957,13736.92
9,20190819,603970.SH,12.52,12.76,12.45,12.74,12.48,0.26,2.0833,15406.47,19462.458,1.6129,1.51,12.61,13230.735,12.5267,13970.5267,12.53,12596.905,12.524,11774.492,12.5337,10829.3175,12.59,13364.438,12.8427,14448.192,12.9785,13454.592
10,20190816,603970.SH,12.3,12.55,12.26,12.48,12.36,0.12,0.9709,11055.0,13758.8,1.1573,1.12,12.42,13252.555,12.46,11660.3833,12.47,10866.4975,12.498,10230.27,12.5188,11579.3987,12.653,14219.727,12.892,14003.8673,12.996,14104.4905
11,20190815,603970.SH,12.51,12.51,12.14,12.36,12.54,-0.18,-1.4354,15450.11,18938.208,1.6175,1.73,12.45,11963.075,12.4667,10803.6633,12.5025,10024.0875,12.494,9894.198,12.585,13397.8637,12.751,15858.585,12.9493,13811.8567,13.0825,14640.5625
12,20190814,603970.SH,12.68,12.72,12.51,12.54,12.5,0.04,0.32,8476.04,10677.236,0.8874,0.74,12.52,8480.44,12.55,8215.4133,12.5275,8505.22,12.538,8944.592,12.7113,14461.52,12.835,15362.002,13.0207,13477.3853,13.1835,15164.1645
