,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma2,ma_v_2,ma3,ma_v_3,ma4,ma_v_4,ma5,ma_v_5,ma8,ma_v_8,ma10,ma_v_10,ma15,ma_v_15,ma20,ma_v_20
0,20190830,603079.SH,36.88,37.24,35.67,35.8,36.9,-1.1,-2.981,16050.56,58223.569,4.396,1.02,36.35,21686.78,35.93,17906.64,35.8725,16816.42,35.694,16275.732,35.0187,14852.6675,34.905,15275.49,34.7587,13672.168,34.267,12838.301
1,20190829,603079.SH,35.2,37.0,34.8,36.9,35.09,1.81,5.1582,27323.0,99055.965,7.4834,2.21,35.995,18834.68,35.8967,17071.7067,35.6675,16332.025,35.446,15666.664,34.8562,14332.9325,34.849,15262.338,34.6387,13366.2373,34.102,12890.098
2,20190828,603079.SH,35.51,36.8,34.9,35.09,35.7,-0.61,-1.7087,10346.36,36705.821,2.8337,0.79,35.395,11946.06,35.2567,12668.3667,35.0825,12752.58,34.796,12369.5,34.5437,13672.6675,34.619,13489.228,34.396,12143.6573,33.8955,12672.588
3,20190827,603079.SH,34.98,36.2,34.86,35.7,34.98,0.72,2.0583,13545.76,48449.528,3.71,1.07,35.34,13829.37,35.08,13554.6533,34.7225,12875.285,34.472,13020.284,34.5625,14369.2525,34.519,13285.632,34.212,12010.7667,33.879,13366.3
4,20190826,603079.SH,34.0,35.0,32.0,34.98,34.56,0.42,1.2153,14112.98,47687.368,3.8653,0.99,34.77,13559.1,34.3967,12651.7933,34.165,12888.915,34.232,12689.668,34.425,13875.02,34.359,12912.056,33.984,12001.756,33.8755,14395.822
5,20190823,603079.SH,33.54,34.95,33.38,34.56,33.65,0.91,2.7043,13005.22,44898.078,3.5619,0.88,34.105,11921.2,33.8933,12480.8933,34.045,12333.84,34.116,14275.248,34.3137,13149.6975,34.291,12370.386,33.7913,11692.4907,33.806,14575.4825
6,20190822,603079.SH,33.85,34.09,33.21,33.65,33.47,0.18,0.5378,10837.18,36549.123,2.9682,0.74,33.56,12218.73,33.8733,12110.0467,34.005,14592.755,34.252,14858.012,34.2563,12750.295,34.235,12216.024,33.654,11964.576,33.788,15521.758
7,20190821,603079.SH,34.22,34.47,33.2,33.47,34.5,-1.03,-2.9855,13600.28,45868.441,3.7249,1.0,33.985,12746.48,34.1233,15844.6133,34.4025,15863.22,34.442,14608.956,34.3375,12482.6825,34.196,12030.736,33.5953,12773.6173,33.702,16182.79
8,20190820,603079.SH,34.13,35.1,33.74,34.5,34.4,0.1,0.2907,11892.68,40930.786,3.2572,0.91,34.45,16966.78,34.7133,16617.5333,34.685,14861.125,34.566,13550.98,34.4038,12215.3475,34.082,11506.008,33.6813,13481.6387,33.5485,16036.441
9,20190819,603079.SH,34.93,36.46,34.23,34.4,35.24,-0.84,-2.3837,22040.88,77550.283,6.0367,2.11,34.82,18979.96,34.7467,15850.6067,34.5825,13965.555,34.486,13134.444,34.2488,11851.8,33.86,11657.8,33.7567,14964.54,33.3185,15608.897
10,20190816,603079.SH,34.45,36.01,34.45,35.24,34.6,0.64,1.8497,15919.04,56460.168,4.36,1.66,34.92,12755.47,34.6433,11273.78,34.5075,10907.835,34.466,10465.524,33.99,10140.815,33.629,10401.112,33.7027,14675.5607,33.0735,14688.5845
11,20190815,603079.SH,33.56,35.3,33.44,34.6,34.09,0.51,1.496,9591.9,33092.242,2.6271,1.01,34.345,8951.15,34.2633,9237.4333,34.2725,9102.145,34.218,9574.036,33.62,9827.26,33.355,10517.858,33.6333,15743.0067,32.8115,14245.2845
12,20190814,603079.SH,34.81,34.81,33.95,34.09,34.1,-0.01,-0.0293,8310.4,28431.229,2.2761,0.88,34.095,9060.2,34.1633,8938.8933,34.1225,9569.57,33.95,9452.516,33.3063,9812.5225,33.172,11855.948,33.4553,16707.4013,32.555,14073.1305
13,20190813,603079.SH,34.03,34.56,33.46,34.1,34.3,-0.2,-0.5831,9810.0,33279.111,2.6868,0.96,34.2,9253.14,34.1333,9989.2933,33.915,9738.045,33.598,9461.036,33.1075,10909.535,33.239,13446.968,33.2093,16864.928,32.36,14056.005
14,20190812,603079.SH,33.89,34.84,33.77,34.3,34.0,0.3,0.8824,8696.28,29771.548,2.3818,0.84,34.15,10078.94,33.8533,9714.06,33.4725,9373.795,33.234,10181.156,32.9412,12554.885,33.392,15879.588,32.9293,16433.7147,32.1955,14196.0165
15,20190809,603079.SH,33.65,34.2,32.84,34.0,33.26,0.74,2.2249,11461.6,38768.323,3.1392,1.0,33.63,10222.95,33.1967,9599.6333,32.9675,10552.375,32.792,10336.7,32.9987,14495.425,33.321,16780.579,32.6093,16096.2713,31.9405,13967.009
16,20190808,603079.SH,32.11,33.3,32.11,33.26,32.33,0.93,2.8766,8984.3,29550.962,2.4607,0.63,32.795,8668.65,32.6233,10249.3,32.49,10055.475,32.492,11461.68,33.2025,17329.75,33.341,18827.492,32.3427,15802.3673,31.684,13611.469
17,20190807,603079.SH,32.48,32.67,31.86,32.33,32.28,0.05,0.1549,8353.0,26953.767,2.2878,0.48,32.305,10881.8,32.2333,10412.5333,32.3,12081.025,32.394,14259.38,33.2437,18419.9862,33.208,20334.844,32.09,15613.3353,31.4735,13480.1055
18,20190806,603079.SH,31.21,32.7,30.62,32.28,32.09,0.19,0.5921,13410.6,42550.62,3.673,0.62,32.185,11442.3,32.29,13323.7,32.41,15735.975,32.88,17432.9,33.4775,21367.2025,33.015,20566.874,31.9473,15587.6613,31.2995,13258.6355
19,20190805,603079.SH,32.48,32.74,31.51,32.09,32.5,-0.41,-1.2615,9474.0,30290.523,2.5948,0.41,32.295,13280.25,32.4533,16511.1,33.03,18438.475,33.55,21578.02,33.4337,22698.105,32.777,19559.994,31.8493,15534.3033,31.1285,12811.5
20,20190802,603079.SH,32.29,33.38,30.98,32.5,32.77,-0.27,-0.8239,17086.5,54613.121,4.6798,0.65,32.635,20029.65,33.3433,21426.6333,33.915,24604.025,33.85,23224.458,33.2225,22848.0175,32.518,18976.057,31.6567,15177.112,30.992,12782.4545
