,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma2,ma_v_2,ma3,ma_v_3,ma4,ma_v_4,ma5,ma_v_5,ma8,ma_v_8,ma10,ma_v_10,ma15,ma_v_15,ma20,ma_v_20
0,20190830,002771.SZ,10.45,10.66,10.1,10.21,10.46,-0.25,-2.3901,24754.47,25748.935,1.9271,0.82,10.335,23673.835,10.34,22516.99,10.385,25218.5175,10.416,28563.538,10.3888,28122.5163,10.372,28235.745,10.188,23898.2173,10.046,23322.4985
1,20190829,002771.SZ,10.35,10.54,10.34,10.46,10.35,0.11,1.0628,22593.2,23650.618,1.7588,0.7,10.405,21398.25,10.4433,25373.2,10.4675,29515.805,10.442,30351.894,10.4113,28904.245,10.351,27863.945,10.142,23101.096,10.024,23102.3115
2,20190828,002771.SZ,10.4,10.47,10.3,10.35,10.52,-0.17,-1.616,20203.3,20927.861,1.5728,0.64,10.435,26763.2,10.47,31823.34,10.4375,32291.5675,10.408,32307.25,10.3813,29376.2225,10.285,26977.703,10.0933,23716.4093,10.008,22396.0695
3,20190827,002771.SZ,10.7,10.74,10.41,10.52,10.54,-0.02,-0.1898,33323.1,35159.469,2.5941,1.07,10.53,37633.36,10.4667,36320.99,10.4225,35333.2375,10.418,31485.832,10.3375,29480.3687,10.22,26462.923,10.0327,23460.3993,9.9955,21899.4745
4,20190826,002771.SZ,10.0,10.81,9.9,10.54,10.34,0.2,1.9342,41943.62,44356.73,3.2652,1.5,10.44,37819.935,10.39,36003.2833,10.3925,31026.515,10.392,31022.872,10.2475,27031.3287,10.144,24460.363,9.9587,22979.0,9.9785,20731.4245
5,20190823,002771.SZ,10.2,10.58,10.18,10.34,10.29,0.05,0.4859,33696.25,35087.934,2.6232,1.33,10.315,33033.115,10.3433,27387.48,10.355,28292.685,10.328,27907.952,10.1425,23670.3137,10.074,21565.557,9.9227,21575.4853,9.959,19189.2235
6,20190822,002771.SZ,10.1,10.29,10.0,10.29,10.4,-0.11,-1.0577,32369.98,32862.758,2.5199,1.5,10.345,24233.095,10.36,26491.4967,10.325,26460.8775,10.26,25375.996,10.07,21120.47,9.992,19475.697,9.8847,20685.784,9.9505,18220.5705
7,20190821,002771.SZ,10.28,10.45,10.28,10.4,10.39,0.01,0.0962,16096.21,16720.469,1.253,0.75,10.395,23552.255,10.3367,24491.1767,10.2525,23627.5,10.162,21648.156,10.0138,18698.6675,9.936,19420.989,9.8747,19092.3427,9.9395,17154.3885
8,20190820,002771.SZ,10.23,10.47,10.23,10.39,10.22,0.17,1.6634,31008.3,32218.405,2.4139,1.73,10.305,28688.66,10.2033,26137.93,10.1025,23036.1425,10.022,21440.014,9.9038,18286.3475,9.84,19447.683,9.8547,18704.022,9.9195,17172.122
9,20190819,002771.SZ,10.03,10.24,9.97,10.22,10.0,0.22,2.2,26369.02,26820.566,2.0528,1.73,10.11,23702.745,10.0067,20378.7567,9.93,19047.9425,9.896,17897.854,9.8213,18388.1725,9.742,18957.064,9.8407,17300.942,9.892,16240.7655
10,20190816,002771.SZ,9.8,10.07,9.68,10.0,9.8,0.2,2.0408,21036.47,20889.285,1.6376,1.55,9.9,17383.625,9.8333,16607.5833,9.815,15780.0625,9.82,15223.162,9.7238,17137.4387,9.72,18409.252,9.836,16282.9807,9.866,15800.4155
11,20190815,002771.SZ,9.39,9.84,9.29,9.8,9.7,0.1,1.0309,13730.78,13204.332,1.0689,0.8,9.75,14393.14,9.7533,14027.9267,9.775,13769.835,9.724,13575.398,9.65,17770.6437,9.697,18340.678,9.8473,15835.4287,9.8675,15148.587
12,20190814,002771.SZ,9.86,9.92,9.62,9.7,9.76,-0.06,-0.6148,15055.5,14746.297,1.172,0.86,9.73,14176.5,9.7667,13782.8533,9.705,13536.5525,9.71,17193.822,9.675,18665.6587,9.731,17814.436,9.8653,15656.466,9.8775,15098.043
13,20190813,002771.SZ,9.79,9.95,9.65,9.76,9.84,-0.08,-0.813,13297.5,13027.847,1.0352,0.66,9.8,13146.53,9.7067,13030.2367,9.7125,17728.4025,9.658,17455.352,9.6837,19327.5625,9.771,17336.026,9.8853,15749.4913,9.9075,14853.1045
14,20190812,002771.SZ,9.68,9.85,9.53,9.84,9.52,0.32,3.3613,12995.56,12640.32,1.0117,0.6,9.68,12896.605,9.6967,19205.37,9.6325,18494.815,9.588,20016.274,9.7312,18723.92,9.813,17002.486,9.8907,15688.4027,9.9345,14606.4095
15,20190809,002771.SZ,9.87,9.87,9.52,9.52,9.73,-0.21,-2.1583,12797.65,12370.728,0.9963,0.55,9.625,22310.275,9.5633,20327.9,9.525,21771.4525,9.62,21595.342,9.7637,18383.4,9.844,16812.89,9.8813,15992.8333,9.9585,14782.0315
16,20190808,002771.SZ,9.55,9.84,9.42,9.73,9.44,0.29,3.072,31822.9,30720.18,2.4773,1.73,9.585,24093.025,9.5267,24762.72,9.645,23794.765,9.67,23105.958,9.8462,18028.9562,9.909,16965.444,9.9153,15672.9833,9.9895,14579.262
17,20190807,002771.SZ,9.56,9.59,9.39,9.44,9.41,0.03,0.3188,16363.15,15486.921,1.2738,0.95,9.425,21232.63,9.6167,21118.72,9.655,20926.7225,9.752,18435.05,9.8987,15438.5438,9.943,14887.788,9.9333,14399.45,10.0115,13589.432
18,20190806,002771.SZ,9.79,9.79,9.23,9.41,10.0,-0.59,-5.9,26102.11,24754.374,2.032,1.87,9.705,23496.505,9.7267,22447.9133,9.83,18953.025,9.884,17216.7,9.99,15183.5488,9.999,14896.561,9.9907,13985.6887,10.057,13388.0795
19,20190805,002771.SZ,9.93,10.12,9.7,10.0,9.77,0.23,2.3541,20890.9,20784.034,1.6263,1.74,9.885,20620.815,9.97,16569.9967,10.0025,14995.3475,10.038,13988.698,10.0725,13301.5775,10.042,13524.467,10.05,12803.1213,10.1055,13251.689
20,20190802,002771.SZ,9.99,9.99,9.66,9.77,10.14,-0.37,-3.6489,20350.73,19943.715,1.5842,1.88,9.955,14409.545,10.0033,13030.1633,10.0475,12263.1475,10.068,12030.438,10.0725,12746.575,10.012,13191.579,10.0713,12510.928,10.135,14252.439
21,20190801,002771.SZ,10.19,10.19,10.05,10.14,10.1,0.04,0.396,8468.36,8572.296,0.6592,0.75,10.12,9369.88,10.14,9567.2867,10.1425,9950.365,10.148,10824.93,10.0813,11750.38,10.038,11956.496,10.096,11737.03,10.1945,15215.1615
22,20190731,002771.SZ,10.18,10.25,10.03,10.1,10.18,-0.08,-0.7859,10271.4,10384.879,0.7996,0.82,10.14,10116.75,10.1433,10444.3667,10.15,11414.0725,10.134,11340.526,10.0263,12887.0875,10.024,12381.65,10.098,11974.226,10.213,15619.5035
23,20190730,002771.SZ,10.1,10.28,10.1,10.18,10.15,0.03,0.2956,9962.1,10166.171,0.7755,0.76,10.165,10530.85,10.1667,11794.9633,10.1425,11607.8075,10.114,12576.422,10.0175,12603.15,10.044,12370.183,10.1147,12111.8727,10.2405,16138.643
24,20190729,002771.SZ,10.14,10.25,10.06,10.15,10.17,-0.02,-0.1967,11099.6,11267.215,0.8641,0.77,10.16,12711.395,10.13,12156.3767,10.0975,13230.0025,10.046,13060.236,9.995,12947.875,10.056,12210.333,10.128,13006.0193,10.276,17118.0125
25,20190726,002771.SZ,9.96,10.18,9.96,10.17,10.07,0.1,0.993,14323.19,14455.973,1.115,1.09,10.12,12684.765,10.08,13940.1367,10.02,13550.395,9.956,14352.72,10.0138,12830.0162,10.073,12751.173,10.1573,14993.106,10.311,18045.797
26,20190725,002771.SZ,10.06,10.17,9.95,10.07,10.0,0.07,0.7,11046.34,11100.224,0.8599,0.82,10.035,13748.61,9.97,13292.7967,9.9025,14360.1025,9.928,13088.062,10.03,12085.0675,10.07,12193.08,10.21,16678.572,10.3275,19385.7725
27,20190724,002771.SZ,9.77,10.08,9.76,10.0,9.84,0.16,1.626,16450.88,16421.332,1.2807,1.35,9.92,14416.025,9.8467,15464.69,9.8925,13598.4925,9.914,13422.774,10.0613,12767.775,10.08,12291.076,10.2393,17045.8293,10.3735,20657.6235
28,20190723,002771.SZ,9.71,9.87,9.7,9.84,9.7,0.14,1.4433,12381.17,12110.349,0.9638,1.09,9.77,14971.595,9.8567,12647.6967,9.8925,12665.7475,9.974,12163.944,10.0788,11804.1975,10.115,11879.598,10.2827,17326.05,10.4315,21423.332
29,20190722,002771.SZ,10.1,10.18,9.58,9.7,10.03,-0.33,-3.2901,17562.02,17161.568,1.3672,1.58,9.865,12780.96,9.91,12760.6067,10.0075,12109.6375,10.066,11360.43,10.12,11759.8387,10.169,12978.911,10.3527,18470.6047,10.4915,22434.4855
30,20190719,002771.SZ,10.01,10.22,10.01,10.03,10.0,0.03,0.3,7999.9,8078.274,0.6228,0.71,10.015,10359.9,10.11,10292.1767,10.1575,9810.0325,10.19,11149.626,10.2013,11106.5987,10.258,15313.299,10.4293,19276.8227,10.5765,23602.4995
31,20190718,002771.SZ,10.22,10.22,9.98,10.0,10.3,-0.3,-2.9126,12719.9,12799.705,0.9902,1.14,10.15,11438.315,10.2,10413.41,10.23,11937.0575,10.212,11298.098,10.245,13028.3988,10.351,18473.827,10.4607,21485.0093,10.632,25798.258
