,id,concept_name,ts_code,name
0,TS10,火电,000027.SZ,深圳能源
1,TS15,高股息,000027.SZ,深圳能源
2,TS25,MSCI,000027.SZ,深圳能源
3,TS56,电改,000027.SZ,深圳能源
4,TS72,固废处理,000027.SZ,深圳能源
5,TS111,业绩预增,000027.SZ,深圳能源
6,TS112,参股券商,000027.SZ,深圳能源
7,TS115,破净股,000027.SZ,深圳能源
8,TS117,风电,000027.SZ,深圳能源
9,TS129,天然气,000027.SZ,深圳能源
10,TS145,宁德时代概念股,000027.SZ,深圳能源
11,TS146,光伏,000027.SZ,深圳能源
12,TS210,PPP,000027.SZ,深圳能源
13,TS218,环保,000027.SZ,深圳能源
14,TS250,住房租赁,000027.SZ,深圳能源
15,TS302,迈瑞医疗概念股,000027.SZ,深圳能源
16,TS315,独角兽,000027.SZ,深圳能源
17,TS319,碳交易,000027.SZ,深圳能源
18,TS330,深圳本地股/深汕合作,000027.SZ,深圳能源
19,TS351,科创板概念股,000027.SZ,深圳能源
20,TS352,创投,000027.SZ,深圳能源
