,id,concept_name,ts_code,name
0,TS40,阿里巴巴概念股,600797.SH,浙大网新
1,TS88,社保重仓,600797.SH,浙大网新
2,TS98,回购,600797.SH,浙大网新
3,TS142,物联网,600797.SH,浙大网新
4,TS161,智慧物流,600797.SH,浙大网新
5,TS162,谷歌概念股,600797.SH,浙大网新
6,TS170,定增破发,600797.SH,浙大网新
7,TS204,网络安全,600797.SH,浙大网新
8,TS221,智能制造,600797.SH,浙大网新
9,TS238,移动支付,600797.SH,浙大网新
10,TS239,大数据,600797.SH,浙大网新
11,TS246,云计算,600797.SH,浙大网新
12,TS254,人工智能,600797.SH,浙大网新
13,TS258,互联网医疗,600797.SH,浙大网新
14,TS261,区块链,600797.SH,浙大网新
15,TS269,智慧城市,600797.SH,浙大网新
16,TS277,国产软件,600797.SH,浙大网新
17,TS294,高校系,600797.SH,浙大网新
18,TS307,国产操作系统,600797.SH,浙大网新
19,TS315,独角兽,600797.SH,浙大网新
20,TS322,蚂蚁金服概念股,600797.SH,浙大网新
21,TS344,人脸识别,600797.SH,浙大网新
