,id,concept_name,ts_code,name
0,TS25,MSCI,601727.SH,上海电气
1,TS48,一带一路,601727.SH,上海电气
2,TS72,固废处理,601727.SH,上海电气
3,TS94,核电,601727.SH,上海电气
4,TS117,风电,601727.SH,上海电气
5,TS146,光伏,601727.SH,上海电气
6,TS170,定增破发,601727.SH,上海电气
7,TS175,工业自动化,601727.SH,上海电气
8,TS215,燃料电池,601727.SH,上海电气
9,TS218,环保,601727.SH,上海电气
10,TS221,智能制造,601727.SH,上海电气
11,TS231,上海国企改革,601727.SH,上海电气
12,TS232,新能源汽车,601727.SH,上海电气
13,TS308,高铁轨交,601727.SH,上海电气
14,TS315,独角兽,601727.SH,上海电气
15,TS317,机器人,601727.SH,上海电气
16,TS323,充电桩,601727.SH,上海电气
