,id,concept_name,ts_code,name
0,TS40,阿里巴巴概念股,300020.SZ,银江股份
1,TS74,教育,300020.SZ,银江股份
2,TS83,华为产业链,300020.SZ,银江股份
3,TS142,物联网,300020.SZ,银江股份
4,TS153,无人驾驶,300020.SZ,银江股份
5,TS163,雄安-智慧城市,300020.SZ,银江股份
6,TS197,智慧停车,300020.SZ,银江股份
7,TS220,数字中国,300020.SZ,银江股份
8,TS221,智能制造,300020.SZ,银江股份
9,TS225,雄安新区,300020.SZ,银江股份
10,TS246,云计算,300020.SZ,银江股份
11,TS254,人工智能,300020.SZ,银江股份
12,TS258,互联网医疗,300020.SZ,银江股份
13,TS261,区块链,300020.SZ,银江股份
14,TS269,智慧城市,300020.SZ,银江股份
15,TS290,VR&AR,300020.SZ,银江股份
16,TS303,医疗信息化,300020.SZ,银江股份
17,TS313,智慧安防,300020.SZ,银江股份
18,TS317,机器人,300020.SZ,银江股份
19,TS344,人脸识别,300020.SZ,银江股份
20,TS352,创投,300020.SZ,银江股份
