,id,concept_name,ts_code,name
0,TS22,白马股,000333.SZ,美的集团
1,TS25,MSCI,000333.SZ,美的集团
2,TS40,阿里巴巴概念股,000333.SZ,美的集团
3,TS51,大消费,000333.SZ,美的集团
4,TS55,东盟博览会,000333.SZ,美的集团
5,TS98,回购,000333.SZ,美的集团
6,TS142,物联网,000333.SZ,美的集团
7,TS167,厨卫家电,000333.SZ,美的集团
8,TS173,小家电,000333.SZ,美的集团
9,TS175,工业自动化,000333.SZ,美的集团
10,TS193,白色家电,000333.SZ,美的集团
11,TS205,家电,000333.SZ,美的集团
12,TS211,小米概念股,000333.SZ,美的集团
13,TS221,智能制造,000333.SZ,美的集团
14,TS248,人民币贬值受益,000333.SZ,美的集团
15,TS264,工业互联网,000333.SZ,美的集团
16,TS268,无人商店,000333.SZ,美的集团
17,TS317,机器人,000333.SZ,美的集团
