,id,concept_name,ts_code,name
0,TS22,白马股,002456.SZ,欧菲光
1,TS24,OLED,002456.SZ,欧菲光
2,TS25,MSCI,002456.SZ,欧菲光
3,TS53,北汽新能源,002456.SZ,欧菲光
4,TS83,华为产业链,002456.SZ,欧菲光
5,TS98,回购,002456.SZ,欧菲光
6,TS138,汽车零部件,002456.SZ,欧菲光
7,TS153,无人驾驶,002456.SZ,欧菲光
8,TS211,小米概念股,002456.SZ,欧菲光
9,TS265,指纹识别,002456.SZ,欧菲光
10,TS267,3D感应,002456.SZ,欧菲光
11,TS271,3D玻璃,002456.SZ,欧菲光
12,TS282,股权转让,002456.SZ,欧菲光
13,TS290,VR&AR,002456.SZ,欧菲光
14,TS293,苹果产业链,002456.SZ,欧菲光
15,TS311,国资入股,002456.SZ,欧菲光
16,TS328,虹膜识别,002456.SZ,欧菲光
17,TS344,人脸识别,002456.SZ,欧菲光
