,id,concept_name,ts_code,name
0,TS22,白马股,002415.SZ,海康威视
1,TS25,MSCI,002415.SZ,海康威视
2,TS40,阿里巴巴概念股,002415.SZ,海康威视
3,TS80,央企改革,002415.SZ,海康威视
4,TS86,军工研究所,002415.SZ,海康威视
5,TS127,军工,002415.SZ,海康威视
6,TS133,无人机,002415.SZ,海康威视
7,TS142,物联网,002415.SZ,海康威视
8,TS153,无人驾驶,002415.SZ,海康威视
9,TS175,工业自动化,002415.SZ,海康威视
10,TS221,智能制造,002415.SZ,海康威视
11,TS239,大数据,002415.SZ,海康威视
12,TS246,云计算,002415.SZ,海康威视
13,TS254,人工智能,002415.SZ,海康威视
14,TS263,足球,002415.SZ,海康威视
15,TS269,智慧城市,002415.SZ,海康威视
16,TS310,机器视觉,002415.SZ,海康威视
17,TS313,智慧安防,002415.SZ,海康威视
18,TS316,年报季报,002415.SZ,海康威视
19,TS317,机器人,002415.SZ,海康威视
20,TS344,人脸识别,002415.SZ,海康威视
