,id,concept_name,ts_code,name
0,TS13,安邦系,600104.SH,上汽集团
1,TS15,高股息,600104.SH,上汽集团
2,TS22,白马股,600104.SH,上汽集团
3,TS25,MSCI,600104.SH,上汽集团
4,TS40,阿里巴巴概念股,600104.SH,上汽集团
5,TS43,新能源整车,600104.SH,上汽集团
6,TS51,大消费,600104.SH,上汽集团
7,TS65,汽车整车,600104.SH,上汽集团
8,TS83,华为产业链,600104.SH,上汽集团
9,TS145,宁德时代概念股,600104.SH,上汽集团
10,TS153,无人驾驶,600104.SH,上汽集团
11,TS192,万达系,600104.SH,上汽集团
12,TS215,燃料电池,600104.SH,上汽集团
13,TS231,上海国企改革,600104.SH,上汽集团
14,TS232,新能源汽车,600104.SH,上汽集团
15,TS254,人工智能,600104.SH,上汽集团
16,TS263,足球,600104.SH,上汽集团
17,TS297,共享经济,600104.SH,上汽集团
