,id,concept_name,ts_code,name
0,TS12,碳纤维,600869.SH,智慧能源
1,TS14,特高压,600869.SH,智慧能源
2,TS59,特斯拉,600869.SH,智慧能源
3,TS94,核电,600869.SH,智慧能源
4,TS133,无人机,600869.SH,智慧能源
5,TS163,雄安-智慧城市,600869.SH,智慧能源
6,TS175,工业自动化,600869.SH,智慧能源
7,TS186,高质押率,600869.SH,智慧能源
8,TS208,锂电池,600869.SH,智慧能源
9,TS221,智能制造,600869.SH,智慧能源
10,TS225,雄安新区,600869.SH,智慧能源
11,TS227,互联网金融,600869.SH,智慧能源
12,TS232,新能源汽车,600869.SH,智慧能源
13,TS257,石墨烯,600869.SH,智慧能源
14,TS269,智慧城市,600869.SH,智慧能源
15,TS282,股权转让,600869.SH,智慧能源
16,TS315,独角兽,600869.SH,智慧能源
