,id,concept_name,ts_code,name
0,TS40,阿里巴巴概念股,300212.SZ,易华录
1,TS80,央企改革,300212.SZ,易华录
2,TS111,业绩预增,300212.SZ,易华录
3,TS142,物联网,300212.SZ,易华录
4,TS143,百度概念股,300212.SZ,易华录
5,TS153,无人驾驶,300212.SZ,易华录
6,TS163,雄安-智慧城市,300212.SZ,易华录
7,TS166,养老产业,300212.SZ,易华录
8,TS197,智慧停车,300212.SZ,易华录
9,TS210,PPP,300212.SZ,易华录
10,TS211,小米概念股,300212.SZ,易华录
11,TS220,数字中国,300212.SZ,易华录
12,TS225,雄安新区,300212.SZ,易华录
13,TS235,京津冀,300212.SZ,易华录
14,TS239,大数据,300212.SZ,易华录
15,TS246,云计算,300212.SZ,易华录
16,TS269,智慧城市,300212.SZ,易华录
17,TS313,智慧安防,300212.SZ,易华录
18,TS315,独角兽,300212.SZ,易华录
19,TS353,电子车牌,300212.SZ,易华录
