,id,concept_name,ts_code,name
0,TS25,MSCI,002065.SZ,东华软件
1,TS40,阿里巴巴概念股,002065.SZ,东华软件
2,TS136,兜底式增持,002065.SZ,东华软件
3,TS163,雄安-智慧城市,002065.SZ,东华软件
4,TS209,海南自由贸易港,002065.SZ,东华软件
5,TS225,雄安新区,002065.SZ,东华软件
6,TS239,大数据,002065.SZ,东华软件
7,TS246,云计算,002065.SZ,东华软件
8,TS252,自贸区,002065.SZ,东华软件
9,TS254,人工智能,002065.SZ,东华软件
10,TS258,互联网医疗,002065.SZ,东华软件
11,TS261,区块链,002065.SZ,东华软件
12,TS269,智慧城市,002065.SZ,东华软件
13,TS277,国产软件,002065.SZ,东华软件
14,TS280,自由贸易港,002065.SZ,东华软件
15,TS288,京东金融概念股,002065.SZ,东华软件
16,TS291,腾讯概念股,002065.SZ,东华软件
17,TS303,医疗信息化,002065.SZ,东华软件
18,TS315,独角兽,002065.SZ,东华软件
