,id,concept_name,ts_code,name
0,TS2,5G,600050.SH,中国联通
1,TS25,MSCI,600050.SH,中国联通
2,TS32,中字头,600050.SH,中国联通
3,TS40,阿里巴巴概念股,600050.SH,中国联通
4,TS69,混改,600050.SH,中国联通
5,TS80,央企改革,600050.SH,中国联通
6,TS107,空铁WiFi,600050.SH,中国联通
7,TS142,物联网,600050.SH,中国联通
8,TS143,百度概念股,600050.SH,中国联通
9,TS153,无人驾驶,600050.SH,中国联通
10,TS227,互联网金融,600050.SH,中国联通
11,TS239,大数据,600050.SH,中国联通
12,TS246,云计算,600050.SH,中国联通
13,TS268,无人商店,600050.SH,中国联通
14,TS291,腾讯概念股,600050.SH,中国联通
15,TS296,滴滴出行概念股,600050.SH,中国联通
16,TS315,独角兽,600050.SH,中国联通
