,id,concept_name,ts_code,name
0,TS25,MSCI,600588.SH,用友网络
1,TS40,阿里巴巴概念股,600588.SH,用友网络
2,TS62,金改,600588.SH,用友网络
3,TS69,混改,600588.SH,用友网络
4,TS76,海底捞概念股,600588.SH,用友网络
5,TS98,回购,600588.SH,用友网络
6,TS220,数字中国,600588.SH,用友网络
7,TS227,互联网金融,600588.SH,用友网络
8,TS238,移动支付,600588.SH,用友网络
9,TS239,大数据,600588.SH,用友网络
10,TS246,云计算,600588.SH,用友网络
11,TS261,区块链,600588.SH,用友网络
12,TS264,工业互联网,600588.SH,用友网络
13,TS269,智慧城市,600588.SH,用友网络
14,TS277,国产软件,600588.SH,用友网络
15,TS296,滴滴出行概念股,600588.SH,用友网络
16,TS315,独角兽,600588.SH,用友网络
