,id,concept_name,ts_code,name
0,TS40,阿里巴巴概念股,002373.SZ,千方科技
1,TS83,华为产业链,002373.SZ,千方科技
2,TS88,社保重仓,002373.SZ,千方科技
3,TS97,大飞机,002373.SZ,千方科技
4,TS142,物联网,002373.SZ,千方科技
5,TS143,百度概念股,002373.SZ,千方科技
6,TS153,无人驾驶,002373.SZ,千方科技
7,TS163,雄安-智慧城市,002373.SZ,千方科技
8,TS197,智慧停车,002373.SZ,千方科技
9,TS210,PPP,002373.SZ,千方科技
10,TS225,雄安新区,002373.SZ,千方科技
11,TS268,无人商店,002373.SZ,千方科技
12,TS269,智慧城市,002373.SZ,千方科技
13,TS282,股权转让,002373.SZ,千方科技
14,TS311,国资入股,002373.SZ,千方科技
15,TS313,智慧安防,002373.SZ,千方科技
16,TS344,人脸识别,002373.SZ,千方科技
17,TS351,科创板概念股,002373.SZ,千方科技
18,TS353,电子车牌,002373.SZ,千方科技
