,id,concept_name,ts_code,name
0,TS40,阿里巴巴概念股,600718.SH,东软集团
1,TS98,回购,600718.SH,东软集团
2,TS138,汽车零部件,600718.SH,东软集团
3,TS142,物联网,600718.SH,东软集团
4,TS143,百度概念股,600718.SH,东软集团
5,TS153,无人驾驶,600718.SH,东软集团
6,TS204,网络安全,600718.SH,东软集团
7,TS237,医疗器械,600718.SH,东软集团
8,TS239,大数据,600718.SH,东软集团
9,TS246,云计算,600718.SH,东软集团
10,TS258,互联网医疗,600718.SH,东软集团
11,TS261,区块链,600718.SH,东软集团
12,TS264,工业互联网,600718.SH,东软集团
13,TS269,智慧城市,600718.SH,东软集团
14,TS277,国产软件,600718.SH,东软集团
15,TS294,高校系,600718.SH,东软集团
16,TS297,共享经济,600718.SH,东软集团
17,TS303,医疗信息化,600718.SH,东软集团
