,id,concept_name,ts_code,name
0,TS13,安邦系,000625.SZ,长安汽车
1,TS15,高股息,000625.SZ,长安汽车
2,TS25,MSCI,000625.SZ,长安汽车
3,TS40,阿里巴巴概念股,000625.SZ,长安汽车
4,TS43,新能源整车,000625.SZ,长安汽车
5,TS65,汽车整车,000625.SZ,长安汽车
6,TS69,混改,000625.SZ,长安汽车
7,TS75,军工混改,000625.SZ,长安汽车
8,TS80,央企改革,000625.SZ,长安汽车
9,TS83,华为产业链,000625.SZ,长安汽车
10,TS84,蔚来汽车概念股,000625.SZ,长安汽车
11,TS86,军工研究所,000625.SZ,长安汽车
12,TS115,破净股,000625.SZ,长安汽车
13,TS127,军工,000625.SZ,长安汽车
14,TS143,百度概念股,000625.SZ,长安汽车
15,TS145,宁德时代概念股,000625.SZ,长安汽车
16,TS153,无人驾驶,000625.SZ,长安汽车
17,TS232,新能源汽车,000625.SZ,长安汽车
18,TS254,人工智能,000625.SZ,长安汽车
19,TS291,腾讯概念股,000625.SZ,长安汽车
20,TS297,共享经济,000625.SZ,长安汽车
21,TS315,独角兽,000625.SZ,长安汽车
