,代码,名称,行业,质押比例(%),质押股数(万股),质押市值(亿元),质押笔数,无限售股质押数(股),限售股质押数(股),近年来涨跌幅(%),日期
3055,603959,百利科技,工程建设,49.72,21828.52,281151.3376,3,21828.52,0,9.75043673,2019-09-12T00:00:00
3056,603956,威派格,专用设备,1.62,690,12834,1,0,690,228.0260386,2019-09-12T00:00:00
3057,603955,大千生态,园林工程,19.38,2192.14,34898.8688,8,910.14,1282,-1.60692211,2019-09-12T00:00:00
3058,603939,益丰药房,医药制造,1.11,420,31642.8,2,420,0,44.18462603,2019-09-12T00:00:00
3059,603933,睿能科技,电子元件,0,0.55,8.668,1,0.55,0,22.78816975,2019-09-12T00:00:00
3060,603929,亚翔集成,工程建设,3.22,688,11069.92,5,528,160,-22.63386801,2019-09-12T00:00:00
3061,603936,博敏电子,电子元件,36.94,11638.99,278986.5903,24,10435.49,1203.5,100.65713331,2019-09-12T00:00:00
3062,603928,兴业股份,化工行业,0.01,1.3,16.51,6,1.3,0,-5.75776136,2019-09-12T00:00:00
3063,603920,世运电路,电子元件,0,2.03,37.2302,14,2.03,0,44.20872487,2019-09-12T00:00:00
3064,603919,金徽酒,酿酒行业,45.68,17826.2,268819.096,8,17826.2,0,2.68233738,2019-09-12T00:00:00
3065,603918,金桥信息,软件服务,33.12,7728.45,91350.279,19,7728.45,0,4.21997471,2019-09-12T00:00:00
3066,600066,宇通客车,汽车行业,7.73,17103.05,264242.1225,19,17103.05,0,12.59760316,2019-09-12T00:00:00
3067,600061,国投资本,券商信托,0,1.81,24.9056,22,1.81,0,68.72687997,2019-09-12T00:00:00
3068,600060,海信电器,家电行业,0,5.34,45.657,13,5.34,0,-10.21677779,2019-09-12T00:00:00
3069,600064,南京高科,房地产,0,4.8,47.424,1,4.8,0,43.37092656,2019-09-12T00:00:00
3070,600058,五矿发展,国际贸易,0,0.04,0.3288,1,0.04,0,16.59574465,2019-09-12T00:00:00
3071,600062,华润双鹤,医药制造,0,0.58,7.9054,2,0.58,0,-10.67303252,2019-09-12T00:00:00
3072,600059,古越龙山,酿酒行业,0,3.19,28.1358,18,3.19,0,24.89437804,2019-09-12T00:00:00
