,trade_date,ggt_ss,ggt_sz,hgt,sgt,north_money,south_money
0,20150825,-289.0,,8071.0,,8071.0,-289.0
1,20150824,-118.0,,8262.0,,8262.0,-118.0
2,20150821,509.0,,-774.0,,-774.0,509.0
3,20150820,493.0,,-661.0,,-661.0,493.0
4,20150819,128.0,,202.0,,202.0,128.0
5,20150818,-148.0,,-442.0,,-442.0,-148.0
6,20150817,349.0,,-436.0,,-436.0,349.0
7,20150814,290.0,,67.0,,67.0,290.0
8,20150813,474.0,,300.0,,300.0,474.0
9,20150812,815.0,,-71.0,,-71.0,815.0
10,20150811,557.0,,781.0,,781.0,557.0
11,20150810,812.0,,342.0,,342.0,812.0
12,20150807,405.0,,874.0,,874.0,405.0
13,20150806,178.0,,348.0,,348.0,178.0
14,20150805,174.0,,74.0,,74.0,174.0
15,20150804,406.0,,-274.0,,-274.0,406.0
16,20150803,127.0,,-2137.0,,-2137.0,127.0
17,20150731,60.0,,527.0,,527.0,60.0
18,20150730,202.0,,-61.0,,-61.0,202.0
19,20150729,729.0,,-487.0,,-487.0,729.0
20,20150728,304.0,,2665.0,,2665.0,304.0
21,20150727,102.0,,-148.0,,-148.0,102.0
22,20150724,507.0,,9.0,,9.0,507.0
23,20150723,434.0,,494.0,,494.0,434.0
24,20150722,601.0,,-434.0,,-434.0,601.0
25,20150721,156.0,,-433.0,,-433.0,156.0
26,20150720,252.0,,-274.0,,-274.0,252.0
27,20150717,63.0,,298.0,,298.0,63.0
28,20150716,376.0,,-459.0,,-459.0,376.0
29,20150715,-818.0,,-275.0,,-275.0,-818.0
30,20150714,678.0,,-1047.0,,-1047.0,678.0
31,20150713,608.0,,-1588.0,,-1588.0,608.0
32,20150710,2060.0,,-2366.0,,-2366.0,2060.0
33,20150709,1745.0,,-3475.0,,-3475.0,1745.0
34,20150708,-1916.0,,-6587.0,,-6587.0,-1916.0
35,20150707,-1621.0,,-10256.0,,-10256.0,-1621.0
36,20150706,-1457.0,,-13385.0,,-13385.0,-1457.0
37,20150703,-1259.0,,7146.0,,7146.0,-1259.0
38,20150702,-772.0,,2809.0,,2809.0,-772.0
39,20150630,-82.0,,,,0.0,-82.0
40,20150629,-269.0,,-1333.0,,-1333.0,-269.0
41,20150626,-860.0,,3244.0,,3244.0,-860.0
42,20150625,647.0,,-3556.0,,-3556.0,647.0
43,20150624,827.0,,-3039.0,,-3039.0,827.0
44,20150623,-19.0,,7066.0,,7066.0,-19.0
45,20150619,,,7804.0,,7804.0,0.0
46,20150618,,,657.0,,657.0,0.0
47,20150617,695.0,,-861.0,,-861.0,695.0
48,20150616,695.0,,65.0,,65.0,695.0
49,20150615,614.0,,-1147.0,,-1147.0,614.0
50,20150612,947.0,,1548.0,,1548.0,947.0
51,20150611,1169.0,,-866.0,,-866.0,1169.0
52,20150610,1099.0,,1739.0,,1739.0,1099.0
53,20150609,1213.0,,-1262.0,,-1262.0,1213.0
54,20150608,896.0,,-540.0,,-540.0,896.0
55,20150605,1246.0,,-609.0,,-609.0,1246.0
56,20150604,364.0,,-260.0,,-260.0,364.0
57,20150603,647.0,,218.0,,218.0,647.0
58,20150602,779.0,,481.0,,481.0,779.0
59,20150601,1314.0,,1934.0,,1934.0,1314.0
60,20150529,872.0,,2295.0,,2295.0,872.0
61,20150528,16.0,,-3125.0,,-3125.0,16.0
62,20150527,1394.0,,343.0,,343.0,1394.0
63,20150526,2089.0,,3588.0,,3588.0,2089.0
64,20150522,647.0,,,,0.0,647.0
65,20150521,226.0,,2012.0,,2012.0,226.0
66,20150520,1099.0,,2936.0,,2936.0,1099.0
67,20150519,1038.0,,2215.0,,2215.0,1038.0
68,20150518,290.0,,1247.0,,1247.0,290.0
69,20150515,408.0,,597.0,,597.0,408.0
70,20150514,898.0,,-109.0,,-109.0,898.0
71,20150513,865.0,,-331.0,,-331.0,865.0
72,20150512,1502.0,,-274.0,,-274.0,1502.0
73,20150511,1198.0,,37.0,,37.0,1198.0
74,20150508,239.0,,1167.0,,1167.0,239.0
75,20150507,255.0,,2647.0,,2647.0,255.0
76,20150506,708.0,,712.0,,712.0,708.0
77,20150505,801.0,,833.0,,833.0,801.0
78,20150504,1274.0,,534.0,,534.0,1274.0
79,20150430,2276.0,,-335.0,,-335.0,2276.0
80,20150429,1124.0,,764.0,,764.0,1124.0
81,20150428,1303.0,,-168.0,,-168.0,1303.0
82,20150427,1923.0,,1255.0,,1255.0,1923.0
83,20150424,1017.0,,736.0,,736.0,1017.0
84,20150423,4566.0,,-376.0,,-376.0,4566.0
85,20150422,2382.0,,835.0,,835.0,2382.0
86,20150421,971.0,,1722.0,,1722.0,971.0
87,20150420,349.0,,-1023.0,,-1023.0,349.0
88,20150417,2129.0,,1803.0,,1803.0,2129.0
89,20150416,710.0,,1945.0,,1945.0,710.0
90,20150415,560.0,,1148.0,,1148.0,560.0
91,20150414,2664.0,,616.0,,616.0,2664.0
92,20150413,2429.0,,1206.0,,1206.0,2429.0
93,20150410,5389.0,,-614.0,,-614.0,5389.0
94,20150409,10500.0,,-4979.0,,-4979.0,10500.0
95,20150408,10500.0,,-3505.0,,-3505.0,10500.0
96,20150402,2354.0,,,,0.0,2354.0
97,20150401,1723.0,,359.0,,359.0,1723.0
98,20150331,2054.0,,-1273.0,,-1273.0,2054.0
99,20150330,2559.0,,-1085.0,,-1085.0,2559.0
100,20150327,511.0,,211.0,,211.0,511.0
101,20150326,371.0,,-917.0,,-917.0,371.0
102,20150325,416.0,,94.0,,94.0,416.0
