,trade_date,ggt_ss,ggt_sz,hgt,sgt,north_money,south_money
0,20190912,,,2902.37,1048.67,3951.04,0.0
1,20190911,,,2249.43,913.339999999997,3162.77,0.0
2,20190910,202.0,387.0,2415.99,607.059999999998,3023.05,589.0
3,20190909,587.0,950.0,1659.66,1941.47,3601.13,1537.0
4,20190906,1419.0,378.0,5849.61,3270.84,9120.45,1797.0
5,20190905,2479.0,988.0,5712.92,3972.0,9684.92,3467.0
6,20190904,1228.0,1157.0,5078.32,618.330000000002,5696.65,2385.0
7,20190903,1419.0,424.0,1256.53,-805.260000000002,451.269999999998,1843.0
8,20190902,1968.0,592.0,3251.58,2631.27,5882.85,2560.0
9,20190830,1344.0,330.0,4284.73,2824.51,7109.24,1674.0
10,20190829,1960.0,418.0,567.110000000001,199.790000000001,766.900000000002,2378.0
11,20190828,1687.0,493.0,-112.550000000003,-303.25,-415.800000000003,2180.0
12,20190827,2621.0,762.0,7371.21,4394.13,11765.34,3383.0
13,20190826,4005.0,1599.0,-2107.11,-530.209999999999,-2637.32,5604.0
14,20190823,2041.0,1013.0,91.9499999999971,1446.33,1538.28,3054.0
15,20190822,2384.0,554.0,643.870000000003,1268.83,1912.7,2938.0
16,20190821,2089.0,927.0,1432.15,891.260000000002,2323.41,3016.0
17,20190820,1978.0,1007.0,-367.519999999997,-471.309999999998,-838.829999999995,2985.0
18,20190819,2075.0,1395.0,3861.04,4621.52,8482.56,3470.0
19,20190816,3811.0,1726.0,-102.610000000001,253.839999999997,151.229999999996,5537.0
20,20190815,3900.0,1220.0,-428.860000000001,1029.88,601.019999999999,5120.0
21,20190814,3121.0,907.0,-367.230000000003,1902.62,1535.39,4028.0
22,20190813,1743.0,1025.0,-1581.89,-512.93,-2094.82,2768.0
23,20190812,1722.0,846.0,705.010000000002,2121.56,2826.57,2568.0
24,20190809,1152.0,617.0,206.989999999998,1627.12,1834.11,1769.0
25,20190808,1616.0,998.0,1188.34,1780.81,2969.15,2614.0
26,20190807,1288.0,841.0,-2247.47,-481.739999999998,-2729.21,2129.0
27,20190806,2534.0,1035.0,-2953.63,441.870000000003,-2511.76,3569.0
28,20190805,,1535.0,-2170.57,-894.449999999997,-3065.02,1535.0
29,20190802,2313.0,1532.0,-4457.45,-1984.36,-6441.81,3845.0
30,20190801,834.0,497.0,-1015.55,282.5,-733.05,1331.0
31,20190731,1099.0,433.0,-584.150000000001,141.550000000003,-442.599999999998,1532.0
32,20190730,1697.0,744.0,-174.129999999997,2999.1,2824.97,2441.0
33,20190729,1151.0,719.0,-1306.72,1689.07,382.35,1870.0
34,20190726,1436.0,817.0,-613.529999999999,-355.449999999997,-968.979999999996,2253.0
