,trade_date,ggt_ss,ggt_sz,hgt,sgt,north_money,south_money
85,20171012,1400.0,1126.0,-407.389999999999,893.540000000001,486.150000000002,2526.0
86,20171011,1775.0,1225.0,597.67,1147.25,1744.92,3000.0
87,20171010,1518.0,777.0,2465.29,1754.27,4219.56,2295.0
88,20171009,1240.0,813.0,4714.84,2968.41,7683.25,2053.0
89,20170929,,,455.0,778.0,1233.0,0.0
90,20170928,,,-158.17,-138.139999999999,-296.309999999999,0.0
91,20170927,903.0,732.0,-142.219999999999,876.26,734.040000000001,1635.0
92,20170926,780.0,1026.0,-101.16,211.66,110.5,1806.0
93,20170925,948.0,595.0,-1834.49,157.41,-1677.08,1543.0
94,20170922,1165.0,804.0,-440.0,1050.0,610.0,1969.0
95,20170921,1597.0,821.0,878.639999999999,405.5,1284.14,2418.0
96,20170920,1074.0,1036.0,985.18,1157.62,2142.8,2110.0
97,20170919,1432.0,560.0,-88.1100000000006,330.59,242.479999999999,1992.0
98,20170918,574.0,786.0,2588.74,1905.98,4494.72,1360.0
99,20170915,-157.0,801.0,203.0,-99.0,104.0,644.0
100,20170914,1138.0,706.0,-235.469999999999,387.5,152.030000000001,1844.0
101,20170913,1057.0,1241.0,-281.860000000001,634.620000000001,352.76,2298.0
102,20170912,1472.0,692.0,1821.45,750.049999999999,2571.5,2164.0
103,20170911,752.0,291.0,1818.64,309.940000000001,2128.58,1043.0
104,20170908,1222.0,687.0,-255.0,822.0,567.0,1909.0
105,20170907,2804.0,669.0,223.959999999999,809.51,1033.47,3473.0
106,20170906,1353.0,842.0,82.2000000000007,209.43,291.630000000001,2195.0
107,20170905,1045.0,730.0,162.68,895.93,1058.61,1775.0
108,20170904,1125.0,925.0,606.66,1317.01,1923.67,2050.0
109,20170901,1140.0,676.0,2278.0,2055.0,4333.0,1816.0
110,20170831,936.0,374.0,1191.51,784.27,1975.78,1310.0
111,20170830,-78.0,494.0,2298.8,1136.84,3435.64,416.0
112,20170829,600.0,398.0,910.99,921.23,1832.22,998.0
113,20170828,530.0,653.0,1907.17,1959.42,3866.59,1183.0
114,20170825,98.0,220.0,1717.0,1452.0,3169.0,318.0
115,20170824,177.0,419.0,759.23,590.73,1349.96,596.0
116,20170822,468.0,470.0,-201.92,304.58,102.66,938.0
117,20170821,801.0,432.0,-157.040000000001,435.209999999999,278.169999999998,1233.0
118,20170818,672.0,578.0,37.0,-1011.0,-974.0,1250.0
119,20170817,86.0,477.0,-28.1599999999999,814.639999999999,786.479999999999,563.0
120,20170816,-535.0,218.0,207.77,715.18,922.95,-317.0
121,20170815,-474.0,448.0,-206.299999999999,221.059999999999,14.76,-26.0
122,20170814,-432.0,401.0,-211.59,537.85,326.26,-31.0
123,20170811,-1185.0,-45.0,-732.0,-91.0,-823.0,-1230.0
124,20170810,-70.0,677.0,-436.9,247.879999999999,-189.020000000001,607.0
125,20170809,2472.0,380.0,747.09,570.530000000001,1317.62,2852.0
126,20170808,2117.0,855.0,1051.9,864.549999999999,1916.45,2972.0
127,20170807,1468.0,404.0,1620.91,1323.62,2944.53,1872.0
128,20170804,680.0,369.0,2075.0,869.0,2944.0,1049.0
129,20170803,1113.0,603.0,1320.73,1184.02,2504.75,1716.0
130,20170802,573.0,763.0,174.200000000001,197.07,371.270000000001,1336.0
131,20170801,1081.0,609.0,968.74,635.1,1603.84,1690.0
132,20170731,1346.0,462.0,938.9,1063.16,2002.06,1808.0
133,20170728,626.0,531.0,1465.0,940.0,2405.0,1157.0
134,20170727,-304.0,640.0,1513.77,1326.44,2840.21,336.0
135,20170726,-80.0,498.0,1299.3,589.450000000001,1888.75,418.0
136,20170725,1493.0,593.0,32.0699999999997,1289.14,1321.21,2086.0
137,20170724,787.0,699.0,206.530000000001,1486.65,1693.18,1486.0
138,20170721,957.0,551.0,382.0,1219.0,1601.0,1508.0
139,20170720,1340.0,921.0,-189.59,396.559999999999,206.969999999999,2261.0
140,20170719,1848.0,983.0,753.84,1107.74,1861.58,2831.0
141,20170718,776.0,377.0,1128.66,969.040000000001,2097.7,1153.0
142,20170717,1428.0,322.0,75.3199999999997,1371.96,1447.28,1750.0
143,20170714,1538.0,185.0,-85.0,267.0,182.0,1723.0
144,20170713,1358.0,647.0,790.49,651.52,1442.01,2005.0
145,20170712,2317.0,570.0,605.49,1079.17,1684.66,2887.0
146,20170711,2537.0,928.0,162.860000000001,753.74,916.600000000001,3465.0
147,20170710,2408.0,740.0,125.6,894.620000000001,1020.22,3148.0
148,20170707,1544.0,732.0,-128.0,482.0,354.0,2276.0
149,20170706,1644.0,623.0,-811.950000000001,-196.51,-1008.46,2267.0
150,20170705,1961.0,781.0,341.02,339.219999999999,680.239999999999,2742.0
151,20170704,2044.0,576.0,-311.190000000001,-201.719999999999,-512.91,2620.0
152,20170703,1984.0,456.0,179.26,321.76,501.02,2440.0
153,20170630,1008.0,503.0,-961.0,-112.0,-1073.0,1511.0
154,20170629,1714.0,410.0,2216.55,1021.08,3237.63,2124.0
155,20170628,432.0,391.0,-715.809999999999,401.52,-314.289999999999,823.0
156,20170627,774.0,615.0,1993.92,750.26,2744.18,1389.0
157,20170626,1378.0,564.0,-246.57,475.639999999999,229.069999999999,1942.0
158,20170623,-293.0,440.0,585.0,1062.0,1647.0,147.0
159,20170622,1563.0,566.0,490.52,1279.85,1770.37,2129.0
160,20170621,697.0,641.0,477.290000000001,1050.47,1527.76,1338.0
161,20170620,857.0,474.0,-92.7399999999998,494.459999999999,401.719999999999,1331.0
162,20170619,754.0,474.0,1203.24,1194.85,2398.09,1228.0
163,20170616,694.0,247.0,653.0,489.0,1142.0,941.0
164,20170615,87.0,334.0,1434.14,869.299999999999,2303.44,421.0
165,20170614,-326.0,434.0,-1006.74,-258.040000000001,-1264.78,108.0
166,20170613,-752.0,392.0,-96.4200000000001,697.299999999999,600.879999999999,-360.0
167,20170612,31.0,419.0,-1019.22,97.7199999999993,-921.500000000001,450.0
168,20170609,780.0,1255.0,903.0,564.0,1467.0,2035.0
169,20170608,351.0,749.0,1030.81,1390.35,2421.16,1100.0
170,20170607,-92.0,628.0,573.58,1807.93,2381.51,536.0
171,20170606,1041.0,485.0,893.370000000001,1232.6,2125.97,1526.0
172,20170605,-359.0,480.0,871.18,1016.79,1887.97,121.0
173,20170602,1500.0,433.0,704.0,1026.0,1730.0,1933.0
174,20170601,2821.0,540.0,-1872.28,266.02,-1606.26,3361.0
175,20170531,777.0,435.0,-1331.55,-213.709999999999,-1545.26,1212.0
176,20170526,,,-300.0,344.0,44.0,0.0
177,20170525,,,1074.65,599.84,1674.49,0.0
178,20170524,939.0,491.0,351.26,844.51,1195.77,1430.0
179,20170523,2243.0,321.0,-272.15,662.26,390.11,2564.0
180,20170522,2354.0,351.0,85.3299999999999,559.4,644.73,2705.0
181,20170519,2584.0,487.0,388.0,983.0,1371.0,3071.0
182,20170518,2902.0,857.0,166.290000000001,844.540000000001,1010.83,3759.0
183,20170517,2525.0,394.0,600.190000000001,954.440000000001,1554.63,2919.0
184,20170516,2973.0,564.0,1653.32,1508.79,3162.11,3537.0
185,20170515,2338.0,384.0,880.879999999999,876.030000000001,1756.91,2722.0
186,20170512,2360.0,269.0,-387.0,676.0,289.0,2629.0
187,20170511,2557.0,217.0,1406.42,960.799999999999,2367.22,2774.0
188,20170510,3064.0,240.0,1148.76,1133.63,2282.39,3304.0
189,20170509,1597.0,398.0,1141.13,1144.04,2285.17,1995.0
190,20170508,2107.0,44.0,-569.92,886.690000000001,316.770000000001,2151.0
191,20170505,2398.0,375.0,-774.0,577.0,-197.0,2773.0
192,20170504,1542.0,418.0,-500.459999999999,1678.48,1178.02,1960.0
193,20170502,-32.0,163.0,,,0.0,131.0
194,20170428,1493.0,348.0,795.0,972.0,1767.0,1841.0
195,20170427,2603.0,289.0,230.84,672.860000000001,903.700000000001,2892.0
196,20170426,2296.0,443.0,420.4,725.860000000001,1146.26,2739.0
197,20170425,1937.0,314.0,799.58,791.809999999999,1591.39,2251.0
198,20170424,650.0,280.0,50.4500000000007,416.51,466.960000000001,930.0
199,20170421,1784.0,401.0,81.0,650.0,731.0,2185.0
200,20170420,1193.0,227.0,930.059999999999,819.110000000001,1749.17,1420.0
201,20170419,412.0,33.0,450.690000000001,775.17,1225.86,445.0
