,trade_date,ggt_ss,ggt_sz,hgt,sgt,north_money,south_money
0,20181211,986.0,626.0,160.559999999998,365.589999999997,526.149999999995,1612.0
1,20181207,852.0,643.0,-354.279999999999,109.900000000001,-244.379999999998,1495.0
2,20181206,540.0,445.0,-2464.69,-1532.63,-3997.32,985.0
3,20181205,470.0,259.0,1201.65,-63.1699999999983,1138.48,729.0
4,20181204,45.0,-373.0,3457.9,1105.05,4562.95,-328.0
5,20181203,-774.0,-467.0,8900.84,3718.54,12619.38,-1241.0
6,20181130,-240.0,461.0,4252.0,1677.0,5929.0,221.0
7,20181129,-1084.0,58.0,1469.4,-181.800000000003,1287.6,-1026.0
8,20181128,-386.0,197.0,2067.59,808.839999999997,2876.43,-189.0
9,20181127,-535.0,87.0,367.459999999999,53.4700000000012,420.93,-448.0
10,20181126,-613.0,103.0,1835.79,837.300000000003,2673.09,-510.0
11,20181123,-293.0,7.0,-74.2200000000012,-669.699999999997,-743.919999999998,-286.0
12,20181122,-441.0,449.0,-360.599999999999,-15.5800000000017,-376.180000000001,8.0
13,20181121,324.0,416.0,591.239999999998,686.550000000003,1277.79,740.0
14,20181120,-236.0,286.0,-1897.58,-917.43,-2815.01,50.0
15,20181119,-321.0,171.0,1339.56,574.620000000003,1914.18,-150.0
16,20181116,535.0,166.0,1056.84,1211.74,2268.58,701.0
17,20181115,136.0,335.0,2464.32,351.949999999997,2816.27,471.0
18,20181114,-41.0,370.0,-458.870000000003,-193.739999999998,-652.610000000001,329.0
19,20181113,1430.0,354.0,1377.16,1296.8,2673.96,1784.0
20,20181112,773.0,247.0,950.809999999998,480.970000000001,1431.78,1020.0
21,20181109,-552.0,-682.0,82.1299999999974,302.360000000001,384.489999999998,-1234.0
22,20181108,-711.0,161.0,3439.72,651.650000000001,4091.37,-550.0
23,20181107,781.0,426.0,1841.6,451.209999999999,2292.81,1207.0
24,20181106,371.0,162.0,-547.459999999999,-952.790000000001,-1500.25,533.0
25,20181105,1268.0,291.0,678.230000000003,509.269999999997,1187.5,1559.0
26,20181102,1423.0,23.0,11322.09,6578.56,17900.65,1446.0
27,20181101,646.0,885.0,5760.62,2928.65,8689.27,1531.0
28,20181031,94.0,-34.0,4573.19,1448.9,6022.09,60.0
29,20181030,-85.0,183.0,1318.27,-605.449999999997,712.820000000003,98.0
30,20181029,-1428.0,-366.0,2732.44,170.68,2903.12,-1794.0
31,20181026,912.0,337.0,-809.349999999999,-750.830000000002,-1560.18,1249.0
