,trade_date,ggt_ss,ggt_sz,hgt,sgt,north_money,south_money
0,20160621,2514.0,,185.0,,185.0,2514.0
1,20160620,1888.0,,296.0,,296.0,1888.0
2,20160617,2144.0,,1161.0,,1161.0,2144.0
3,20160616,1972.0,,-580.0,,-580.0,1972.0
4,20160615,2389.0,,-473.0,,-473.0,2389.0
5,20160614,1792.0,,-8.0,,-8.0,1792.0
6,20160613,1601.0,,-880.0,,-880.0,1601.0
7,20160608,,,243.0,,243.0,0.0
8,20160607,,,1665.0,,1665.0,0.0
9,20160606,1547.0,,724.0,,724.0,1547.0
10,20160603,1388.0,,1935.0,,1935.0,1388.0
11,20160602,1429.0,,1205.0,,1205.0,1429.0
12,20160601,1541.0,,2422.0,,2422.0,1541.0
13,20160531,1840.0,,3771.0,,3771.0,1840.0
14,20160530,1369.0,,2985.0,,2985.0,1369.0
15,20160527,1260.0,,1149.0,,1149.0,1260.0
16,20160526,1426.0,,875.0,,875.0,1426.0
17,20160525,1233.0,,1566.0,,1566.0,1233.0
18,20160524,1221.0,,271.0,,271.0,1221.0
19,20160523,999.0,,706.0,,706.0,999.0
20,20160520,767.0,,612.0,,612.0,767.0
21,20160519,1042.0,,120.0,,120.0,1042.0
22,20160518,1105.0,,50.0,,50.0,1105.0
23,20160517,2627.0,,310.0,,310.0,2627.0
24,20160516,885.0,,457.0,,457.0,885.0
25,20160513,1270.0,,-360.0,,-360.0,1270.0
26,20160512,783.0,,33.0,,33.0,783.0
27,20160511,876.0,,-200.0,,-200.0,876.0
28,20160510,1246.0,,4.0,,4.0,1246.0
29,20160509,1286.0,,-112.0,,-112.0,1286.0
30,20160506,1806.0,,-934.0,,-934.0,1806.0
31,20160505,1523.0,,-185.0,,-185.0,1523.0
32,20160504,1573.0,,148.0,,148.0,1573.0
33,20160503,1289.0,,1083.0,,1083.0,1289.0
34,20160429,539.0,,481.0,,481.0,539.0
35,20160428,361.0,,152.0,,152.0,361.0
36,20160427,310.0,,-24.0,,-24.0,310.0
37,20160426,414.0,,631.0,,631.0,414.0
38,20160425,231.0,,303.0,,303.0,231.0
39,20160422,206.0,,284.0,,284.0,206.0
40,20160421,-159.0,,695.0,,695.0,-159.0
41,20160420,-214.0,,-1047.0,,-1047.0,-214.0
42,20160419,19.0,,543.0,,543.0,19.0
43,20160418,324.0,,-636.0,,-636.0,324.0
44,20160415,46.0,,295.0,,295.0,46.0
45,20160414,-266.0,,1907.0,,1907.0,-266.0
46,20160413,-337.0,,3561.0,,3561.0,-337.0
47,20160412,384.0,,1207.0,,1207.0,384.0
48,20160411,596.0,,1340.0,,1340.0,596.0
49,20160408,484.0,,71.0,,71.0,484.0
50,20160407,1170.0,,77.0,,77.0,1170.0
51,20160406,800.0,,-117.0,,-117.0,800.0
52,20160405,1214.0,,344.0,,344.0,1214.0
53,20160401,151.0,,23.0,,23.0,151.0
54,20160331,468.0,,2495.0,,2495.0,468.0
55,20160330,381.0,,1567.0,,1567.0,381.0
56,20160329,499.0,,145.0,,145.0,499.0
57,20160324,491.0,,,,0.0,491.0
58,20160323,594.0,,230.0,,230.0,594.0
59,20160322,332.0,,763.0,,763.0,332.0
60,20160321,531.0,,85.0,,85.0,531.0
61,20160318,457.0,,1332.0,,1332.0,457.0
62,20160317,265.0,,2005.0,,2005.0,265.0
63,20160316,720.0,,101.0,,101.0,720.0
64,20160315,242.0,,107.0,,107.0,242.0
65,20160314,809.0,,705.0,,705.0,809.0
66,20160311,795.0,,1217.0,,1217.0,795.0
67,20160310,610.0,,472.0,,472.0,610.0
68,20160309,981.0,,308.0,,308.0,981.0
69,20160308,838.0,,202.0,,202.0,838.0
70,20160307,425.0,,1153.0,,1153.0,425.0
71,20160304,69.0,,1800.0,,1800.0,69.0
72,20160303,36.0,,-308.0,,-308.0,36.0
73,20160302,286.0,,2992.0,,2992.0,286.0
74,20160301,517.0,,757.0,,757.0,517.0
75,20160229,234.0,,2013.0,,2013.0,234.0
76,20160226,335.0,,1640.0,,1640.0,335.0
77,20160225,581.0,,297.0,,297.0,581.0
78,20160224,893.0,,125.0,,125.0,893.0
79,20160223,544.0,,550.0,,550.0,544.0
80,20160222,811.0,,220.0,,220.0,811.0
81,20160219,539.0,,309.0,,309.0,539.0
82,20160218,317.0,,529.0,,529.0,317.0
83,20160217,872.0,,-44.0,,-44.0,872.0
84,20160216,456.0,,532.0,,532.0,456.0
85,20160215,1101.0,,124.0,,124.0,1101.0
86,20160205,,,241.0,,241.0,0.0
87,20160204,,,519.0,,519.0,0.0
88,20160203,1585.0,,-2058.0,,-2058.0,1585.0
89,20160202,1235.0,,96.0,,96.0,1235.0
90,20160201,537.0,,-192.0,,-192.0,537.0
91,20160129,750.0,,1694.0,,1694.0,750.0
92,20160128,711.0,,-342.0,,-342.0,711.0
93,20160127,894.0,,4485.0,,4485.0,894.0
94,20160126,897.0,,-235.0,,-235.0,897.0
95,20160125,485.0,,250.0,,250.0,485.0
96,20160122,661.0,,619.0,,619.0,661.0
97,20160121,1577.0,,-162.0,,-162.0,1577.0
98,20160120,1209.0,,-593.0,,-593.0,1209.0
99,20160119,988.0,,600.0,,600.0,988.0
100,20160118,1093.0,,383.0,,383.0,1093.0
101,20160115,912.0,,-105.0,,-105.0,912.0
102,20160114,1263.0,,-23.0,,-23.0,1263.0
103,20160113,1177.0,,200.0,,200.0,1177.0
104,20160112,1185.0,,-636.0,,-636.0,1185.0
105,20160111,1472.0,,-456.0,,-456.0,1472.0
106,20160108,1645.0,,295.0,,295.0,1645.0
107,20160107,946.0,,27.0,,27.0,946.0
108,20160106,1440.0,,-497.0,,-497.0,1440.0
109,20160105,339.0,,1621.0,,1621.0,339.0
110,20160104,383.0,,63.0,,63.0,383.0
111,20151231,432.0,,-454.0,,-454.0,432.0
112,20151230,766.0,,664.0,,664.0,766.0
113,20151229,428.0,,906.0,,906.0,428.0
114,20151228,545.0,,35.0,,35.0,545.0
115,20151224,212.0,,,,0.0,212.0
116,20151223,723.0,,-217.0,,-217.0,723.0
117,20151222,721.0,,-500.0,,-500.0,721.0
118,20151221,638.0,,-116.0,,-116.0,638.0
119,20151218,1344.0,,-54.0,,-54.0,1344.0
120,20151217,1133.0,,1297.0,,1297.0,1133.0
121,20151216,1211.0,,-474.0,,-474.0,1211.0
122,20151215,1441.0,,411.0,,411.0,1441.0
123,20151214,1730.0,,-300.0,,-300.0,1730.0
124,20151211,1037.0,,-141.0,,-141.0,1037.0
125,20151210,1043.0,,-281.0,,-281.0,1043.0
126,20151209,1028.0,,463.0,,463.0,1028.0
127,20151208,1025.0,,-391.0,,-391.0,1025.0
128,20151207,960.0,,125.0,,125.0,960.0
129,20151204,1010.0,,-349.0,,-349.0,1010.0
130,20151203,902.0,,-839.0,,-839.0,902.0
131,20151202,704.0,,-331.0,,-331.0,704.0
132,20151201,484.0,,755.0,,755.0,484.0
133,20151130,345.0,,3467.0,,3467.0,345.0
134,20151127,244.0,,265.0,,265.0,244.0
135,20151126,292.0,,670.0,,670.0,292.0
136,20151125,580.0,,153.0,,153.0,580.0
137,20151124,306.0,,424.0,,424.0,306.0
138,20151123,767.0,,23.0,,23.0,767.0
139,20151120,468.0,,110.0,,110.0,468.0
140,20151119,405.0,,-3.0,,-3.0,405.0
141,20151118,278.0,,60.0,,60.0,278.0
142,20151117,275.0,,-312.0,,-312.0,275.0
143,20151116,640.0,,-9.0,,-9.0,640.0
144,20151113,666.0,,-10.0,,-10.0,666.0
145,20151112,139.0,,-1534.0,,-1534.0,139.0
146,20151111,580.0,,-2636.0,,-2636.0,580.0
147,20151110,574.0,,-2556.0,,-2556.0,574.0
148,20151109,650.0,,-1278.0,,-1278.0,650.0
149,20151106,766.0,,-1354.0,,-1354.0,766.0
150,20151105,613.0,,-3878.0,,-3878.0,613.0
151,20151104,516.0,,-2191.0,,-2191.0,516.0
152,20151103,103.0,,-851.0,,-851.0,103.0
153,20151102,273.0,,-967.0,,-967.0,273.0
154,20151030,332.0,,-1119.0,,-1119.0,332.0
155,20151029,299.0,,-1488.0,,-1488.0,299.0
156,20151028,250.0,,-967.0,,-967.0,250.0
157,20151027,-128.0,,-84.0,,-84.0,-128.0
158,20151026,3.0,,-959.0,,-959.0,3.0
159,20151023,231.0,,-874.0,,-874.0,231.0
