,f1,收盘价,今日涨幅,价格变动,成交量,成交额,f7,换手,f9,量比,f11,代号,f13,名字,今日最高价,今日最低价,今日开盘价,昨天收盘价,总市值,流通市值,f22,市净率,f24,f25,主力净流入,市盈率,f128,f140,f141,f136,f152,股息率
18,2.0,15.83,10.01,1.44,371910.0,576632784.0,10.28,16.22,411.56,1.27,0.0,000038.SZ,0.0,深大通,15.83,14.35,14.35,14.39,8275566543.0,3628564140.0,0.0,2.91,115.08,24.06,183981978.0,-3.37,0.0,0.0,0.0,0.0,2.0,0.0
19,2.0,32.11,10.0,2.92,5225.0,16778791.0,0.0,1.01,92.61,1.75,0.0,300530.SZ,0.0,达志科技,32.11,32.11,32.11,29.19,3391104990.0,1663017744.0,0.0,6.67,24.12,57.87,-481651.0,75.5,0.0,0.0,0.0,0.0,2.0,0.0
20,2.0,10.56,10.0,0.96,179683.0,183692840.0,10.21,3.52,43.68,5.13,0.0,603333.SH,1.0,尚纬股份,10.56,9.58,9.58,9.6,5490196800.0,5383597433.0,0.0,3.8,9.43,112.05,18318527.0,58.32,0.0,0.0,0.0,0.0,2.0,0.0
21,2.0,19.91,10.0,1.81,3092.0,6156331.0,0.0,0.44,109.73,0.48,0.0,603093.SH,1.0,南华期货,19.91,19.91,19.91,18.1,11547800000.0,1393700000.0,0.0,4.83,311.36,311.36,4050311.0,93.21,0.0,0.0,0.0,0.0,2.0,0.0
22,2.0,15.62,10.0,1.42,1106.0,1726791.0,0.0,0.25,50.7,1.51,0.0,002961.SZ,0.0,瑞达期货,15.62,15.62,15.62,14.2,6950900000.0,702900000.0,0.0,4.2,180.43,180.43,1221155.0,60.58,0.0,0.0,0.0,0.0,2.0,0.0
23,2.0,11.0,10.0,1.0,14819.0,16300944.0,0.0,0.82,59.92,0.27,0.0,002758.SZ,0.0,华通医药,11.0,11.0,11.0,10.0,2311500543.0,1982979988.0,0.0,3.71,16.03,55.15,9087232.0,69.1,0.0,0.0,0.0,0.0,2.0,0.0
24,2.0,9.46,10.0,0.86,26712.0,24827190.0,10.35,1.67,-44.02,1.86,0.0,002473.SZ,0.0,圣莱达,9.46,8.57,8.57,8.6,1513600000.0,1513600000.0,0.0,5.39,10.39,43.77,9751250.0,-106.71,0.0,0.0,0.0,0.0,2.0,0.0
25,2.0,54.02,10.0,4.91,52291.0,272383248.0,12.26,11.68,89.3,2.22,0.0,002892.SZ,0.0,科力尔,54.02,48.0,49.09,49.11,7677322400.0,2418540224.0,0.0,12.0,85.64,248.07,57439665.0,89.41,0.0,0.0,0.0,0.0,2.0,0.0
26,2.0,37.52,10.0,3.41,1471.0,5518779.0,0.0,0.35,61.08,3.98,0.0,603927.SH,1.0,中科软,37.52,37.52,37.52,34.11,15908480000.0,1590848000.0,0.0,8.99,131.89,131.89,4152638.0,45.32,0.0,0.0,0.0,0.0,2.0,0.0
27,2.0,27.63,9.99,2.51,628723.0,1648937232.0,12.26,18.96,999.7,1.32,0.0,002201.SZ,0.0,九鼎新材,27.63,24.55,24.75,25.12,9186076196.0,9163084002.0,0.0,10.17,308.73,336.49,172485966.0,510.13,0.0,0.0,0.0,0.0,2.0,0.0
28,2.0,22.37,9.98,2.03,61876.0,137994301.0,1.82,11.46,48.78,0.76,0.0,603121.SH,1.0,华培动力,22.37,22.0,22.0,20.34,4831920000.0,1207980000.0,0.0,4.56,13.55,89.74,5894413.0,54.47,0.0,0.0,0.0,0.0,2.0,0.0
