,f1,f2,今日涨幅,价格变动,成交量,成交额,f7,换手,市盈(动),量比,f11,f12,f13,名字,今日最高价,今日最低价,今日开盘价,昨天收盘价,流通市值,总市值,f22,市净率,f24,f25,主力净流入,市盈率,f128,f140,f141,f136,f152,gxl
342,2,29.1,2.61,0.74,246976,714829936.0,4.02,4.4,53.89,1.33,-0.07,002396.SZ,0,星网锐捷,29.25,28.11,28.26,28.36,16973456090,16317543167,0.03,4.58,33.79,70.08,-9812250.0,27.31,-,-,-,-,2,0.03780068728522337
3415,2,13.23,-1.34,-0.18,71107,94622727.0,2.61,2.42,13.15,0.69,0.0,000666.SZ,0,经纬纺机,13.5,13.15,13.46,13.41,9315639900,3883253274,0.0,1.08,0.15,23.3,-9414583.0,11.13,-,-,-,-,2,0.03779289493575208
200,2,11.41,3.73,0.41,223415,253790131.0,4.73,2.87,42.93,1.24,0.18,600765.SH,1,中航重机,11.61,11.09,11.14,11.0,8877016512,8877016512,0.0,1.95,20.11,54.19,13305161.0,24.12,-,-,-,-,2,0.03768624014022787
2276,2,26.58,-0.15,-0.04,15723,41918007.0,1.62,3.07,72.97,0.73,-0.15,300688.SZ,0,创业黑马,26.88,26.45,26.78,26.62,2530416000,1359676802,0.3,6.82,-8.5,-6.51,-2928583.0,176.7,-,-,-,-,2,0.03762227238525207
125,2,13.3,4.72,0.6,2068394,2754183968.0,9.53,8.3,135.8,1.34,0.08,000066.SZ,0,中国长城,13.87,12.66,12.7,12.7,38944821305,33126340710,0.08,6.23,39.41,183.58,104913440.0,44.27,-,-,-,-,2,0.03759398496240601
1702,2,10.12,0.2,0.02,96096,97462398.0,2.67,1.55,40.5,0.71,0.1,000889.SZ,0,中嘉博创,10.29,10.02,10.13,10.1,6771311056,6291034365,0.0,1.86,-10.6,-0.39,-7765095.0,29.88,-,-,-,-,2,0.03754940711462451
1238,2,6.69,0.6,0.04,81455,54486029.0,1.35,2.6,44.49,0.43,-0.3,300444.SZ,0,双杰电气,6.74,6.65,6.68,6.65,3918792376,2093356969,-0.15,2.64,-11.51,2.14,-6592284.0,57.89,-,-,-,-,2,0.03736920777279521
1241,2,13.43,0.6,0.08,205765,276917168.0,6.59,4.43,118.98,0.93,0.0,300229.SZ,0,拓尔思,13.99,13.11,13.2,13.35,6419690685,6242465383,0.0,3.37,21.65,56.53,2663016.0,92.03,-,-,-,-,2,0.037344229337304545
1627,2,8.04,0.25,0.02,262633,212806505.0,2.37,1.19,31.14,1.31,0.0,002075.SZ,0,沙钢股份,8.19,8.0,8.03,8.02,17742445047,17742436605,-0.12,3.75,-2.55,0.5,-12684133.0,21.77,-,-,-,-,2,0.0373134328358209
3641,2,5.38,-2.0,-0.11,393566,212450489.0,2.19,2.18,43.38,0.91,0.37,601375.SH,1,中原证券,5.46,5.34,5.46,5.49,20815600366,9698755608,0.19,2.04,0.75,26.29,-22792699.0,130.11,-,-,-,-,2,0.03717472118959108
2771,2,107.71,-0.54,-0.59,14549,157653392.0,2.6,1.19,54.35,0.69,-0.04,002821.SZ,0,凯莱英,109.88,107.06,108.29,108.3,24925167007,13157503112,-0.11,9.23,14.83,59.69,1642513.0,49.76,-,-,-,-,2,0.03713675610435429
1723,2,11.06,0.18,0.02,73875,82138231.0,2.72,0.97,72.87,1.1,0.09,002030.SZ,0,达安基因,11.28,10.98,11.09,11.04,8819382460,8406844195,0.0,3.79,-0.09,9.29,2860016.0,86.01,-,-,-,-,2,0.03707052441229656
3647,2,12.99,-2.04,-0.27,85288,111199137.0,2.64,1.35,29.24,0.82,0.08,002675.SZ,0,东诚药业,13.26,12.91,13.26,13.26,10420764095,8228746410,0.0,2.41,14.25,66.11,-14421544.0,30.06,-,-,-,-,2,0.03695150115473441
1368,2,27.91,0.47,0.13,62923,175428771.0,2.09,1.91,25.38,0.58,0.04,600702.SH,1,舍得酒业,28.09,27.51,27.68,27.78,9414043000,9196875290,0.04,3.54,7.64,22.84,16878563.0,26.05,-,-,-,-,2,0.03690433536366894
2039,2,8.14,0.0,0.0,11280,9191581.0,1.35,0.32,-414.86,0.48,0.12,300087.SZ,0,荃银高科,8.18,8.07,8.17,8.14,3502886778,2839065138,0.12,4.82,-16.94,-20.43,-259152.0,44.03,-,-,-,-,2,0.036855036855036855
3520,2,22.05,-1.56,-0.35,70262,155381048.0,2.9,4.28,13.44,0.81,0.27,300682.SZ,0,朗新科技,22.59,21.94,22.49,22.4,14991699987,3618738396,0.0,3.76,25.5,35.53,-17010887.0,21.88,-,-,-,-,2,0.036734693877551024
1671,2,13.63,0.22,0.03,12343,16837622.0,1.18,2.78,203.38,0.98,0.0,603683.SH,1,晶华新材,13.72,13.56,13.68,13.6,1726512100,606126100,-0.07,2.19,-2.43,-1.09,-233789.0,176.23,-,-,-,-,2,0.036683785766691124
284,2,21.87,2.97,0.63,36990,80624974.0,4.52,1.84,78.32,1.07,-0.05,300634.SZ,0,彩讯股份,22.15,21.19,21.23,21.24,8748218700,4393354950,0.0,6.94,-3.78,-8.07,2822439.0,54.68,-,-,-,-,2,0.03657978966620942
3127,2,5.49,-0.9,-0.05,71433,39253511.0,2.53,1.27,10.68,0.73,0.18,600469.SH,1,风神股份,5.58,5.44,5.55,5.54,3087648589,3087648589,0.37,1.46,7.02,56.41,42797.0,12.22,-,-,-,-,2,0.03642987249544627
778,2,4.13,1.23,0.05,144965,59798810.0,2.45,0.18,11.16,1.22,0.0,600297.SH,1,广汇汽车,4.16,4.06,4.08,4.08,33700714716,33495546228,0.0,0.91,-5.92,1.98,6481205.0,12.68,-,-,-,-,2,0.03631961259079903
646,2,27.54,1.51,0.41,79039,218087295.0,3.28,1.84,53.62,0.74,0.15,600456.SH,1,宝钛股份,28.1,27.21,27.54,27.13,11849517378,11849517378,0.04,3.28,18.25,83.72,2826755.0,54.46,-,-,-,-,2,0.03631082062454612
3457,2,5.51,-1.43,-0.08,162289,89903715.0,4.29,2.05,34.92,1.34,0.0,300307.SZ,0,慈星股份,5.71,5.47,5.59,5.59,4419020000,4370660223,0.0,1.08,-19.44,15.76,-27628864.0,65.53,-,-,-,-,2,0.036297640653357534
1454,2,138.38,0.39,0.54,10560,146446213.0,1.49,6.39,30.91,0.73,0.1,300776.SZ,0,帝尔激光,139.45,137.4,139.0,137.84,9150398257,2288251680,-0.01,6.86,11.18,139.79,-3090472.0,38.18,-,-,-,-,2,0.03613238907356554
