,f1,f2,今日涨幅,价格变动,成交量,成交额,f7,换手,市盈(动),量比,f11,f12,f13,名字,今日最高价,今日最低价,今日开盘价,昨天收盘价,流通市值,总市值,f22,市净率,f24,f25,主力净流入,市盈率,f128,f140,f141,f136,f152,gxl
2696,2,6.18,-0.48,-0.03,53018,32841666.0,1.45,1.26,20.41,0.57,0.0,600738.SH,1,兰州民百,6.25,6.16,6.23,6.21,4839529794,2603376622,-0.16,2.59,-19.74,50.73,-4419333.0,2.97,-,-,-,-,2,2.5889967637540456
3217,2,8.72,-1.02,-0.09,263531,231625698.0,2.72,1.2,4.92,1.04,-0.11,002110.SZ,0,三钢闽光,8.92,8.68,8.84,8.81,21377744795,19215248617,-0.11,1.24,-0.68,21.28,-15803246.0,3.93,-,-,-,-,2,2.293577981651376
3730,2,9.01,-2.59,-0.24,250982,227767068.0,3.24,1.81,6.18,1.56,0.11,600507.SH,1,方大特钢,9.21,8.91,9.17,9.25,13044411448,12496475056,0.0,2.23,-1.96,8.69,-29726484.0,4.87,-,-,-,-,2,1.8867924528301887
3288,2,4.4,-1.12,-0.05,139565,61600903.0,1.57,0.95,7.11,1.13,0.0,000036.SZ,0,华联控股,4.46,4.39,4.46,4.45,6529309710,6490102538,0.0,1.42,-19.71,16.4,-11411568.0,6.23,-,-,-,-,2,1.3636363636363635
2856,2,11.35,-0.61,-0.07,218829,250578917.0,3.24,0.74,5.2,0.91,0.0,600188.SH,1,兖州煤业,11.65,11.28,11.56,11.42,55751381600,33594632325,0.0,1.03,7.58,37.74,-23476667.0,6.24,-,-,-,-,2,1.3568281938325992
2447,2,32.22,-0.28,-0.09,7873,25454645.0,0.9,1.28,17.45,0.63,0.06,300741.SZ,0,华宝股份,32.48,32.19,32.33,32.31,19843653600,1984429800,0.03,2.8,1.67,19.02,180622.0,16.29,-,-,-,-,2,1.2414649286157666
2670,2,8.52,-0.47,-0.04,28569,24566608.0,3.04,2.27,27.14,1.09,0.0,002843.SZ,0,泰嘉股份,8.71,8.45,8.57,8.56,1789200000,1073520000,0.12,3.19,-6.89,15.6,-2415967.0,31.51,-,-,-,-,2,1.1737089201877935
1920,2,2.8,0.0,0.0,249739,70062798.0,1.43,0.42,9.42,1.43,0.36,600808.SH,1,马钢股份,2.83,2.79,2.8,2.8,21561907321,16709703321,0.0,0.88,-10.26,-11.11,5526383.0,5.89,-,-,-,-,2,1.1071428571428572
2373,2,13.21,-0.23,-0.03,205769,273266288.0,2.49,2.06,24.73,0.51,0.23,603328.SH,1,依顿电子,13.46,13.13,13.26,13.24,13178346475,13178346475,0.0,3.25,37.03,43.59,8056598.0,19.92,-,-,-,-,2,1.0976532929598788
2375,2,4.38,-0.23,-0.01,29630,13031370.0,1.37,0.33,18.69,0.82,0.0,002540.SZ,0,亚太科技,4.43,4.37,4.4,4.39,5564919210,3919805940,0.0,1.21,-11.16,1.86,-258085.0,16.57,-,-,-,-,2,1.096568493150685
1734,2,5.7,0.18,0.01,98865,56354782.0,1.76,0.39,5.77,0.72,0.0,601003.SH,1,柳钢股份,5.75,5.65,5.68,5.69,14607921240,14607921240,-0.18,1.42,-2.23,-4.52,2341563.0,3.81,-,-,-,-,2,1.0526315789473684
3165,2,29.39,-0.94,-0.28,39481,116261665.0,1.52,0.62,12.22,1.06,-0.03,603156.SH,1,养元饮品,29.76,29.31,29.73,29.67,30994047420,18793298102,0.07,2.81,-22.13,6.64,-657533.0,11.08,-,-,-,-,2,1.0207553589656346
3198,2,8.86,-1.01,-0.09,22043,19728202.0,2.46,0.55,-30.12,0.83,0.11,002713.SZ,0,东易日盛,9.04,8.82,8.99,8.95,3723392699,3556649076,-0.11,4.13,-19.16,-4.22,-725218.0,20.7,-,-,-,-,2,0.9932279909706547
369,2,15.58,2.5,0.38,38224,59776600.0,5.0,3.65,12.46,1.97,-0.06,002884.SZ,0,凌霄泵业,15.88,15.12,15.33,15.2,3002060282,1631988345,0.0,2.43,5.13,29.62,-3164763.0,12.06,-,-,-,-,2,0.962772785622593
2554,2,5.36,-0.37,-0.02,99466,53501482.0,2.42,2.11,32.85,0.61,0.0,002536.SZ,0,飞龙股份,5.46,5.33,5.45,5.38,2683815323,2525477777,0.0,1.3,-19.28,-8.38,-3104126.0,17.1,-,-,-,-,2,0.9328358208955223
2466,2,3.42,-0.29,-0.01,296504,101953503.0,2.04,0.67,4.11,1.07,0.29,600282.SH,1,南钢股份,3.47,3.4,3.43,3.43,15140811471,15140811471,0.0,0.94,-1.16,9.62,8970752.0,4.25,-,-,-,-,2,0.8771929824561404
2901,2,7.54,-0.66,-0.05,27344,20707441.0,1.84,0.76,15.72,0.82,-0.13,300121.SZ,0,阳谷华泰,7.66,7.52,7.65,7.59,2930132263,2714206456,0.0,1.84,-7.37,-4.44,-228383.0,12.2,-,-,-,-,2,0.8620689655172413
2224,2,11.66,-0.09,-0.01,27415,31989181.0,1.03,0.48,10.31,1.33,-0.09,601566.SH,1,九牧王,11.72,11.6,11.68,11.67,6700269169,6700269169,-0.09,1.59,-4.74,-4.82,-1327315.0,11.25,-,-,-,-,2,0.8576329331046312
3212,2,2.92,-1.02,-0.03,66300,19382861.0,1.36,0.73,23.7,0.86,-0.34,002516.SZ,0,旷达科技,2.95,2.91,2.93,2.95,4294848951,2664117804,0.0,1.23,-3.95,12.74,-2633348.0,24.7,-,-,-,-,2,0.8561643835616438
2407,2,20.04,-0.25,-0.05,74545,150016617.0,1.39,1.37,14.32,0.6,-0.05,603858.SH,1,步长制药,20.26,19.98,20.15,20.09,22877275424,10889334198,0.05,2.06,5.81,10.11,-9565373.0,11.52,-,-,-,-,2,0.8053892215568863
2336,2,9.97,-0.2,-0.02,128325,127999528.0,1.5,1.61,6.59,0.84,0.0,000789.SZ,0,万年青,10.05,9.9,10.01,9.99,7949815570,7949627067,0.0,1.93,0.81,28.48,-17242580.0,6.48,-,-,-,-,2,0.8024072216649949
870,2,3.77,1.07,0.04,268751,101630772.0,1.61,1.01,9.78,1.21,0.0,601636.SH,1,旗滨集团,3.81,3.75,3.78,3.73,10134065144,10016074700,0.0,1.38,0.53,7.71,-8839543.0,9.47,-,-,-,-,2,0.7957559681697612
1063,2,6.3,0.8,0.05,399982,252044366.0,1.92,0.18,11.34,1.32,-0.32,600019.SH,1,宝钢股份,6.34,6.22,6.27,6.25,140329100363,139236847628,0.0,0.82,-3.67,5.0,-3698157.0,7.91,-,-,-,-,2,0.7936507936507937
2860,2,6.44,-0.62,-0.04,79346,51178239.0,1.39,0.16,7.96,0.69,0.16,600177.SH,1,雅戈尔,6.51,6.42,6.5,6.48,32290329333,32290329333,0.0,1.16,0.94,34.73,-1827616.0,7.66,-,-,-,-,2,0.7763975155279502
3266,2,3.62,-1.09,-0.04,210939,76684669.0,1.64,0.89,11.21,1.07,0.28,600565.SH,1,迪马股份,3.67,3.61,3.66,3.66,8825474148,8574970148,0.0,1.11,-3.98,56.03,-2338015.0,7.19,-,-,-,-,2,0.7734806629834253
2734,2,3.88,-0.51,-0.02,70631,27338125.0,2.31,0.31,9.48,1.01,0.26,000718.SZ,0,苏宁环球,3.94,3.85,3.92,3.9,11774389170,8882691312,0.26,1.5,10.54,34.72,-3643092.0,9.65,-,-,-,-,2,0.7731958762886598
3536,2,8.49,-1.62,-0.14,41791,35411451.0,3.13,0.82,19.76,0.68,0.0,603669.SH,1,灵康药业,8.67,8.4,8.62,8.63,4326504000,4326504000,0.0,3.27,11.71,25.78,-3853414.0,19.4,-,-,-,-,2,0.7656065959952886
1717,2,5.4,0.19,0.01,56995,30971284.0,1.67,0.34,7.19,0.95,-0.18,600395.SH,1,盘江股份,5.48,5.39,5.45,5.39,8937280049,8937280049,0.0,1.47,-2.88,17.14,-2804317.0,8.6,-,-,-,-,2,0.7407407407407407
2185,2,7.6,0.0,0.0,20426,15525244.0,0.39,0.16,10.79,0.76,0.13,000429.SZ,0,粤高速Ａ,7.61,7.58,7.6,7.6,15890126558,9901053277,0.0,1.73,-4.88,-2.94,-1527346.0,9.72,-,-,-,-,2,0.7394736842105264
2470,2,10.09,-0.3,-0.03,76585,77527072.0,0.89,0.66,8.59,0.78,-0.2,002233.SZ,0,塔牌集团,10.17,10.08,10.13,10.12,12030054911,11725081523,-0.1,1.36,-9.91,8.15,-7542911.0,7.7,-,-,-,-,2,0.7234886025768087
1673,2,4.57,0.22,0.01,209717,95903578.0,1.32,0.68,10.68,0.74,0.0,600873.SH,1,梅花生物,4.61,4.55,4.57,4.56,14186603646,14079010719,0.0,1.83,0.44,17.48,-8790916.0,11.86,-,-,-,-,2,0.7221006564551421
2270,2,6.94,-0.14,-0.01,19608,13650175.0,1.15,0.38,19.59,0.64,0.14,002327.SZ,0,富安娜,6.99,6.91,6.98,6.95,6068635836,3607155158,0.0,1.92,-7.59,-1.0,-1714879.0,11.82,-,-,-,-,2,0.7204610951008645
334,2,5.35,2.69,0.14,2705014,1450600320.0,1.92,0.28,10.33,3.36,0.0,600028.SH,1,中国石化,5.41,5.31,5.39,5.21,647730971606,511234075096,0.19,0.91,-1.11,11.69,-134248544.0,12.26,-,-,-,-,2,0.7102803738317757
1859,2,14.33,0.0,0.0,8037,11532140.0,0.84,0.4,26.1,0.91,0.21,603877.SH,1,太平鸟,14.4,14.28,14.33,14.33,6889280769,2873076011,-0.07,2.23,-9.07,-19.45,342072.0,13.61,-,-,-,-,2,0.6978367062107467
3203,2,5.88,-1.01,-0.06,190206,113509574.0,5.05,1.59,7.14,1.47,0.17,600971.SH,1,恒源煤电,6.12,5.82,6.01,5.94,7056028718,7056028718,0.0,0.89,-0.17,35.17,5317745.0,5.59,-,-,-,-,2,0.6972789115646258
2306,2,17.37,-0.17,-0.03,81382,141598858.0,1.44,0.97,6.97,0.93,0.29,000581.SZ,0,威孚高科,17.53,17.28,17.41,17.4,17525471401,14529839829,-0.06,1.1,-9.3,5.53,-7518372.0,8.32,-,-,-,-,2,0.690846286701209
2259,2,14.49,-0.14,-0.02,23064,33419903.0,1.45,1.25,9.85,1.3,0.35,002756.SZ,0,永兴材料,14.61,14.4,14.61,14.51,5216400000,2675105242,0.0,1.58,-1.5,32.69,169104.0,12.18,-,-,-,-,2,0.6901311249137336
554,2,10.42,1.76,0.18,54941,57051727.0,2.25,0.38,7.21,1.07,0.39,600548.SH,1,深高速,10.5,10.27,10.27,10.24,22723626797,14934676797,0.1,1.3,7.98,26.0,4586411.0,5.61,-,-,-,-,2,0.6813819577735124
2916,2,2.94,-0.68,-0.02,40344,11915177.0,1.69,0.17,8.11,1.06,0.0,000631.SZ,0,顺发恒业,2.98,2.93,2.95,2.96,7151606354,7151606354,0.0,1.13,-4.23,6.14,-878786.0,10.0,-,-,-,-,2,0.6802721088435374
2763,2,7.37,-0.54,-0.04,98775,73609026.0,3.1,0.72,10.34,1.47,0.14,600681.SH,1,百川能源,7.57,7.34,7.46,7.41,10632996085,10127124790,0.0,2.43,-2.12,-9.01,-1553836.0,10.44,-,-,-,-,2,0.6784260515603799
2829,2,3.33,-0.6,-0.02,171830,57497638.0,1.79,0.21,10.99,1.06,0.0,000898.SZ,0,鞍钢股份,3.37,3.31,3.35,3.35,31319483169,26618997667,0.3,0.61,-12.6,-11.9,-7499927.0,6.35,-,-,-,-,2,0.6606606606606606
2749,2,15.18,-0.52,-0.08,20160,30721208.0,1.18,0.38,14.51,0.63,0.07,002737.SZ,0,葵花药业,15.32,15.14,15.26,15.26,8865120000,8096824451,-0.13,2.96,-2.5,10.16,-4249489.0,15.13,-,-,-,-,2,0.6587615283267457
3613,2,7.75,-1.9,-0.15,117023,91081331.0,2.03,0.88,14.39,1.04,-0.13,601515.SH,1,东风股份,7.9,7.74,7.89,7.9,10341600000,10341600000,0.0,2.61,-7.07,40.91,-10865743.0,13.8,-,-,-,-,2,0.6451612903225806
2838,2,8.28,-0.6,-0.05,113600,93908868.0,2.4,2.17,32.02,0.69,0.24,002367.SZ,0,康力电梯,8.39,8.19,8.39,8.33,6604564248,4341052128,0.12,2.32,17.45,63.31,-19298487.0,84.53,-,-,-,-,2,0.640096618357488
1197,2,9.41,0.64,0.06,23222,21809102.0,0.86,0.5,8.21,0.91,0.11,603167.SH,1,渤海轮渡,9.43,9.35,9.36,9.35,4449110134,4337771014,0.11,1.37,-7.47,15.32,-502354.0,10.66,-,-,-,-,2,0.6376195536663124
2494,2,6.33,-0.31,-0.02,30440,19306199.0,2.52,0.73,11.93,0.93,0.32,002775.SZ,0,文科园林,6.44,6.28,6.4,6.35,3245772699,2636201295,0.16,1.28,-1.56,9.14,-1384950.0,12.71,-,-,-,-,2,0.631911532385466
2488,2,3.22,-0.31,-0.01,23376,7581269.0,1.55,0.23,-8.75,0.73,0.0,000780.SZ,0,平庄能源,3.27,3.22,3.23,3.23,3266066363,3266066363,0.0,0.91,-8.26,15.0,-696104.0,-7.88,-,-,-,-,2,0.6211180124223602
269,2,11.3,3.1,0.34,146244,164146205.0,3.92,2.68,21.66,1.05,0.36,002117.SZ,0,东港股份,11.36,10.93,10.99,10.96,6166030557,6164049972,0.0,4.07,3.01,25.98,13043640.0,23.11,-,-,-,-,2,0.6194690265486725
2732,2,7.78,-0.51,-0.04,237735,184963711.0,1.02,0.16,7.19,1.01,0.13,601006.SH,1,大秦铁路,7.83,7.75,7.82,7.82,115663637800,115663637800,0.0,1.08,-6.04,0.39,3046381.0,8.13,-,-,-,-,2,0.6169665809768637
2078,2,9.97,0.0,0.0,17998,17979888.0,0.8,0.56,10.0,0.93,0.0,002394.SZ,0,联发股份,10.03,9.95,10.02,9.97,3356380560,3210970194,0.0,1.02,-0.1,1.94,-384973.0,7.93,-,-,-,-,2,0.6018054162487462
805,2,4.35,1.16,0.05,158651,68829774.0,2.09,0.42,5.14,1.65,-0.23,600823.SH,1,世茂股份,4.38,4.29,4.31,4.3,16317581935,16317581935,0.0,0.67,-3.55,24.29,-9618246.0,6.41,-,-,-,-,2,0.5977011494252874
2579,2,10.19,-0.39,-0.04,29598,30306323.0,2.83,2.07,9.7,0.74,0.1,603878.SH,1,武进不锈,10.44,10.15,10.44,10.23,2916951901,1458620180,-0.1,1.33,-6.17,33.03,-1901333.0,11.32,-,-,-,-,2,0.5888125613346419
2030,2,4.18,0.0,0.0,62911,26314785.0,1.67,1.16,11.84,0.85,0.24,300230.SZ,0,永利股份,4.22,4.15,4.17,4.18,3411741251,2269353517,0.0,1.12,-7.32,-9.91,-2526650.0,10.8,-,-,-,-,2,0.5861244019138757
793,2,8.56,1.18,0.1,58983,50714027.0,2.96,0.86,6.47,1.28,0.23,002016.SZ,0,世荣兆业,8.71,8.46,8.51,8.46,6925858610,5879398610,-0.23,2.45,1.66,0.47,1400670.0,7.79,-,-,-,-,2,0.5841121495327103
1044,2,22.1,0.82,0.18,21967,48548535.0,1.37,0.74,12.65,0.91,0.14,600897.SH,1,厦门空港,22.2,21.9,21.98,21.92,6581601000,6581601000,0.09,1.89,-8.87,10.44,-3906291.0,12.79,-,-,-,-,2,0.5791855203619909
3066,2,20.15,-0.84,-0.17,123896,250030038.0,1.53,0.91,6.68,0.73,-0.05,600801.SH,1,华新水泥,20.38,20.07,20.33,20.32,42246487078,27441879078,0.0,2.33,4.24,81.21,-8681282.0,6.73,-,-,-,-,2,0.5707196029776676
3284,2,8.82,-1.12,-0.1,74425,66179762.0,2.35,1.21,25.39,0.54,0.11,002238.SZ,0,天威视讯,9.01,8.8,8.9,8.92,5445055224,5445055224,0.0,2.12,-1.45,47.0,-7011026.0,27.48,-,-,-,-,2,0.5668934240362812
3169,2,22.98,-0.95,-0.22,36483,84076634.0,2.41,0.48,21.72,0.78,0.04,002242.SZ,0,九阳股份,23.35,22.79,23.29,23.2,17634185580,17534625649,0.09,4.78,9.43,51.08,-1921654.0,22.32,-,-,-,-,2,0.5657093124456049
241,2,10.35,3.29,0.33,51131,52472604.0,4.49,2.17,43.05,1.33,-0.19,603696.SH,1,安记食品,10.47,10.02,10.05,10.02,2434320000,2434320000,-0.1,4.23,2.78,59.23,1938493.0,52.32,-,-,-,-,2,0.5652173913043478
852,2,26.58,1.1,0.29,375019,998306704.0,2.28,1.67,11.57,1.81,-0.19,601155.SH,1,新城控股,26.91,26.31,26.72,26.29,59983728864,59698259664,0.15,2.1,-32.5,19.78,34207149.0,5.69,-,-,-,-,2,0.5643340857787811
2893,2,6.13,-0.65,-0.04,479737,293808768.0,1.46,0.14,4.24,0.76,0.0,600016.SH,1,民生银行,6.18,6.09,6.18,6.17,268386225417,217382815296,0.0,0.65,1.32,13.73,-31569957.0,5.13,-,-,-,-,2,0.5628058727569332
3679,2,5.35,-2.19,-0.12,171951,92058910.0,1.83,2.83,-16.71,1.13,-0.19,002068.SZ,0,黑猫股份,5.41,5.31,5.4,5.47,3889790239,3247413732,0.0,1.28,3.88,-4.46,-6731267.0,-182.18,-,-,-,-,2,0.5607476635514019
3350,2,8.93,-1.22,-0.11,124447,111360413.0,2.32,0.44,9.2,1.14,0.0,600153.SH,1,建发股份,9.09,8.88,9.08,9.04,25318340733,25318340733,0.0,0.92,-0.45,36.34,-6742361.0,5.21,-,-,-,-,2,0.5599104143337066
154,2,4.5,4.17,0.18,381845,173083006.0,3.7,0.52,21.41,4.32,0.0,600688.SH,1,上海石化,4.64,4.48,4.48,4.32,48707160750,32979660750,-0.22,1.87,-8.35,-5.06,-15066394.0,16.85,-,-,-,-,2,0.5555555555555556
1280,2,5.41,0.56,0.03,65180,35105351.0,2.42,1.28,16.68,1.03,-0.18,600603.SH,1,广汇物流,5.45,5.32,5.38,5.38,6788288128,2761405682,0.19,1.09,16.85,43.12,-3451523.0,12.03,-,-,-,-,2,0.5545286506469501
2104,2,6.32,0.0,0.0,29592,18720736.0,1.11,0.46,14.43,0.73,0.0,002003.SZ,0,伟星股份,6.36,6.29,6.32,6.32,4790689105,4058130479,0.0,2.11,-9.46,-5.25,-1068194.0,16.21,-,-,-,-,2,0.5537974683544303
893,2,4.84,1.04,0.05,92324,44534575.0,2.09,2.08,20.89,1.21,0.0,002666.SZ,0,德联集团,4.88,4.78,4.79,4.79,3650953657,2149830948,0.0,1.28,1.04,35.2,-1049924.0,21.16,-,-,-,-,2,0.5495867768595042
1033,2,12.2,0.83,0.1,18887,23085829.0,2.89,0.25,21.15,1.28,0.91,603699.SH,1,纽威股份,12.42,12.07,12.26,12.1,9150000000,9150000000,0.99,4.88,5.99,8.16,-191618.0,24.38,-,-,-,-,2,0.5491803278688525
2340,2,14.58,-0.21,-0.03,31563,45971181.0,1.3,0.53,12.15,0.45,0.14,002626.SZ,0,金达威,14.67,14.48,14.6,14.61,8988306496,8749849721,0.14,3.19,20.0,29.95,-3580728.0,15.85,-,-,-,-,2,0.5486968449931413
1647,2,12.76,0.24,0.03,19370,24790175.0,1.81,1.28,11.93,1.19,0.0,002818.SZ,0,富森美,12.89,12.66,12.73,12.73,9652874924,1925100230,-0.16,2.05,-1.69,6.87,-23918.0,12.89,-,-,-,-,2,0.54858934169279
1699,2,10.04,0.2,0.02,22649,22743439.0,1.0,2.01,19.73,0.55,-0.1,300547.SZ,0,川环科技,10.08,9.98,10.04,10.02,2177737987,1130587352,-0.1,2.79,-14.19,14.48,431225.0,16.37,-,-,-,-,2,0.5478087649402391
2489,2,6.39,-0.31,-0.02,39050,25004262.0,1.25,0.68,20.86,0.91,0.31,002632.SZ,0,道明光学,6.45,6.37,6.42,6.41,3991188185,3688782726,0.0,2.13,-8.84,-2.89,-2346950.0,20.62,-,-,-,-,2,0.5477308294209703
1292,2,3.67,0.55,0.02,34504,12663450.0,1.37,0.39,7.94,0.87,0.55,600327.SH,1,大东方,3.69,3.64,3.66,3.65,3247140831,3247140831,0.27,1.15,-4.92,12.23,151173.0,11.57,-,-,-,-,2,0.5449591280653951
117,2,7.37,4.84,0.34,364585,268224907.0,9.96,5.7,41.67,1.64,-0.27,600114.SH,1,东睦股份,7.7,7.0,7.1,7.03,4757673143,4710726833,0.41,1.97,15.16,25.55,35482728.0,25.77,-,-,-,-,2,0.5427408412483039
1919,2,8.3,0.0,0.0,77764,64672295.0,1.45,1.35,7.95,0.81,0.12,600810.SH,1,神马股份,8.39,8.27,8.38,8.3,4772201200,4772201200,0.0,1.55,-10.27,12.01,-7358988.0,8.39,-,-,-,-,2,0.5421686746987951
930,2,6.19,0.98,0.06,55698,34354061.0,2.12,0.82,15.86,0.89,0.16,300082.SZ,0,奥克股份,6.23,6.1,6.13,6.13,4213656800,4186737425,0.0,1.41,-9.37,9.17,-2160533.0,12.64,-,-,-,-,2,0.5411954765751211
2199,2,10.17,0.0,0.0,59736,60767763.0,1.28,0.39,26.8,0.87,0.1,000039.SZ,0,中集集团,10.25,10.12,10.18,10.17,36436320186,15477913382,0.2,1.08,-4.33,21.65,-3232164.0,11.77,-,-,-,-,2,0.5408062930186824
946,2,7.42,0.95,0.07,55011,40555473.0,1.36,3.0,30.2,0.68,0.41,300421.SZ,0,力星股份,7.42,7.32,7.39,7.35,1823200878,1362167852,0.13,1.64,-4.63,15.04,-2007046.0,27.74,-,-,-,-,2,0.5390835579514824
2510,2,12.07,-0.33,-0.04,10083,12199067.0,1.16,0.84,16.33,0.55,-0.08,002900.SZ,0,哈三联,12.18,12.04,12.13,12.11,3821362604,1441478459,0.08,2.13,-1.39,5.6,62311.0,21.43,-,-,-,-,2,0.5385252692626347
3119,2,4.46,-0.89,-0.04,101708,45474653.0,1.78,0.47,8.52,1.24,0.22,600057.SH,1,厦门象屿,4.52,4.44,4.51,4.5,9622245219,9622245219,0.0,0.93,-1.55,9.85,-4141817.0,9.38,-,-,-,-,2,0.5381165919282511
2536,2,5.61,-0.36,-0.02,551617,309216480.0,0.89,0.14,4.87,0.71,0.0,601328.SH,1,交通银行,5.64,5.59,5.64,5.63,416613896478,220197347124,0.18,0.66,-5.87,2.19,-44140495.0,5.51,-,-,-,-,2,0.53475935828877
3538,2,18.77,-1.62,-0.31,29826,56393786.0,2.52,1.34,28.43,1.0,-0.11,002335.SZ,0,科华恒盛,19.18,18.7,19.05,19.08,5096247017,4184074382,0.0,1.63,3.87,33.4,-7819157.0,59.66,-,-,-,-,2,0.5327650506126799
1245,2,8.45,0.6,0.05,13048,11018279.0,1.07,0.71,9.1,0.84,0.12,002763.SZ,0,汇洁股份,8.48,8.39,8.44,8.4,3479076250,1545286948,0.12,1.9,-3.54,11.77,-1293483.0,19.64,-,-,-,-,2,0.5325443786982249
1421,2,9.45,0.43,0.04,36778,34729509.0,1.17,0.66,9.85,1.05,0.21,000726.SZ,0,鲁  泰Ａ,9.49,9.38,9.42,9.41,8109248562,5302179086,0.11,1.14,-3.37,2.61,172254.0,9.59,-,-,-,-,2,0.5291005291005292
2289,2,12.32,-0.16,-0.02,20801,25636488.0,1.7,0.66,12.83,0.67,0.08,002088.SZ,0,鲁阳节能,12.46,12.25,12.46,12.34,4459322967,3857163871,0.08,2.23,-0.73,57.54,-3803083.0,13.45,-,-,-,-,2,0.5275974025974026
1012,2,4.74,0.85,0.04,53389,25226147.0,1.49,0.07,15.23,1.07,0.0,600236.SH,1,桂冠电力,4.75,4.68,4.7,4.7,37362470781,37362470781,0.0,3.04,4.64,14.77,2516112.0,15.94,-,-,-,-,2,0.5274261603375527
1858,2,11.44,0.0,0.0,14209,16291646.0,1.14,1.67,15.43,1.01,-0.09,603900.SH,1,莱绅通灵,11.54,11.41,11.44,11.44,3895020730,973755182,0.0,1.68,-8.48,1.15,34375.0,24.18,-,-,-,-,2,0.5244755244755245
801,2,6.92,1.17,0.08,200751,138994087.0,3.51,0.38,7.13,1.27,0.14,000656.SZ,0,金科股份,7.04,6.8,6.9,6.84,36950833447,36310887299,0.14,1.59,12.16,18.7,-11804491.0,6.36,-,-,-,-,2,0.5202312138728324
2543,2,5.51,-0.36,-0.02,508357,279768640.0,1.09,0.28,4.53,0.98,0.18,601169.SH,1,北京银行,5.54,5.48,5.53,5.53,116497843339,100546539629,0.36,0.67,-2.82,3.57,-138366.0,5.54,-,-,-,-,2,0.5190562613430127
2737,2,3.87,-0.51,-0.02,41925,16261354.0,1.03,0.43,14.75,0.72,-0.26,002206.SZ,0,海 利 得,3.91,3.87,3.9,3.89,4733120856,3759683909,0.0,1.79,-4.68,7.2,-2244031.0,14.45,-,-,-,-,2,0.5167958656330749
2516,2,8.75,-0.34,-0.03,173816,152215050.0,1.14,0.45,6.46,0.7,0.11,002146.SZ,0,荣盛发展,8.81,8.71,8.77,8.78,38046433696,34068719195,0.23,1.16,-6.82,16.67,-14493577.0,4.6,-,-,-,-,2,0.5142857142857142
901,2,3.91,1.03,0.04,250567,97786839.0,1.55,1.13,8.65,1.12,0.26,600708.SH,1,光明地产,3.93,3.87,3.88,3.87,8713969665,8700836085,0.26,0.76,-27.73,18.84,-2216750.0,8.02,-,-,-,-,2,0.5115089514066496
1721,2,5.51,0.18,0.01,224744,124792669.0,2.91,0.93,6.23,1.66,-0.18,600348.SH,1,阳泉煤业,5.66,5.5,5.61,5.5,13251550000,13251550000,-0.18,0.81,-2.48,15.76,17951741.0,6.17,-,-,-,-,2,0.5081669691470054
688,2,7.9,1.41,0.11,109067,85693115.0,2.57,1.11,14.74,1.48,0.13,000848.SZ,0,承德露露,7.94,7.74,7.79,7.79,7730645551,7729007526,0.0,4.31,-7.39,3.4,-1667560.0,18.3,-,-,-,-,2,0.5063291139240506
2803,2,10.48,-0.57,-0.06,118224,124438830.0,1.9,1.7,14.34,0.87,0.1,600596.SH,1,新安股份,10.63,10.43,10.54,10.54,7391382954,7281825034,0.0,1.32,-3.41,3.15,-11882074.0,9.48,-,-,-,-,2,0.5057251908396946
2741,2,25.01,-0.52,-0.13,294169,738574640.0,1.87,0.26,10.61,1.14,-0.04,600104.SH,1,上汽集团,25.44,24.97,25.44,25.14,292203368739,287700855754,0.0,1.31,4.21,-1.57,-133402837.0,9.49,-,-,-,-,2,0.5037984806077569
1876,2,3.66,0.0,0.0,659080,240656841.0,0.55,0.03,4.72,0.84,0.27,601988.SH,1,中国银行,3.66,3.64,3.66,3.66,1077459315942,771401784336,0.27,0.68,-2.92,6.71,6168201.0,5.82,-,-,-,-,2,0.5027322404371585
293,2,6.0,2.92,0.17,147052,87436984.0,3.95,3.08,24.77,1.28,0.33,002559.SZ,0,亚威股份,6.04,5.81,5.87,5.83,3341931072,2866690338,0.17,2.15,5.82,43.54,6234907.0,29.97,-,-,-,-,2,0.5
1664,2,13.47,0.22,0.03,23175,31042095.0,2.6,0.5,89.81,0.72,0.3,300204.SZ,0,舒泰神,13.63,13.28,13.46,13.44,6412185308,6292731166,0.0,3.93,4.34,29.39,1643012.0,87.88,-,-,-,-,2,0.4959689680772086
3187,2,12.13,-0.98,-0.12,312042,380426320.0,2.78,0.69,7.54,0.95,-0.33,600383.SH,1,金地集团,12.38,12.04,12.25,12.25,54761898728,54761898728,-0.25,1.23,4.39,34.48,-20288285.0,5.87,-,-,-,-,2,0.49464138499587795
3047,2,3.64,-0.82,-0.03,55366,20215039.0,0.82,0.38,16.05,0.86,0.0,600790.SH,1,轻纺城,3.67,3.64,3.67,3.67,5335478978,5335478978,0.0,1.03,-2.15,4.9,-1073254.0,11.78,-,-,-,-,2,0.4945054945054945
2959,2,6.88,-0.72,-0.05,149985,103376846.0,1.44,0.13,5.05,0.81,-0.15,600919.SH,1,江苏银行,6.95,6.85,6.93,6.93,79425816000,78471403666,0.0,0.79,-1.85,22.2,-5314406.0,5.64,-,-,-,-,2,0.4941860465116279
2459,2,3.52,-0.28,-0.01,1318002,464418080.0,0.85,0.04,5.07,0.52,0.0,601288.SH,1,农业银行,3.54,3.51,3.53,3.53,1231940279233,1035074634542,-0.28,0.75,-3.3,2.62,14159103.0,5.91,-,-,-,-,2,0.49403409090909095
