,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f20,f21,f22,f23,f24,f25,f62,f115,f128,f140,f141,f136,f152,gxl
1084,2,6.09,-1.62,-0.1,107684,65854621.0,1.78,0.43,0.0,0.66,-0.16,000729.SZ,0,燕京啤酒,6.17,6.06,6.15,6.19,17164904587,15282511043,0.0,1.28,-9.24,8.36,-1554022.0,92.5,-,-,-,-,2,0.036124794745484405
1085,2,5.47,-1.62,-0.09,92495,50784770.0,2.34,0.97,0.0,0.6,-0.18,002226.SZ,0,江南化工,5.56,5.43,5.55,5.56,6831929844,5241864860,-0.18,1.18,-2.15,7.47,238605.0,22.07,-,-,-,-,2,0.0
1087,2,15.79,-1.62,-0.26,70572,111841686.0,2.68,1.6,0.0,0.84,0.0,600197.SH,1,伊力特,16.08,15.65,16.0,16.05,6963390000,6963390000,0.0,3.03,-12.03,24.53,-5293738.0,16.81,-,-,-,-,2,0.22165927802406588
1100,2,9.6,-1.64,-0.16,100775,95642576.0,4.0,4.44,0.0,1.2,0.21,300449.SZ,0,汉邦高科,9.77,9.38,9.77,9.76,2924581229,2181099965,0.1,2.05,-0.31,12.54,3979928.0,176.8,-,-,-,-,2,0.0
1088,2,6.68,-1.62,-0.11,128141,86796905.0,4.57,4.81,0.0,0.62,0.0,000702.SZ,0,正虹科技,6.91,6.6,6.82,6.79,1781118968,1781118968,0.0,3.37,3.09,20.14,-889307.0,61.84,-,-,-,-,2,0.0
1089,2,22.46,-1.62,-0.37,178278,400230528.0,2.58,2.23,0.0,0.69,0.18,002460.SZ,0,赣锋锂业,22.78,22.19,22.78,22.83,29031799639,17980647473,0.27,3.92,-5.19,3.12,-25684144.0,36.58,-,-,-,-,2,0.13357079252003562
1090,2,7.88,-1.62,-0.13,84619,68704252.0,6.87,3.53,0.0,2.72,-0.51,002748.SZ,0,世龙实业,8.4,7.85,7.94,8.01,1891200000,1891200000,0.38,1.69,-10.56,13.38,-1234234.0,52.67,-,-,-,-,2,0.12690355329949238
1091,2,39.97,-1.62,-0.66,7526,30178084.0,3.13,1.36,0.0,0.66,-0.03,603214.SH,1,爱婴室,40.85,39.58,40.65,40.63,4064949000,2206457475,-0.05,4.42,8.32,9.09,-82966.0,30.48,-,-,-,-,2,0.09006755066299725
1092,2,9.07,-1.63,-0.15,80169,73340112.0,2.49,1.87,0.0,0.86,-0.22,000576.SZ,0,广东甘化,9.28,9.05,9.21,9.22,4016752209,3881818671,0.0,3.83,5.59,51.17,-3907991.0,25.08,-,-,-,-,2,0.0
1093,2,10.88,-1.63,-0.18,78812,86090510.0,1.99,0.64,0.0,0.63,-0.18,600597.SH,1,光明乳业,11.06,10.84,11.06,11.06,13322424098,13320405858,-0.09,2.39,1.12,31.72,-6578642.0,36.09,-,-,-,-,2,0.09191176470588235
1094,2,56.69,-1.63,-0.94,21769,124576202.0,2.65,4.12,0.0,0.65,0.0,688388.SH,1,嘉元科技,58.08,56.55,57.77,57.63,13088360440,2995434577,0.0,5.51,100.6,100.6,-10976042.0,42.7,-,-,-,-,2,0.0
1095,2,67.53,-1.63,-1.12,12963,88385361.0,2.48,7.22,0.0,0.76,0.0,688333.SH,1,铂力特,69.06,67.36,68.17,68.65,5402400000,1212800848,0.0,5.44,104.64,104.64,-9789513.0,97.82,-,-,-,-,2,0.0
1096,2,4.82,-1.63,-0.08,121156,58588681.0,2.04,2.02,0.0,0.87,0.0,002936.SZ,0,郑州银行,4.89,4.79,4.89,4.9,28543711758,2892000000,0.21,0.94,-7.31,-2.03,-7547692.0,9.03,-,-,-,-,2,0.3112033195020747
1097,2,9.63,-1.63,-0.16,255945,246963490.0,3.98,4.15,0.0,0.88,0.31,300020.SZ,0,银江股份,9.85,9.46,9.72,9.79,6315248898,5945867926,0.31,1.91,15.88,49.3,3453689.0,105.84,-,-,-,-,2,0.031152647975077878
1098,2,10.21,-1.64,-0.17,36213,37282985.0,2.22,0.47,0.0,0.74,-0.1,000501.SZ,0,鄂武商Ａ,10.44,10.21,10.38,10.38,7851415784,7838801574,-0.1,0.89,-5.11,10.02,497493.0,7.31,-,-,-,-,2,0.1958863858961802
1099,2,9.0,-1.64,-0.15,20094,18195460.0,2.4,0.23,0.0,0.93,-0.33,601900.SH,1,南方传媒,9.19,8.97,9.11,9.15,8062889094,8005049577,-0.33,1.47,-3.85,9.76,-137692.0,10.21,-,-,-,-,2,0.24444444444444446
1130,2,22.82,-1.68,-0.39,159086,362591824.0,2.71,2.05,0.0,0.63,0.0,002507.SZ,0,涪陵榨菜,23.23,22.6,23.21,23.21,18013132240,17743254499,-0.04,6.98,-24.44,6.94,-48984599.0,26.83,-,-,-,-,2,0.11393514460999124
