,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f20,f21,f22,f23,f24,f25,f62,f115,f128,f140,f141,f136,f152,gxl
0,2,20.72,43.99,6.33,435,895912.0,23.97,0.09,0.0,-,0.0,002962.SZ,0,N五方,20.72,17.27,17.27,14.39,4177152000,1044288000,0.0,2.7,43.99,43.99,626821.0,28.29,-,-,-,-,2,0.0
2546,2,5.74,-3.04,-0.18,48394,28050333.0,3.72,0.66,0.0,0.56,0.0,002699.SZ,0,美盛文化,5.92,5.7,5.92,5.92,5220947442,4217339891,-0.17,1.73,-9.61,4.74,-2323393.0,-17.77,-,-,-,-,2,0.0
2534,2,4.48,-3.03,-0.14,101398,45716320.0,3.46,1.43,0.0,0.72,0.0,000908.SZ,0,景峰医药,4.61,4.45,4.6,4.62,3941389092,3173015503,0.0,1.56,0.22,0.9,-5127638.0,21.55,-,-,-,-,2,0.0
2535,2,7.04,-3.03,-0.22,56954,40321330.0,4.55,1.43,0.0,1.32,0.0,000756.SZ,0,新华制药,7.28,6.95,7.25,7.26,4377890507,2812445342,0.0,1.59,-2.36,29.17,-1272663.0,15.92,-,-,-,-,2,0.14204545454545456
2536,2,4.16,-3.03,-0.13,73134,30643311.0,3.73,1.68,0.0,0.94,-0.24,000721.SZ,0,西安饮食,4.29,4.13,4.27,4.29,2076072627,1813096251,-0.24,3.2,-5.88,4.79,-3476054.0,-414.1,-,-,-,-,2,0.0
2537,2,15.03,-3.03,-0.47,159810,245361392.0,8.19,3.96,0.0,1.13,-0.4,600523.SH,1,贵航股份,16.17,14.9,15.0,15.5,6076799140,6072790639,-0.27,2.66,1.49,60.41,-12737935.0,65.96,-,-,-,-,2,0.0998003992015968
2538,2,7.03,-3.03,-0.22,181924,129976916.0,4.55,4.54,0.0,0.8,-0.28,601949.SH,1,中国出版,7.33,7.0,7.27,7.25,12812175000,2819068953,-0.28,2.13,8.82,63.87,-20065812.0,17.16,-,-,-,-,2,0.14224751066856328
2539,2,22.36,-3.04,-0.7,64344,144533108.0,4.34,6.92,0.0,0.65,0.04,603602.SH,1,纵横通信,23.0,22.0,23.0,23.06,3506048000,2077656005,0.0,5.11,4.44,13.73,-14375820.0,89.87,-,-,-,-,2,0.026833631484794274
2540,2,5.43,-3.04,-0.17,27622,15138361.0,3.21,0.83,0.0,0.99,0.0,000430.SZ,0,张家界,5.58,5.4,5.56,5.6,2198160035,1801341684,-0.18,1.38,-5.07,12.19,-1468161.0,151.39,-,-,-,-,2,0.0
2541,2,15.32,-3.04,-0.48,287198,443327024.0,5.13,3.17,0.0,0.55,-0.26,300115.SZ,0,长盈精密,15.9,15.09,15.59,15.8,13939059214,13871065071,-0.07,3.22,45.77,89.37,-41953970.0,208.2,-,-,-,-,2,0.06527415143603132
2542,2,3.51,-3.04,-0.11,215707,76188605.0,3.59,0.91,0.0,1.05,0.29,600565.SH,1,迪马股份,3.61,3.48,3.61,3.62,8557296757,8314404757,0.29,1.07,-9.07,51.29,-8085681.0,6.97,-,-,-,-,2,0.7977207977207977
2543,2,9.89,-3.04,-0.31,261801,261836211.0,3.63,2.6,0.0,0.58,-0.4,002100.SZ,0,天康生物,10.2,9.83,10.16,10.2,9941919503,9941919503,-0.3,2.84,17.32,141.22,-28803537.0,34.8,-,-,-,-,2,0.10111223458038422
2544,2,6.38,-3.04,-0.2,43009,27571456.0,3.5,1.2,0.0,0.52,0.0,300432.SZ,0,富临精工,6.55,6.32,6.53,6.58,2773544556,2283524056,-0.16,1.61,-7.13,10.76,-3727413.0,-1.19,-,-,-,-,2,0.0
2545,2,6.38,-3.04,-0.2,202313,130120996.0,3.34,1.38,0.0,1.48,0.0,000528.SZ,0,柳    工,6.58,6.36,6.58,6.58,9417590579,9331533285,0.0,0.95,-7.8,7.77,-33722853.0,11.01,-,-,-,-,2,0.23510971786833856
2547,2,20.4,-3.04,-0.64,13600,28049257.0,2.8,2.5,0.0,1.02,-0.39,603301.SH,1,振德医疗,20.96,20.37,20.94,21.04,2856000000,1111912200,-0.1,2.49,-3.45,-9.05,-2654003.0,20.66,-,-,-,-,2,0.1715686274509804
2532,2,6.4,-3.03,-0.2,101253,65381481.0,3.94,1.17,0.0,1.43,0.0,300055.SZ,0,万邦达,6.62,6.36,6.57,6.6,5537182816,5523834496,-0.31,0.96,-11.36,-16.45,-6049613.0,-45.98,-,-,-,-,2,0.023437499999999997
2548,2,9.56,-3.04,-0.3,150083,144541069.0,3.35,0.58,0.0,0.98,-0.1,002081.SZ,0,金 螳 螂,9.86,9.53,9.86,9.86,25586467067,24686931085,0.0,1.85,-6.0,21.01,-23932918.0,11.41,-,-,-,-,2,0.20920502092050208
2549,2,4.46,-3.04,-0.14,121483,54380320.0,3.7,1.94,0.0,0.97,0.22,002361.SZ,0,神剑股份,4.59,4.42,4.59,4.6,3735580557,2785962857,0.0,2.09,6.95,25.99,-10398742.0,41.39,-,-,-,-,2,0.2242152466367713
2550,2,8.28,-3.04,-0.26,87435,73113459.0,3.51,1.25,0.0,1.12,0.0,000931.SZ,0,中 关 村,8.56,8.26,8.53,8.54,6235891411,5813309746,0.0,3.81,-6.76,19.65,-8270513.0,55.57,-,-,-,-,2,0.0
2551,2,47.13,-3.04,-1.48,92450,440239504.0,3.52,1.57,0.0,1.0,-0.04,600038.SH,1,中直股份,48.79,47.08,48.79,48.61,27782037625,27782037625,0.0,3.62,16.57,27.04,-25263892.0,48.44,-,-,-,-,2,0.05516656057712709
2552,2,14.32,-3.05,-0.45,61640,89000647.0,3.66,8.39,0.0,0.83,0.21,300772.SZ,0,运达股份,14.8,14.26,14.67,14.77,4209507200,1052376800,0.21,2.95,-14.76,119.63,-8541500.0,34.21,-,-,-,-,2,0.0
2553,2,5.09,-3.05,-0.16,129443,66319789.0,4.38,3.18,0.0,1.01,0.39,000711.SZ,0,京蓝科技,5.26,5.03,5.26,5.25,5210469183,2068826428,0.59,1.0,-12.84,-18.3,-8732090.0,537.54,-,-,-,-,2,0.0
2554,2,33.08,-3.05,-1.04,5544,18527534.0,3.37,0.81,0.0,0.89,0.03,603713.SH,1,密尔克卫,34.17,33.02,34.17,34.12,5043839391,2250237030,-0.09,3.79,-7.13,19.94,-1399151.0,31.63,-,-,-,-,2,0.039298669891172915
2555,2,23.21,-3.05,-0.73,33058,78415314.0,6.1,6.05,0.0,0.55,-0.39,300743.SZ,0,天地数码,24.5,23.04,24.01,23.94,2278223970,1267671131,-0.21,6.0,-11.98,-14.67,-855415.0,84.65,-,-,-,-,2,0.12925463162429987
2556,2,4.45,-3.05,-0.14,59031,26437870.0,3.49,0.64,0.0,1.18,0.45,300261.SZ,0,雅本化学,4.58,4.42,4.56,4.59,4286727146,4130817867,0.0,2.21,-15.88,-12.57,-3920934.0,47.11,-,-,-,-,2,0.2247191011235955
2557,2,43.53,-3.05,-1.37,36651,159937317.0,3.92,2.95,0.0,0.58,0.05,002796.SZ,0,世嘉科技,44.66,42.9,44.4,44.9,7326344161,5403358223,-0.14,5.0,20.45,89.59,-23898785.0,76.6,-,-,-,-,2,0.04594532506317482
2558,2,12.07,-3.05,-0.38,23244,28260633.0,4.1,0.98,0.0,0.87,0.08,002749.SZ,0,国光股份,12.45,11.94,12.45,12.45,4494974976,2868506592,-0.08,4.3,-1.07,19.86,-1624775.0,18.93,-,-,-,-,2,0.19055509527754763
2559,2,6.67,-3.05,-0.21,223796,150653169.0,3.49,2.63,0.0,0.77,-0.15,600789.SH,1,鲁抗医药,6.87,6.63,6.87,6.88,5871132332,5683651259,0.0,1.97,-0.15,15.4,-19853729.0,48.88,-,-,-,-,2,0.059970014992503755
2533,2,5.44,-3.03,-0.17,77241,42312721.0,4.46,1.03,0.0,1.03,0.18,002061.SZ,0,浙江交科,5.64,5.39,5.63,5.61,7483476149,4087606388,0.18,1.04,-12.68,-46.4,-1833800.0,9.65,-,-,-,-,2,0.2205882352941176
2531,2,2.56,-3.03,-0.08,94043,24292277.0,3.79,0.84,0.0,0.62,0.0,300111.SZ,0,向日葵,2.65,2.55,2.64,2.64,2866688000,2860133363,-0.39,82.22,-3.4,27.36,-4571776.0,-2.97,-,-,-,-,2,0.0
2561,2,34.91,-3.05,-1.1,27286,96057261.0,3.55,4.24,0.0,0.52,-0.23,603773.SH,1,沃格光电,35.98,34.7,35.53,36.01,3302330860,2245666218,0.0,2.14,12.43,-18.05,-5680480.0,41.93,-,-,-,-,2,0.194786594099112
2516,2,6.11,-3.02,-0.19,65139,40186476.0,3.33,0.95,0.0,1.47,-0.16,600877.SH,1,*ST嘉陵,6.28,6.07,6.28,6.3,5023407956,4199293264,-0.16,5.0,6.82,28.36,-6436972.0,-25.89,-,-,-,-,2,0.0
2504,2,3.23,-3.0,-0.1,88980,29012255.0,3.3,0.91,0.0,0.72,-0.31,002067.SZ,0,景兴纸业,3.33,3.22,3.33,3.33,3589179230,3144650480,-0.31,0.83,-8.24,-7.45,-4784776.0,16.59,-,-,-,-,2,0.061919504643962855
2505,2,15.18,-3.0,-0.47,6571,10089858.0,3.45,0.68,0.0,1.34,-0.2,600137.SH,1,浪莎股份,15.7,15.16,15.69,15.65,1475762986,1475762986,0.07,3.04,2.71,20.19,210717.0,53.57,-,-,-,-,2,0.07905138339920949
2506,2,39.08,-3.0,-1.21,31532,124089079.0,3.13,5.28,0.0,0.92,-0.05,603379.SH,1,三美股份,40.28,39.02,40.28,40.29,17041086261,2334395380,0.0,3.6,-0.81,20.51,-18758914.0,18.29,-,-,-,-,2,0.0
2507,2,9.04,-3.0,-0.28,55234,50521424.0,3.76,1.1,0.0,0.67,-0.22,300455.SZ,0,康拓红外,9.36,9.01,9.3,9.32,4606784000,4523905958,-0.11,6.19,13.71,45.81,-4929834.0,60.27,-,-,-,-,2,0.05530973451327434
2508,2,5.81,-3.01,-0.18,51795,30352449.0,3.01,0.26,0.0,1.32,-0.17,601801.SH,1,皖新传媒,5.96,5.78,5.96,5.99,11557279522,11557279522,0.0,1.15,-4.44,-10.75,-1409070.0,17.88,-,-,-,-,2,0.30120481927710846
2509,2,3.55,-3.01,-0.11,34063,12215175.0,3.55,0.32,0.0,1.4,0.28,600824.SH,1,益民集团,3.66,3.53,3.66,3.66,3741796109,3741796109,0.0,1.55,-8.74,7.25,-1688617.0,38.3,-,-,-,-,2,0.09014084507042254
2510,2,17.75,-3.01,-0.55,29627,52667229.0,3.88,5.0,0.0,0.73,0.06,300635.SZ,0,达安股份,18.19,17.48,18.15,18.3,2419928500,1052370520,0.4,3.95,10.94,-7.07,-7716999.0,43.89,-,-,-,-,2,0.023098591549295774
2511,2,4.84,-3.01,-0.15,37915,18506887.0,3.81,0.99,0.0,1.08,0.0,600202.SH,1,哈空调,5.0,4.81,4.99,4.99,1855368852,1855368852,0.0,2.87,-6.02,47.11,-744449.0,40.26,-,-,-,-,2,0.0
2512,2,9.35,-3.01,-0.29,534408,527000304.0,11.41,18.21,0.0,2.89,0.0,002316.SZ,0,亚联发展,10.31,9.21,9.97,9.64,3675672000,2743417562,0.0,4.03,14.86,33.95,-40769666.0,36.28,-,-,-,-,2,0.016042780748663103
2513,2,11.28,-3.01,-0.35,175728,199211986.0,4.9,4.92,0.0,1.03,-0.44,002214.SZ,0,大立科技,11.7,11.13,11.67,11.63,5173759992,4030585403,-0.27,4.77,25.33,106.59,-18417246.0,55.86,-,-,-,-,2,0.026595744680851064
2514,2,29.0,-3.01,-0.9,19455,56950920.0,4.28,5.8,0.0,0.76,-0.17,300710.SZ,0,万隆光电,29.98,28.7,29.73,29.9,1989806000,972196000,-0.14,3.36,-2.62,25.98,-4335824.0,126.52,-,-,-,-,2,0.013793103448275864
2515,2,11.58,-3.02,-0.36,29735,34739922.0,3.77,1.34,0.0,1.17,-0.09,603357.SH,1,设计总院,11.95,11.5,11.91,11.94,5263604443,2572412443,0.0,2.35,-10.58,-17.05,-2050813.0,12.89,-,-,-,-,2,0.35405872193436955
2517,2,18.97,-3.02,-0.59,7198,13806465.0,3.58,0.28,0.0,1.2,-0.11,600661.SH,1,昂立教育,19.6,18.9,19.42,19.56,5435831305,4914681698,0.05,5.09,-17.52,-3.02,-837388.0,-20.57,-,-,-,-,2,0.0
2530,2,16.96,-3.03,-0.53,30273,51748183.0,3.54,8.52,0.0,0.8,-0.06,603499.SH,1,翔港科技,17.48,16.86,17.41,17.49,2405056218,602542465,-0.06,4.41,-26.36,20.2,-6230918.0,53.11,-,-,-,-,2,0.11792452830188678
2518,2,16.07,-3.02,-0.5,43130,69685156.0,3.86,1.73,0.0,1.08,0.0,002462.SZ,0,嘉事堂,16.57,15.93,16.5,16.57,4025957882,4004360686,0.12,1.51,5.72,12.38,-7788298.0,11.39,-,-,-,-,2,0.09334163036714374
2519,2,15.1,-3.02,-0.47,75036,114840024.0,4.43,5.45,0.0,0.85,-0.13,002930.SZ,0,宏川智慧,15.74,15.05,15.47,15.57,5153894371,2079463582,-0.07,2.89,-6.21,-17.26,-14318593.0,37.32,-,-,-,-,2,0.19867549668874174
2520,2,11.24,-3.02,-0.35,31417,35691040.0,3.8,0.79,0.0,0.91,-0.18,601177.SH,1,杭齿前进,11.54,11.1,11.49,11.59,4496674400,4496674400,-0.09,2.75,16.6,25.45,-3354842.0,257.5,-,-,-,-,2,0.017793594306049824
2521,2,2.89,-3.02,-0.09,280252,82051754.0,4.03,0.72,0.0,1.11,-0.34,600575.SH,1,淮河能源,3.0,2.88,2.98,2.98,11231294478,11231294478,-0.34,1.23,-0.34,35.68,-19980677.0,17.35,-,-,-,-,2,0.0
2522,2,3.85,-3.02,-0.12,40371,15644878.0,4.79,0.89,0.0,1.38,-0.26,600791.SH,1,京能置业,3.99,3.8,3.98,3.97,1743588000,1741407730,0.0,1.02,-9.41,6.35,-2002988.0,26.94,-,-,-,-,2,0.04155844155844156
2523,2,4.49,-3.02,-0.14,37887,17149859.0,4.1,0.72,0.0,0.83,0.67,600576.SH,1,祥源文化,4.64,4.45,4.64,4.63,2781116816,2361192063,0.0,1.45,-2.39,6.9,-598365.0,160.42,-,-,-,-,2,0.0
2524,2,4.49,-3.02,-0.14,218190,98820564.0,3.67,1.9,0.0,0.94,0.0,600110.SH,1,诺德股份,4.63,4.46,4.63,4.63,5164901316,5164901316,0.0,2.37,-3.02,10.59,-8861580.0,48.1,-,-,-,-,2,0.0
2525,2,5.45,-3.02,-0.17,63775,35173936.0,3.56,1.08,0.0,1.14,-0.18,000731.SZ,0,四川美丰,5.63,5.43,5.59,5.62,3223589718,3223589718,-0.37,1.16,-9.02,11.91,-5844144.0,20.1,-,-,-,-,2,0.27522935779816515
2526,2,6.09,-3.03,-0.19,140242,86252942.0,3.34,1.07,0.0,1.29,-0.16,600125.SH,1,铁龙物流,6.27,6.06,6.26,6.28,7950628213,7950628213,0.0,1.37,-8.83,-11.48,-6541296.0,16.03,-,-,-,-,2,0.19704433497536947
2527,2,6.41,-3.03,-0.2,42899,27764525.0,4.39,1.27,0.0,1.2,0.0,002691.SZ,0,冀凯股份,6.64,6.35,6.64,6.61,2179400000,2173567547,-0.31,2.47,-8.69,-13.14,-3151654.0,138.44,-,-,-,-,2,0.0109204368174727
2528,2,11.21,-3.03,-0.35,22158,25018781.0,3.63,1.66,0.0,0.95,0.18,600768.SH,1,宁波富邦,11.56,11.14,11.5,11.56,1499306112,1499306112,0.09,6.32,1.54,16.41,-2973235.0,15.99,-,-,-,-,2,0.0
2529,2,16.97,-3.03,-0.53,27888,47560566.0,3.6,7.0,0.0,0.57,-0.06,002830.SZ,0,名雕股份,17.41,16.78,17.41,17.5,2262779800,676084800,-0.12,3.68,8.37,12.61,-3444434.0,66.68,-,-,-,-,2,0.09428403064230997
2560,2,18.41,-3.05,-0.58,93371,173662944.0,2.63,2.29,0.0,0.6,-0.05,600131.SH,1,岷江水电,18.9,18.4,18.9,18.99,9280944104,7505000920,-0.11,7.15,23.56,204.3,-28100679.0,74.49,-,-,-,-,2,0.027159152634437807
2562,2,4.76,-3.05,-0.15,123046,59145129.0,3.46,1.44,0.0,1.22,-0.21,002585.SZ,0,双星新材,4.91,4.74,4.9,4.91,5503883685,4056434929,0.0,0.73,-8.29,-2.86,-9610346.0,22.47,-,-,-,-,2,0.42016806722689076
2383,2,11.06,-2.9,-0.33,8865,9895640.0,3.78,0.55,0.0,0.62,-0.18,002719.SZ,0,麦趣尔,11.45,11.02,11.45,11.39,1925982394,1790307583,0.0,2.15,-9.93,1.65,28298.0,-12.14,-,-,-,-,2,0.0
2606,2,5.32,-3.1,-0.17,93063,49686551.0,4.01,3.01,0.0,0.63,0.0,000638.SZ,0,万方发展,5.48,5.26,5.48,5.49,1646008000,1646008000,-0.56,12.35,-4.14,-4.14,-2730955.0,-12.15,-,-,-,-,2,0.0
2594,2,16.0,-3.09,-0.51,16114,25940276.0,3.51,3.94,0.0,1.07,-0.12,002825.SZ,0,纳尔股份,16.5,15.92,16.44,16.51,2306033280,654794224,0.06,3.34,-2.14,16.11,-2285722.0,36.77,-,-,-,-,2,0.0625
2595,2,5.96,-3.09,-0.19,125455,75112114.0,3.09,3.42,0.0,0.53,-0.17,600695.SH,1,绿庭投资,6.1,5.91,6.08,6.15,4238347316,2184144226,0.17,5.83,-9.42,11.82,-3263833.0,33.82,-,-,-,-,2,0.0
2596,2,3.45,-3.09,-0.11,69793,24223677.0,4.49,0.45,0.0,1.56,-0.29,600550.SH,1,保变电气,3.57,3.41,3.57,3.56,6353273256,5294394381,0.0,8.85,-11.31,-6.25,-1320871.0,-8.33,-,-,-,-,2,0.0
2597,2,6.9,-3.09,-0.22,143781,99812748.0,4.49,2.32,0.0,1.02,0.15,002167.SZ,0,东方锆业,7.15,6.83,7.15,7.12,4284527400,4268350350,0.0,4.09,-10.74,30.68,-18974632.0,1044.35,-,-,-,-,2,0.0
2598,2,7.21,-3.09,-0.23,361914,262198359.0,3.23,1.95,0.0,1.08,0.0,300296.SZ,0,利亚德,7.4,7.16,7.4,7.44,18334140113,13412231991,0.0,2.27,-9.19,-5.26,1576444.0,14.97,-,-,-,-,2,0.11095700416088766
2599,2,9.09,-3.09,-0.29,49744,45577647.0,2.99,1.89,0.0,1.08,-0.11,000582.SZ,0,北部湾港,9.35,9.07,9.35,9.38,14858667203,2392262513,-0.11,1.59,3.41,31.17,-2135635.0,18.89,-,-,-,-,2,0.12564367436743676
2600,2,9.4,-3.09,-0.3,230727,219027673.0,4.33,3.93,0.0,0.76,-0.11,300232.SZ,0,洲明科技,9.74,9.32,9.71,9.7,8672685763,5517279212,-0.42,3.44,0.64,18.99,-36901875.0,18.61,-,-,-,-,2,0.06385521276595744
2601,2,1.88,-3.09,-0.06,784645,148725470.0,3.61,1.43,0.0,0.65,0.0,002505.SZ,0,大康农业,1.94,1.87,1.93,1.94,10312499736,10312499736,0.0,2.2,-8.74,16.05,-25084155.0,-15.23,-,-,-,-,2,0.0
2602,2,2.82,-3.09,-0.09,571828,161901802.0,3.09,2.5,0.0,0.62,-0.35,002426.SZ,0,胜利精密,2.89,2.8,2.89,2.91,9705079968,6446407651,-0.35,1.26,4.83,21.55,-23548827.0,-7.88,-,-,-,-,2,0.0
2603,2,9.71,-3.09,-0.31,117785,115613843.0,2.99,0.34,0.0,0.95,-0.1,600637.SH,1,东方明珠,9.99,9.69,9.99,10.02,33331809290,33154796952,-0.1,1.22,-6.72,-2.61,-26137118.0,18.05,-,-,-,-,2,0.2780638516992791
2604,2,48.22,-3.09,-1.54,25930,126788931.0,4.68,7.6,0.0,0.8,-1.35,300548.SZ,0,博创科技,50.13,47.8,50.0,49.76,4019137000,1644784200,-0.84,6.58,36.1,31.21,-12846970.0,-194.25,-,-,-,-,2,0.02073828287017835
2605,2,5.32,-3.1,-0.17,83219,44506080.0,3.83,0.77,0.0,1.16,-0.19,000639.SZ,0,西王食品,5.49,5.28,5.49,5.49,5742557465,5726175217,0.0,1.28,-11.77,17.7,-2799439.0,11.76,-,-,-,-,2,0.15037593984962405
2607,2,7.51,-3.1,-0.24,96306,73610675.0,6.06,2.5,0.0,1.16,-0.27,600387.SH,1,海越能源,7.94,7.47,7.88,7.75,3543086305,2896682100,-0.4,1.2,-6.13,-3.72,-4487050.0,7.29,-,-,-,-,2,0.07989347536617843
2592,2,12.55,-3.09,-0.4,140852,178439676.0,3.4,1.95,0.0,0.97,0.0,600138.SH,1,中青旅,12.9,12.46,12.9,12.95,9084192000,9084192000,0.0,1.42,-4.05,-1.57,-15471044.0,15.81,-,-,-,-,2,0.11155378486055775
2608,2,9.7,-3.1,-0.31,217853,212729854.0,2.8,1.09,0.0,1.08,0.0,600875.SH,1,东方电气,9.95,9.67,9.93,10.01,29980793281,19369933570,0.0,1.05,-8.75,24.68,-29950147.0,22.65,-,-,-,-,2,0.11340206185567012
2609,2,4.38,-3.1,-0.14,60218,26599294.0,5.09,1.21,0.0,1.35,0.0,002329.SZ,0,皇氏集团,4.57,4.34,4.57,4.52,3668863353,2176800633,-0.23,1.71,-11.34,34.77,-1232353.0,-6.94,-,-,-,-,2,0.0
2610,2,6.88,-3.1,-0.22,90051,62564010.0,4.08,2.19,0.0,0.52,-0.15,002229.SZ,0,鸿博股份,7.09,6.8,7.07,7.1,3428608529,2822759396,-0.15,2.06,-9.83,-4.97,-11686435.0,482.77,-,-,-,-,2,0.0436046511627907
2611,2,21.88,-3.1,-0.7,25486,56443052.0,3.1,5.31,0.0,0.8,-0.23,002950.SZ,0,奥美医疗,22.58,21.88,22.58,22.58,9237231403,1050240000,0.0,5.01,-11.2,98.37,-5262003.0,36.49,-,-,-,-,2,0.06855575868372944
2612,2,6.25,-3.1,-0.2,54212,34210377.0,4.03,1.24,0.0,0.83,-0.16,600287.SH,1,江苏舜天,6.46,6.2,6.45,6.45,2729975463,2729975463,-0.16,1.27,-6.99,31.03,-5846882.0,12.82,-,-,-,-,2,0.128
2613,2,16.56,-3.1,-0.53,183447,305926864.0,3.04,1.36,0.0,0.87,-0.18,000401.SZ,0,冀东水泥,17.03,16.51,17.03,17.09,22314979456,22309873793,-0.12,1.87,-4.61,38.23,-50755048.0,10.92,-,-,-,-,2,0.24154589371980678
2614,2,6.56,-3.1,-0.21,199155,131637216.0,3.4,5.44,0.0,0.82,-0.15,601860.SH,1,紫金银行,6.75,6.52,6.73,6.77,24015431112,2401543112,0.15,1.85,-15.03,108.92,-27263820.0,17.59,-,-,-,-,2,0.1524390243902439
2615,2,5.31,-3.1,-0.17,30412,16308257.0,4.01,0.6,0.0,1.0,0.0,300341.SZ,0,麦克奥迪,5.49,5.27,5.48,5.48,2708967314,2706202663,0.19,3.05,-4.32,14.44,-2139517.0,17.84,-,-,-,-,2,0.10922787193973635
2616,2,19.05,-3.1,-0.61,47831,91157412.0,4.93,6.25,0.0,0.81,0.79,002845.SZ,0,同兴达,19.69,18.72,19.69,19.66,3863110790,1458810595,0.21,3.29,14.69,10.5,-5029611.0,71.77,-,-,-,-,2,0.026246719160104987
2617,2,51.21,-3.1,-1.64,17498,90173163.0,4.62,0.91,0.0,0.97,0.02,603659.SH,1,璞泰来,53.05,50.61,52.59,52.85,22260756555,9889632542,0.02,7.42,9.66,9.0,-3927810.0,37.04,-,-,-,-,2,0.08201523140011717
2618,2,2.81,-3.1,-0.09,139810,39658978.0,3.45,0.76,0.0,0.6,-0.35,002219.SZ,0,恒康医疗,2.9,2.8,2.9,2.9,5241314368,5182171011,0.0,1.96,-11.64,-18.31,-5606910.0,-3.38,-,-,-,-,2,0.0
2619,2,1.56,-3.11,-0.05,1374300,215224600.0,4.35,1.11,0.0,0.92,0.0,600157.SH,1,永泰能源,1.61,1.54,1.6,1.61,19384240709,19384240709,0.65,0.81,-10.34,16.42,-7826105.0,-107.9,-,-,-,-,2,0.0
2593,2,23.53,-3.09,-0.75,1666265,3953656368.0,2.88,1.7,0.0,1.01,-0.08,600030.SH,1,中信证券,24.15,23.45,24.15,24.28,285110854652,230938989801,0.0,1.88,1.2,50.26,-348317024.0,27.76,-,-,-,-,2,0.1487462813429664
2591,2,2.51,-3.09,-0.08,128872,32675594.0,3.47,0.54,0.0,1.02,-0.4,600569.SH,1,安阳钢铁,2.59,2.5,2.59,2.59,7209777679,6008148067,0.0,0.73,-17.16,-14.33,581278.0,6.61,-,-,-,-,2,0.39840637450199207
2563,2,12.05,-3.06,-0.38,23452,28534365.0,3.54,0.59,0.0,1.11,0.0,002346.SZ,0,柘中股份,12.45,12.01,12.38,12.43,5320983763,4755325324,0.08,2.63,-7.02,-2.03,-1167431.0,61.96,-,-,-,-,2,0.16597510373443983
2576,2,2.21,-3.07,-0.07,71733,16053316.0,3.95,0.29,0.0,1.12,0.0,002269.SZ,0,美邦服饰,2.29,2.2,2.28,2.28,5552625000,5552625000,-0.45,2.03,-16.6,-4.33,-2947288.0,-36.86,-,-,-,-,2,0.0
2564,2,6.34,-3.06,-0.2,186001,119134424.0,3.21,0.75,0.0,0.83,-0.47,000732.SZ,0,泰禾集团,6.52,6.31,6.52,6.54,15779635130,15761949421,-0.47,0.74,-21.34,-8.12,-11844813.0,5.04,-,-,-,-,2,0.34700315457413256
2565,2,7.29,-3.06,-0.23,47089,34586241.0,3.72,0.9,0.0,1.15,-0.27,000762.SZ,0,西藏矿业,7.53,7.25,7.53,7.52,3796772260,3796599326,0.0,1.92,-10.0,8.16,-4072403.0,-25.89,-,-,-,-,2,0.0
2566,2,16.48,-3.06,-0.52,30910,51015532.0,3.53,1.51,0.0,0.98,-0.06,002734.SZ,0,利民股份,16.86,16.26,16.81,17.0,4672089394,3371735752,0.24,2.43,11.88,66.63,-1573831.0,15.48,-,-,-,-,2,0.21237864077669902
2567,2,14.26,-3.06,-0.45,482641,694702688.0,3.06,0.82,0.0,1.03,-0.14,000776.SZ,0,广发证券,14.64,14.19,14.6,14.71,108676710089,84409096277,-0.21,1.21,2.52,12.46,-133977057.0,19.47,-,-,-,-,2,0.1402524544179523
2568,2,5.07,-3.06,-0.16,66607,34192829.0,4.78,0.97,0.0,0.5,0.0,002284.SZ,0,亚太股份,5.29,5.04,5.23,5.23,3739617966,3478085271,-0.2,1.46,-13.33,19.29,-3458506.0,-53.31,-,-,-,-,2,0.0
2569,2,11.09,-3.06,-0.35,16710,18674956.0,4.2,1.96,0.0,1.12,0.0,603900.SH,1,莱绅通灵,11.48,11.0,11.45,11.44,3775854886,943963721,0.0,1.63,-11.21,-1.95,-499993.0,23.44,-,-,-,-,2,0.5410279531109108
2570,2,3.8,-3.06,-0.12,100152,38367571.0,3.06,0.49,0.0,1.02,-0.52,603766.SH,1,隆鑫通用,3.91,3.79,3.91,3.92,7803459030,7803459030,-0.26,1.15,-13.83,-7.09,-3798251.0,8.84,-,-,-,-,2,0.0
2571,2,24.7,-3.06,-0.78,42156,105321843.0,3.34,3.27,0.0,0.88,0.0,603387.SH,1,基蛋生物,25.46,24.61,25.46,25.48,6432317264,3184603159,0.04,4.48,-4.89,32.16,-8729434.0,23.57,-,-,-,-,2,0.16599190283400808
2572,2,3.8,-3.06,-0.12,102704,39337662.0,3.83,1.05,0.0,1.21,0.26,601789.SH,1,宁波建工,3.92,3.77,3.91,3.92,3709104000,3709104000,0.0,1.33,-10.59,25.41,-3325391.0,16.46,-,-,-,-,2,0.18421052631578946
2573,2,4.75,-3.06,-0.15,386278,185648780.0,3.67,0.68,0.0,0.85,-0.21,600369.SH,1,西南证券,4.9,4.72,4.9,4.9,26814268339,26814268339,0.0,1.42,-5.57,37.68,-30539045.0,64.98,-,-,-,-,2,0.06315789473684211
2574,2,12.96,-3.07,-0.41,120194,157025757.0,4.04,1.51,0.0,0.69,-0.15,000712.SZ,0,锦龙股份,13.34,12.8,13.27,13.37,11612160000,10316118489,0.0,3.45,0.39,42.73,-22500301.0,-212.13,-,-,-,-,2,0.0
