,市场,代码,名称,送转总比例,送股比例,转股比例,现金分红比例,股息率(%),预案公告日,预案公告日HSRZF,股权登记日QSRZF,股权登记日,除权除息日,除权除息日HSSRZF,YCQTS,总股本(亿）,每股收益(元),每股净资产(元),每股公积金(元),每股未分配利润(元),净利润同比增长(%),报告期,业绩披露日期,方案进度,分配计划,RowNum,EITIME,EUTIME,NOTICEDATE,Iskcb
0,深主板,000800,一汽轿车,0.0,0.0,0.0,1.0,-,2000-07-15T00:00:00,-,-,2000-07-20T00:00:00,2000-07-21T00:00:00,-,6995.0,1627500000.0,0.0,2.97,1.485735,0.343168,14.2977,1999-12-31T00:00:00,-,实施分配,"10派1.00元(含税,扣税后0.80元)",27236,2012-07-13T13:54:57,2014-03-31T17:41:25,2000-07-15T00:00:00,
1,深主板,000533,顺钠股份,0.0,0.0,0.0,1.0,-,2000-07-15T00:00:00,-,-,2000-07-20T00:00:00,2000-07-21T00:00:00,-,6995.0,575680000.0,0.27,2.31,0.600956,0.304396,31.5625,1999-12-31T00:00:00,-,实施分配,"10派1.00元(含税,扣税后0.80元)",27235,2012-07-13T13:39:52,2014-03-31T17:41:20,2000-07-15T00:00:00,
2,深主板,000050,深天马A,0.0,0.0,0.0,1.0,-,2000-07-15T00:00:00,-,-,2000-07-20T00:00:00,2000-07-21T00:00:00,-,6995.0,116270000.0,0.189,2.89,1.371447,0.192962,-27.4472,1999-12-31T00:00:00,-,实施分配,"10派1.00元(含税,扣税后0.80元)",27233,2012-07-13T13:45:48,2014-03-31T17:41:20,2000-07-15T00:00:00,
3,沪市,600639,浦东金桥,1.0,0.0,1.0,0.0,-,2000-07-15T00:00:00,-,-,2000-07-21T00:00:00,2000-07-24T00:00:00,-,6992.0,634400000.0,0.075,2.55,1.371389,-0.036515,41.9119,1999-12-31T00:00:00,-,实施分配,10转1.00,27231,2012-07-13T13:46:33,2014-03-31T17:41:22,2000-07-15T00:00:00,
4,深主板,000056,皇庭国际,0.0,0.0,0.0,0.5,-,2000-07-15T00:00:00,-,-,2000-07-21T00:00:00,2000-07-24T00:00:00,-,6992.0,220901184.0,0.137,1.88,0.231369,0.243041,399.0517,1999-12-31T00:00:00,-,实施分配,"10派0.50元(含税,扣税后0.40元)",27225,2012-07-13T13:46:11,2014-03-31T17:41:20,2000-07-15T00:00:00,
5,,001872,招商港口,0.0,0.0,0.0,1.16,-,2000-07-14T00:00:00,-,-,2000-07-21T00:00:00,2000-07-24T00:00:00,-,6992.0,381517000.0,0.19,2.748,1.064259,6.3e-05,30.7438,1999-12-31T00:00:00,-,实施分配,"10派1.16元(含税,扣税后0.928元)",27229,2018-12-24T19:15:12,2018-12-24T19:15:12,2000-07-14T00:00:00,
6,深主板,000728,国元证券,0.0,0.0,0.0,1.0,-,2000-07-13T00:00:00,-,-,2000-07-18T00:00:00,2000-07-19T00:00:00,-,6997.0,345210000.0,0.017,2.96,1.862013,0.038385,-62.0646,1999-12-31T00:00:00,-,实施分配,"10派1.00元(含税,扣税后0.8756元)",27245,2012-07-13T13:55:00,2014-03-31T17:41:24,2000-07-13T00:00:00,
7,深主板,000881,中广核技,8.0,2.0,6.0,0.0,-,2000-07-13T00:00:00,-,-,2000-07-19T00:00:00,2000-07-20T00:00:00,-,6996.0,95430000.0,0.48,4.34,2.299213,0.402596,54.2346,1999-12-31T00:00:00,-,实施分配,10送2.00转6.00,27242,2012-07-13T13:55:11,2014-03-31T17:41:26,2000-07-13T00:00:00,
8,深主板,000039,中集集团,0.0,0.0,0.0,2.0,-,2000-07-13T00:00:00,-,-,2000-07-19T00:00:00,2000-07-20T00:00:00,-,6996.0,340201400.0,0.757,4.99,1.826851,-,855.7919,1999-12-31T00:00:00,-,实施分配,"10派2.00元(含税,扣税后1.60元)",27240,2012-07-13T13:39:07,2014-03-31T17:41:17,2000-07-13T00:00:00,
9,沪市,600860,京城股份,0.0,0.0,0.0,0.55,-,2000-07-13T00:00:00,-,-,2000-07-20T00:00:00,2000-07-21T00:00:00,-,6995.0,400000000.0,0.0,2.51,0.998778,0.195594,6.5639,1999-12-31T00:00:00,-,实施分配,"10派0.55元(含税,扣税后0.52元)",27234,2012-07-13T13:38:33,2014-03-31T17:41:16,2000-07-13T00:00:00,
