,市场,代码,名称,送转总比例,送股比例,转股比例,现金分红比例,股息率(%),预案公告日,预案公告日HSRZF,股权登记日QSRZF,股权登记日,除权除息日,除权除息日HSSRZF,YCQTS,总股本(亿）,每股收益(元),每股净资产(元),每股公积金(元),每股未分配利润(元),净利润同比增长(%),报告期,业绩披露日期,方案进度,分配计划,RowNum,EITIME,EUTIME,NOTICEDATE,Iskcb
0,沪市,600262,北方股份,0.0,0.0,0.0,0.8,-,2005-03-02T00:00:00,-,-,2005-06-16T00:00:00,2005-06-17T00:00:00,-,5203.0,170000000.0,0.09,3.51,2.182861,0.103372,-10.192,2004-12-31T00:00:00,-,实施分配,"10派0.80元(含税,扣税后0.72元)",24041,2012-07-13T13:05:32,2014-03-31T17:41:02,2005-06-13T00:00:00,
1,沪市,600026,中远海能,0.0,0.0,0.0,1.5,-,2005-03-02T00:00:00,-,-,2005-06-20T00:00:00,2005-06-21T00:00:00,-,5199.0,3326000000.0,0.5689,2.56,0.617475,0.694919,92.666,2004-12-31T00:00:00,-,实施分配,"10派1.50元(含税,扣税后1.35元)",24021,2012-07-13T13:05:47,2014-03-31T17:41:05,2005-06-15T00:00:00,
2,深主板,000639,西王食品,0.0,0.0,0.0,0.5,-,2005-03-02T00:00:00,-,-,2005-07-01T00:00:00,2005-07-04T00:00:00,-,5186.0,72864935.0,0.18,1.57,0.147049,0.241672,27.2446,2004-12-31T00:00:00,-,实施分配,"10派0.50元(含税,扣税后0.45元)",23913,2012-07-13T13:12:17,2014-03-31T17:41:06,2005-06-28T00:00:00,
3,沪市,600581,八一钢铁,0.0,0.0,0.0,3.0,-,2005-03-01T00:00:00,-,-,2005-07-15T00:00:00,2005-07-18T00:00:00,-,5172.0,589576104.0,0.74,3.93,1.431626,0.697306,35.9725,2004-12-31T00:00:00,-,实施分配,"10派3.00元(含税,扣税后2.70元)",23794,2012-07-13T13:06:38,2014-03-31T17:41:07,2005-07-12T00:00:00,
4,沪市,600351,亚宝药业,0.0,0.0,0.0,0.2,-,2005-03-01T00:00:00,-,-,2005-07-28T00:00:00,2005-07-29T00:00:00,-,5161.0,172500000.0,0.22,1.78,0.524084,0.139603,25.1353,2004-12-31T00:00:00,-,实施分配,"10派0.20元(含税,扣税后0.18元)",23733,2012-07-13T13:12:26,2014-03-31T17:41:06,2005-07-25T00:00:00,
5,沪市,600467,好当家,0.0,0.0,0.0,1.0,-,2005-03-01T00:00:00,-,-,2005-04-11T00:00:00,2005-04-12T00:00:00,-,5269.0,180000000.0,0.35,3.66,1.936616,0.456766,38.2742,2004-12-31T00:00:00,-,实施分配,"10派1.00元(含税,扣税后0.80元)",24356,2012-07-13T12:49:58,2014-03-31T17:40:57,2005-04-06T00:00:00,
6,深主板,000729,燕京啤酒,5.0,2.0,3.0,0.6,-,2005-03-01T00:00:00,-,-,2005-04-12T00:00:00,2005-04-13T00:00:00,-,5268.0,679035604.0,0.4,6.24,3.408757,1.04271,11.8128,2004-12-31T00:00:00,-,实施分配,"10送2.00转3.00派0.60元(含税,扣税后0.08元)",24354,2012-07-13T13:31:25,2014-03-31T17:41:15,2005-04-08T00:00:00,
7,深主板,000989,九芝堂,0.0,0.0,0.0,3.0,-,2005-03-01T00:00:00,-,-,2005-04-20T00:00:00,2005-04-21T00:00:00,-,5260.0,261849861.0,0.404,4.365,2.707083,0.410906,28.8694,2004-12-31T00:00:00,-,实施分配,"10派3.00元(含税,扣税后2.40元)",24333,2012-07-13T13:13:30,2014-03-31T17:41:07,2005-04-15T00:00:00,
8,沪市,600616,金枫酒业,0.0,0.0,0.0,2.0,-,2005-03-01T00:00:00,-,-,2005-04-25T00:00:00,2005-04-26T00:00:00,-,5255.0,304632981.0,0.37,1.65,0.054076,0.261815,47.9742,2004-12-31T00:00:00,-,实施分配,"10派2.00元(含税,扣税后1.60元)",24317,2012-07-13T13:05:39,2014-03-31T17:41:04,2005-04-20T00:00:00,
9,沪市,600352,浙江龙盛,3.0,0.0,3.0,1.0,-,2005-03-01T00:00:00,-,-,2005-04-27T00:00:00,2005-04-28T00:00:00,-,5253.0,454000000.0,0.4364,2.0452,0.476593,0.38476,25.7783,2004-12-31T00:00:00,-,实施分配,"10转3.00派1.00元(含税,扣税后0.80元)",24306,2012-07-13T13:21:48,2014-03-31T17:41:09,2005-04-21T00:00:00,
10,沪市,600177,雅戈尔,5.0,0.0,5.0,2.5,-,2005-03-01T00:00:00,-,-,2005-04-28T00:00:00,2005-04-29T00:00:00,-,5252.0,1086892349.0,0.529,3.1756,0.687807,0.818526,39.4018,2004-12-31T00:00:00,-,实施分配,"10转5.00派2.50元(含税,扣税后2.00元)",24303,2012-07-13T13:20:58,2014-03-31T17:41:07,2005-04-25T00:00:00,
11,深主板,000825,太钢不锈,0.0,0.0,0.0,2.0,-,2005-03-01T00:00:00,-,-,2005-05-19T00:00:00,2005-05-20T00:00:00,-,5231.0,1291404000.0,0.781,3.783,1.170336,1.139873,65.1764,2004-12-31T00:00:00,-,实施分配,"10派2.00元(含税,扣税后1.60元)",24251,2012-07-13T13:12:35,2014-03-31T17:41:06,2005-05-12T00:00:00,
12,沪市,600231,凌钢股份,0.0,0.0,0.0,2.5,-,2005-03-01T00:00:00,-,-,2005-05-20T00:00:00,2005-05-23T00:00:00,-,5228.0,523900000.0,-,-,-,-,-,2004-12-31T00:00:00,-,实施分配,"10派2.50元(含税,扣税后2.00元)",24245,2012-07-13T12:56:19,2014-03-31T17:40:58,2005-05-17T00:00:00,
13,沪市,600009,上海机场,0.0,0.0,0.0,1.0,-,2005-03-01T00:00:00,-,-,2005-05-20T00:00:00,2005-05-23T00:00:00,-,5228.0,1926958448.0,0.69,4.107,1.332062,1.239685,99.5382,2004-12-31T00:00:00,-,实施分配,"10派1.00元(含税,扣税后0.80元)",24236,2012-07-13T13:12:31,2014-03-31T17:41:06,2005-05-17T00:00:00,
14,沪市,600531,豫光金铅,0.0,0.0,0.0,1.5,-,2005-03-01T00:00:00,-,-,2005-05-20T00:00:00,2005-05-23T00:00:00,-,5228.0,228269160.0,0.424,2.85,0.931479,0.702738,66.0458,2004-12-31T00:00:00,-,实施分配,"10派1.50元(含税,扣税后1.20元)",24231,2012-07-13T13:15:13,2014-03-31T17:41:08,2005-05-17T00:00:00,
