,代码,名称,股息率,送转总比例,送股比例,转股比例,现金分红比例,预案公告日,市场
7920,002382.SZ,蓝帆医疗,0.0161030595813205,0.0,0.0,0.0,2.0,20170228,中小板
7460,600422.SH,昆药集团,0.0161001788908766,0.0,-,-,1.8,20170325,沪市
6988,603393.SH,新天然气,0.0160661005278862,0.0,-,-,7.0,20170405,沪市
6297,601163.SH,三角轮胎,0.0160384923817161,0.0,-,-,4.0,20170424,沪市
7342,000919.SZ,金陵药业,0.0160377358490566,0.0,0.0,0.0,1.7,20170328,深主板
7512,002559.SZ,亚威股份,0.0160109789569991,0.0,0.0,0.0,1.75,20170324,中小板
5727,600637.SH,东方明珠,0.0159849553361542,0.0,-,-,3.4,20170429,沪市
5683,601899.SH,紫金矿业,0.0159574468085106,0.0,-,-,0.6,20170609,沪市
6047,002091.SZ,江苏国泰,0.0159489633173844,3.0,0.0,3.0,2.0,20170426,中小板
5748,600015.SH,华夏银行,0.0159471365638767,2.0,-,2.0,1.81,20170429,沪市
5600,000408.SZ,藏格控股,0.0159320233669676,0.0,-,-,3.0,20170829,深主板
7593,000783.SZ,长江证券,0.0158394931362196,0.0,0.0,0.0,1.5,20170322,深主板
7321,600221.SH,海航控股,0.0158153846153846,0.0,-,-,0.514,20170329,沪市
7188,601333.SH,广深铁路,0.015748031496063,0.0,-,-,0.8,20170330,沪市
7220,002032.SZ,苏泊尔,0.0157464212678937,3.0,3.0,0.0,7.7,20170330,中小板
5728,600210.SH,紫江企业,0.0157232704402516,0.0,-,-,1.0,20170429,沪市
5977,601199.SH,江南水务,0.0157142857142857,0.0,-,-,1.1,20170427,沪市
7784,600239.SH,云南城投,0.015702479338843,5.0,-,5.0,1.14,20170314,沪市
7444,002706.SZ,良信电器,0.0156985871271586,10.0,0.0,10.0,4.0,20170325,中小板
7869,600577.SH,精达股份,0.0156862745098039,0.0,-,-,0.8,20170307,沪市
7204,603968.SH,醋化股份,0.0156794425087108,0.0,-,-,3.6,20170330,沪市
5882,600997.SH,开滦股份,0.015625,0.0,-,-,1.0,20170428,沪市
6191,002124.SZ,天邦股份,0.015625,0.0,0.0,0.0,1.25,20170425,中小板
6195,002317.SZ,众生药业,0.0155709342560554,0.0,0.0,0.0,1.8,20170425,中小板
6003,601928.SH,凤凰传媒,0.0155601659751037,0.0,-,-,1.5,20170427,沪市
6911,002626.SZ,金达威,0.015552099533437,0.0,0.0,0.0,2.0,20170408,中小板
6303,601877.SH,正泰电器,0.0154718927282104,0.0,-,-,3.0,20170424,沪市
6332,000700.SZ,模塑科技,0.0154711673699015,0.0,0.0,0.0,1.1,20170422,深主板
7758,600067.SH,冠城大通,0.0154320987654321,0.0,-,-,1.0,20170315,沪市
6951,002376.SZ,新北洋,0.0153964588144727,0.0,0.0,0.0,2.0,20170407,中小板
7440,601965.SH,中国汽研,0.015353121801433,0.0,-,-,1.5,20170325,沪市
7646,600583.SH,海油工程,0.0153139356814701,0.0,-,-,1.0,20170321,沪市
7725,600565.SH,迪马股份,0.0153139356814701,0.0,-,-,1.0,20170316,沪市
5702,002861.SZ,瀛通通讯,0.0153139356814701,0.0,-,-,5.0,20170502,中小板
6997,603369.SH,今世缘,0.0152487961476726,0.0,-,-,1.9,20170401,沪市
7356,603444.SH,吉比特,0.0152473038304202,0.0,-,-,41.0,20170328,沪市
6785,600216.SH,浙江医药,0.0152471083070452,0.0,-,-,1.45,20170412,沪市
6957,002690.SZ,美亚光电,0.015205271160669,0.0,0.0,0.0,3.0,20170407,中小板
7398,000637.SZ,茂化实华,0.0151975683890578,0.0,0.0,-,1.0,20170328,深主板
5963,002403.SZ,爱仕达,0.0150715900527506,0.0,0.0,0.0,2.0,20170427,中小板
6161,300185.SZ,通裕重工,0.0150375939849624,0.0,0.0,0.0,0.4,20170426,创业板
6625,002736.SZ,国信证券,0.0150262960180316,0.0,-,-,2.0,20170418,中小板
6740,002415.SZ,海康威视,0.0149402390438247,5.0,5.0,0.0,6.0,20170414,中小板
6122,000539.SZ,粤电力A,0.0148975791433892,0.0,0.0,-,0.8,20170426,深主板
6737,600519.SH,贵州茅台,0.0148844247554717,0.0,-,-,67.87,20170415,沪市
6037,002477.SZ,雏鹰退,0.0148741418764302,0.0,0.0,0.0,0.65,20170426,中小板
6379,600481.SH,双良节能,0.0148698884758364,0.0,-,-,0.8,20170422,沪市
6239,300421.SZ,力星股份,0.0148148148148148,0.0,0.0,0.0,4.0,20170425,创业板
6414,300200.SZ,高盟新材,0.0148038490007402,0.0,0.0,0.0,2.0,20170421,创业板
6531,002397.SZ,梦洁股份,0.0147710487444609,0.0,0.0,0.0,1.0,20170420,中小板
6717,600438.SH,通威股份,0.014760147601476,0.0,-,-,0.8,20170415,沪市
5592,600016.SH,民生银行,0.0147058823529412,0.0,-,-,1.2,20170829,沪市
6386,601117.SH,中国化学,0.0146938775510204,0.0,-,-,1.08,20170422,沪市
5720,002416.SZ,爱施德,0.0146914789422135,0.0,-,-,1.5,20170429,中小板
7182,600837.SH,海通证券,0.0146764509673115,0.0,-,-,2.2,20170330,沪市
7135,000151.SZ,中成股份,0.0146412884333821,0.0,0.0,0.0,3.0,20170331,深主板
7149,600790.SH,轻纺城,0.0146198830409357,0.0,-,-,1.0,20170331,沪市
6217,600201.SH,生物股份,0.0146070698217938,0.0,-,-,5.0,20170425,沪市
7848,000963.SZ,华东医药,0.0145945945945946,10.0,-,10.0,13.5,20170309,深主板
6525,600219.SH,南山铝业,0.0145772594752187,0.0,-,-,0.5,20170420,沪市
7902,601678.SH,滨化股份,0.0145560407569141,0.0,-,-,1.0,20170302,沪市
7893,603658.SH,安图生物,0.0145186508822872,0.0,-,-,6.5,20170303,沪市
7087,601128.SH,常熟银行,0.0145044319097502,0.0,-,-,1.8,20170331,沪市
7561,600007.SH,中国国贸,0.0144648023143684,0.0,-,-,3.0,20170323,沪市
7615,603899.SH,晨光文具,0.0144425187752744,0.0,-,-,2.5,20170321,沪市
7900,600284.SH,浦东建设,0.014404432132964,0.0,-,-,1.56,20170303,沪市
7696,000001.SZ,平安银行,0.0144029170464904,0.0,-,-,1.58,20170317,深主板
7069,600658.SH,电子城,0.0143956889915319,0.0,-,-,1.87,20170331,沪市
5950,002637.SZ,赞宇科技,0.0143815915627996,0.0,0.0,0.0,1.5,20170427,中小板
6407,002357.SZ,富临运业,0.0143815915627996,0.0,0.0,0.0,1.5,20170421,中小板
6925,600021.SH,上海电力,0.014308426073132,0.0,-,-,1.8,20170408,沪市
6917,601789.SH,宁波建工,0.0142566191446028,0.0,-,-,0.7,20170408,沪市
7074,002133.SZ,广宇集团,0.0142348754448399,0.0,0.0,-,0.8,20170331,中小板
5954,002081.SZ,金螳螂,0.0141776937618147,0.0,0.0,0.0,1.5,20170427,中小板
6889,600498.SH,烽火通信,0.0141666666666667,0.0,-,-,3.4,20170408,沪市
7300,300127.SZ,银河磁体,0.0141322781232335,0.0,0.0,0.0,2.5,20170329,创业板
5642,002394.SZ,联发股份,0.0141242937853107,0.0,0.0,0.0,2.0,20170819,中小板
8009,300131.SZ,英唐智控,0.0141178579743888,0.0,-,-,1.212724,20170216,创业板
7983,600168.SH,武汉控股,0.0141124586549063,0.0,-,-,1.28,20170222,沪市
6714,000573.SZ,粤宏远A,0.0141043723554302,0.0,0.0,0.0,1.0,20170415,深主板
5875,601208.SH,东材科技,0.0141043723554302,0.0,-,-,1.0,20170428,沪市
5905,000620.SZ,新华联,0.0140845070422535,0.0,0.0,0.0,1.0,20170427,深主板
7006,002051.SZ,中工国际,0.0140280561122244,2.0,2.0,0.0,3.5,20170401,中小板
5571,002101.SZ,广东鸿图,0.0139958012596221,5.0,-,5.0,2.0,20171212,中小板
6575,600668.SH,尖峰集团,0.0139821029082774,0.0,-,-,2.5,20170418,沪市
6381,000869.SZ,张裕A,0.0139120756816917,0.0,0.0,0.0,5.0,20170422,深主板
6344,603123.SH,翠微股份,0.0138248847926267,0.0,-,-,1.2,20170422,沪市
7394,600676.SH,交运股份,0.0138121546961326,0.0,-,-,1.0,20170328,沪市
7767,600323.SH,瀚蓝环境,0.0137835975189524,0.0,-,-,2.0,20170315,沪市
5922,601985.SH,中国核电,0.0137672090112641,0.0,-,-,1.1,20170427,沪市
7107,600611.SH,大众交通,0.0137614678899083,0.0,-,-,0.75,20170331,沪市
7950,600479.SH,千金药业,0.013745704467354,0.0,-,-,2.0,20170228,沪市
7549,600271.SH,航天信息,0.0137211855104281,0.0,-,-,2.5,20170323,沪市
6405,603298.SH,杭叉集团,0.0137174211248285,0.0,-,-,3.0,20170421,沪市
7311,600400.SH,红豆股份,0.0136986301369863,1.0,-,1.0,1.0,20170329,沪市
6328,601188.SH,龙江交通,0.0136929460580913,0.0,-,-,0.66,20170422,沪市
7270,300615.SZ,欣天科技,0.0136798905608755,0.0,0.0,0.0,5.0,20170330,创业板
7132,600535.SH,天士力,0.0136752136752137,0.0,-,-,5.6,20170331,沪市
6357,002274.SZ,华昌化工,0.0136425648021828,0.0,0.0,0.0,1.0,20170422,中小板
6558,600926.SH,杭州银行,0.0135931128228364,4.0,-,4.0,3.0,20170419,沪市
6755,600755.SH,厦门国贸,0.0135746606334842,0.0,-,-,1.2,20170414,沪市
5855,600285.SH,羚锐制药,0.0135746606334842,0.0,-,-,1.5,20170428,沪市
7816,000423.SZ,东阿阿胶,0.0135644310474755,0.0,0.0,0.0,9.0,20170310,深主板
7055,002763.SZ,汇洁股份,0.0135547272111149,0.0,0.0,0.0,4.0,20170331,中小板
5597,002083.SZ,孚日股份,0.013550135501355,0.0,-,-,1.0,20170829,中小板
7510,603839.SH,安正时尚,0.013550135501355,0.0,-,-,4.0,20170324,沪市
6450,603116.SH,红蜻蜓,0.013550135501355,0.0,-,-,2.5,20170421,沪市
6758,600409.SH,三友化工,0.0135427952329361,0.0,-,-,1.25,20170413,沪市
6647,600737.SH,中粮糖业,0.0135416666666667,0.0,-,-,1.3,20170418,沪市
7298,300041.SZ,回天新材,0.0135256988277728,0.0,0.0,0.0,1.5,20170329,创业板
6512,603037.SH,凯众股份,0.01351612280363,3.0,-,3.0,7.0,20170420,沪市
6667,600510.SH,黑牡丹,0.013510101010101,0.0,-,-,1.07,20170418,沪市
5766,600981.SH,汇鸿集团,0.0134952766531714,0.0,-,-,1.0,20170428,沪市
7180,601788.SH,光大证券,0.0134952766531714,0.0,-,-,2.0,20170330,沪市
6185,002002.SZ,鸿达兴业,0.0134952766531714,0.0,0.0,0.0,1.0,20170425,中小板
7565,000421.SZ,南京公用,0.0134770889487871,0.0,0.0,0.0,1.0,20170323,深主板
5914,600509.SH,天富能源,0.0134422110552764,0.0,-,-,1.07,20170427,沪市
5644,300039.SZ,上海凯宝,0.0134228187919463,0.0,0.0,0.0,1.0,20170818,创业板
7141,600917.SH,重庆燃气,0.0134158926728586,0.0,-,-,1.3,20170331,沪市
5803,600779.SH,水井坊,0.0134071699213057,0.0,-,-,4.6,20170428,沪市
7198,601360.SH,三六零,0.0134020618556701,0.0,-,-,1.3,20170330,沪市
5711,600388.SH,龙净环保,0.0133708655876144,0.0,-,-,1.9,20170429,沪市
6189,002550.SZ,千红制药,0.0133333333333333,0.0,0.0,0.0,0.8,20170425,中小板
6072,603168.SH,莎普爱思,0.0133257726112844,4.0,-,4.0,4.7,20170426,沪市
6898,601555.SH,东吴证券,0.0133214920071048,0.0,-,-,1.5,20170408,沪市
7499,600650.SH,锦江投资,0.013319126265317,0.0,-,-,2.5,20170325,沪市
7225,600469.SH,风神股份,0.0133155792276964,0.0,-,-,1.0,20170330,沪市
7275,600805.SH,悦达投资,0.0133155792276964,0.0,-,-,1.0,20170330,沪市
7114,603020.SH,爱普股份,0.0133155792276964,0.0,-,-,2.0,20170331,沪市
6980,603358.SH,华达科技,0.0132994328183063,0.0,-,-,6.8,20170406,沪市
8021,300033.SZ,同花顺,0.0132547864506627,0.0,-,-,9.0,20170210,创业板
6942,300231.SZ,银信科技,0.0132391879964695,0.0,0.0,0.0,1.5,20170407,创业板
7567,601607.SH,上海医药,0.0132352941176471,0.0,-,-,3.6,20170322,沪市
7652,601127.SH,小康股份,0.0132333480370534,0.0,-,-,3.0,20170320,沪市
7190,002202.SZ,金风科技,0.0132100396301189,3.0,3.0,-,2.0,20170330,中小板
6167,002470.SZ,金正大,0.0131406044678055,0.0,0.0,0.0,1.0,20170425,中小板
5746,600098.SH,广州发展,0.0131233595800525,0.0,-,-,1.0,20170429,沪市
6488,600160.SH,巨化股份,0.0131118881118881,0.0,-,-,1.5,20170420,沪市
5936,002615.SZ,哈尔斯,0.0131004366812227,5.0,0.0,5.0,2.1,20170427,中小板
6059,002322.SZ,理工环科,0.0130890052356021,0.0,0.0,0.0,3.0,20170426,中小板
6800,002787.SZ,华源控股,0.0130480167014614,10.0,0.0,10.0,5.0,20170412,中小板
7632,002534.SZ,杭锅股份,0.0130434782608696,2.0,0.0,2.0,1.5,20170321,中小板
7170,601881.SH,中国银河,0.0129924559932942,0.0,-,-,1.55,20170331,沪市
6602,603519.SH,立霸股份,0.0129813933362181,0.0,-,-,3.0,20170418,沪市
6475,002100.SZ,天康生物,0.0129533678756477,0.0,0.0,0.0,1.0,20170420,中小板
7626,603816.SH,顾家家居,0.0129318307777572,0.0,-,-,7.0,20170321,沪市
7003,600000.SH,浦发银行,0.0129282482223659,3.0,-,3.0,2.0,20170401,沪市
7761,601518.SH,吉林高速,0.0129032258064516,0.0,-,-,0.48,20170315,沪市
7355,600197.SH,伊力特,0.0128667009778693,0.0,-,-,2.5,20170328,沪市
7654,000786.SZ,北新建材,0.0128663330950679,0.0,0.0,-,1.8,20170320,深主板
6603,300590.SZ,移为通信,0.0128596688635268,10.0,0.0,10.0,8.0,20170418,创业板
6326,600662.SH,强生控股,0.012853470437018,0.0,-,-,1.0,20170422,沪市
6148,002160.SZ,常铝股份,0.0128369704749679,0.0,0.0,0.0,1.0,20170426,中小板
6891,002082.SZ,万邦德,0.012827090815803,0.0,0.0,0.0,2.5,20170408,中小板
5860,002165.SZ,红宝丽,0.0128205128205128,0.0,-,-,0.8,20170428,中小板
5941,002588.SZ,史丹利,0.0128205128205128,0.0,0.0,-,1.0,20170427,中小板
7222,300078.SZ,思创医惠,0.0128008192524322,8.0,0.0,8.0,2.5,20170330,创业板
5671,600338.SH,西藏珠峰,0.0127877237851662,0.0,-,-,6.0,20170726,沪市
5791,601368.SH,绿城水务,0.0127545551982851,0.0,-,-,1.19,20170428,沪市
7372,600597.SH,光明乳业,0.0126903553299492,0.0,-,-,1.5,20170328,沪市
7682,002249.SZ,大洋电机,0.0126782884310618,0.0,0.0,0.0,0.8,20170318,中小板
8039,603025.SH,大豪科技,0.0126760563380282,0.0,-,-,4.5,20170120,沪市
6649,002150.SZ,通润装备,0.0126689189189189,0.0,0.0,0.0,1.5,20170418,中小板
7729,600298.SH,安琪酵母,0.0126582278481013,0.0,-,-,3.0,20170316,沪市
6966,600596.SH,新安股份,0.0126103404791929,0.0,-,-,1.0,20170406,沪市
6155,002110.SZ,三钢闽光,0.0126103404791929,0.0,0.0,0.0,2.0,20170426,中小板
7823,600368.SH,五洲交通,0.0125984251968504,0.0,-,-,0.8,20170310,沪市
