,市场,代码,名称,送转总比例,送股比例,转股比例,现金分红比例,股息率(%),预案公告日,预案公告日HSRZF,股权登记日QSRZF,股权登记日,除权除息日,除权除息日HSSRZF,YCQTS,总股本(亿）,每股收益(元),每股净资产(元),每股公积金(元),每股未分配利润(元),净利润同比增长(%),报告期,业绩披露日期,方案进度,分配计划,RowNum,EITIME,EUTIME,NOTICEDATE,Iskcb
0,沪市,600325,华发股份,0.0,-,-,1.5,0.0138504155124654,2016-04-08T00:00:00,0.2447,-0.4596,2016-06-21T00:00:00,2016-06-22T00:00:00,11.4312,1180.0,1169045620.0,0.84,10.02618317,4.684206,4.092898,9.4807,2015-12-31T00:00:00,2016-04-08T00:00:00,实施分配,"10派1.50元(含税,扣税后1.35元)",8828,2016-06-15T19:47:23,2016-06-15T19:47:23,2016-06-16T00:00:00,
1,沪市,600517,置信电气,0.0,-,-,1.0,0.0108342361863489,2016-04-08T00:00:00,-1.3684,3.4753,2016-06-22T00:00:00,2016-06-23T00:00:00,0.5507,1179.0,1356167823.0,0.32,2.34791074,0.278109,0.942852,0.2003,2015-12-31T00:00:00,2016-04-08T00:00:00,实施分配,"10派1.00元(含税,扣税后0.90元)",8781,2016-06-16T19:34:02,2016-06-16T19:34:02,2016-06-17T00:00:00,
2,创业板,300242,佳云科技,0.0,-,-,0.18,0.00051413881748072,2016-04-08T00:00:00,18.77,3.8564,2016-06-23T00:00:00,2016-06-24T00:00:00,-8.6025,1178.0,318740512.0,0.26,6.16380005,4.891531,0.242684,1250.1512,2015-12-31T00:00:00,2016-04-08T00:00:00,实施分配,"10派0.18元(含税,扣税后0.162元)",8752,2016-06-17T17:22:02,2016-06-17T17:22:02,2016-06-18T00:00:00,
3,沪市,600459,贵研铂业,0.0,-,-,0.74,0.00259467040673212,2016-04-08T00:00:00,5.2478,38.716,2016-06-23T00:00:00,2016-06-24T00:00:00,0.259,1178.0,260977742.0,0.25,6.839398,4.473262,1.101035,-25.1429,2015-12-31T00:00:00,2016-04-08T00:00:00,实施分配,"10派0.74元(含税,扣税后0.666元)",8747,2016-06-19T14:32:26,2016-06-19T14:32:26,2016-06-20T00:00:00,
4,沪市,600420,现代制药,0.0,-,-,0.5,0.00172771250863856,2016-04-08T00:00:00,-10.2882,-1.3297,2016-06-23T00:00:00,2016-06-24T00:00:00,4.2391,1178.0,287733402.0,0.7683,4.61684904,0.250255,2.971576,16.349,2015-12-31T00:00:00,2016-04-08T00:00:00,实施分配,"10派0.50元(含税,扣税后0.45元)",8739,2016-06-19T14:31:02,2016-06-19T14:31:02,2016-06-20T00:00:00,
5,中小板,002326,永太科技,0.0,-,-,0.6,0.00285171102661597,2016-04-08T00:00:00,3.851,17.8052,2016-06-23T00:00:00,2016-06-24T00:00:00,-17.2381,1178.0,798610481.0,0.18,2.34395704,0.770698,0.517826,73.0991,2015-12-31T00:00:00,2016-04-08T00:00:00,实施分配,"10派0.60元(含税,扣税后0.54元)",8714,2016-06-16T19:05:56,2016-06-16T19:05:56,2016-06-17T00:00:00,
6,深主板,000998,隆平高科,0.0,-,-,2.0,0.0105652403592182,2016-04-08T00:00:00,2.6596,-1.4063,2016-06-24T00:00:00,2016-06-27T00:00:00,-0.5714,1175.0,1256194674.0,0.49,2.36362299,0.038339,1.228563,35.646,2015-12-31T00:00:00,2016-04-08T00:00:00,实施分配,"10派2.00元(含税,扣税后1.80元)",8698,2016-06-20T16:30:55,2016-06-20T16:30:55,2016-06-21T00:00:00,
7,中小板,002552,宝鼎科技,0.0,-,-,0.1,0.000687285223367698,2016-04-08T00:00:00,-0.365,10.7306,2016-06-27T00:00:00,2016-06-28T00:00:00,-2.5273,1174.0,300000000.0,0.01,2.69350088,1.134404,0.471463,-69.8808,2015-12-31T00:00:00,2016-04-08T00:00:00,实施分配,"10派0.10元(含税,扣税后0.09元)",8646,2016-06-20T20:03:27,2016-06-20T20:03:28,2016-06-21T00:00:00,
8,沪市,600894,广日股份,0.0,-,-,7.5,0.0519031141868512,2016-04-08T00:00:00,-6.7702,8.565,2016-06-28T00:00:00,2016-06-29T00:00:00,12.3973,1173.0,859946895.0,2.494,7.47042998,2.83466,3.150419,217.8868,2015-12-31T00:00:00,2016-04-08T00:00:00,实施分配,"10派7.50元(含税,扣税后6.75元)",8632,2016-06-21T19:24:26,2016-06-21T19:24:26,2016-06-22T00:00:00,
9,中小板,002212,南洋股份,0.0,-,-,0.18,0.0015929203539823,2016-04-08T00:00:00,-4.3597,2.0777,2016-06-28T00:00:00,2016-06-29T00:00:00,39.1844,1173.0,510260000.0,0.11,3.52418769,1.0689,1.294784,8.8626,2015-12-31T00:00:00,2016-04-12T00:00:00,实施分配,"10派0.18元(含税,扣税后0.162元)",8629,2016-06-21T19:44:41,2016-06-21T19:44:42,2016-06-22T00:00:00,
10,沪市,600886,国投电力,0.0,-,-,2.7993,0.0415326409495549,2016-04-08T00:00:00,-4.3413,2.5875,2016-07-04T00:00:00,2016-07-05T00:00:00,15.6589,1167.0,6786023347.0,0.7998,3.91664944,0.953343,1.843617,-3.0771,2015-12-31T00:00:00,2016-04-08T00:00:00,实施分配,"10派2.7993元(含税,扣税后2.5194元)",8542,2016-06-28T15:52:11,2016-06-28T15:52:11,2016-06-29T00:00:00,
11,中小板,002300,太阳电缆,2.0,2.0,-,2.0,0.0203045685279188,2016-04-08T00:00:00,-7.811,6.4865,2016-07-04T00:00:00,2016-07-05T00:00:00,2.005,1167.0,452250000.0,0.4,2.82168617,0.769235,0.658914,8.779,2015-12-31T00:00:00,2016-04-08T00:00:00,实施分配,"10送2.00派2.00元(含税,扣税后1.60元)",8535,2016-06-28T16:26:41,2016-06-28T16:26:41,2016-06-29T00:00:00,
12,中小板,002042,华孚时尚,0.0,-,-,1.0,0.00843170320404722,2016-04-08T00:00:00,-1.4493,14.7002,2016-07-14T00:00:00,2016-07-15T00:00:00,-9.0986,1157.0,832992573.0,0.4,4.39042546,1.203809,2.048883,99.4028,2015-12-31T00:00:00,2016-04-08T00:00:00,实施分配,"10派1.00元(含税,扣税后0.90元)",8353,2016-07-06T18:34:20,2016-07-06T18:34:22,2016-07-07T00:00:00,
13,沪市,600818,中路股份,0.0,-,-,0.3,0.00106799572801709,2016-04-08T00:00:00,-11.7647,-6.7707,2016-08-01T00:00:00,2016-08-02T00:00:00,-6.4425,1139.0,321447910.0,0.16,1.52012535,0.045333,0.19789,721.586,2015-12-31T00:00:00,2016-04-08T00:00:00,实施分配,"10派0.30元(含税,扣税后0.27元)",8202,2016-07-22T17:41:00,2016-07-22T17:41:00,2016-07-23T00:00:00,
14,创业板,300041,回天新材,10.0,-,10.0,1.5,0.00662544169611307,2016-04-07T00:00:00,-7.9221,3.1435,2016-05-10T00:00:00,2016-05-11T00:00:00,33.6232,1222.0,200392190.0,0.4742,7.53067566,4.145189,1.966555,-23.4576,2015-12-31T00:00:00,2016-04-07T00:00:00,实施分配,"10转10.00派1.50元(含税,扣税后1.35元)",9832,2016-05-05T17:52:26,2016-05-05T17:52:26,2016-05-05T00:00:00,
15,中小板,002671,龙泉股份,0.0,-,-,0.1,0.000919963201471941,2016-04-07T00:00:00,-2.6706,-16.7688,2016-05-13T00:00:00,2016-05-16T00:00:00,11.8812,1217.0,443695798.0,0.06,3.26891412,1.491783,0.690774,-84.4476,2015-12-31T00:00:00,2016-04-07T00:00:00,实施分配,"10派0.10元(含税,扣税后0.09元)",9748,2016-05-09T19:05:16,2016-05-09T19:05:16,2016-05-10T00:00:00,
16,创业板,300424,航新科技,0.0,-,-,0.25,0.000478011472275335,2016-04-07T00:00:00,-11.3551,4.9569,2016-05-24T00:00:00,2016-05-25T00:00:00,30.8238,1208.0,133070000.0,0.59,6.14749588,2.277966,2.617647,-10.2379,2015-12-31T00:00:00,2016-04-07T00:00:00,实施分配,"10派0.25元(含税,扣税后0.225元)",9551,2016-05-18T19:12:41,2016-05-18T19:12:41,2016-05-19T00:00:00,
17,沪市,600694,大商股份,0.0,-,-,4.6,0.0117858057904176,2016-04-07T00:00:00,2.4459,-1.6381,2016-06-21T00:00:00,2016-06-22T00:00:00,3.3943,1180.0,293718653.0,2.25,21.75466738,4.899139,13.899061,-46.0737,2015-12-31T00:00:00,2016-04-07T00:00:00,实施分配,"10派4.60元(含税,扣税后4.14元)",8800,2016-06-14T19:08:25,2016-06-14T19:08:25,2016-06-15T00:00:00,
18,沪市,600000,浦发银行,1.0,-,1.0,5.15,0.0287870318613751,2016-04-07T00:00:00,2.4308,-0.7214,2016-06-22T00:00:00,2016-06-23T00:00:00,-0.827,1179.0,19652981747.0,2.665,15.292,3.250898,4.86088,7.6086,2015-12-31T00:00:00,2016-04-07T00:00:00,实施分配,"10转1.00派5.15元(含税,扣税后4.635元)",8774,2016-06-15T19:34:49,2016-06-15T19:34:49,2016-06-16T00:00:00,
19,沪市,600162,香江控股,5.0,-,5.0,0.9,0.0143540669856459,2016-04-07T00:00:00,-11.6883,-4.1284,2016-06-24T00:00:00,2016-06-27T00:00:00,-0.4785,1175.0,1596457572.0,0.3285,2.76429069,1.284134,0.500696,7.5378,2015-12-31T00:00:00,2016-04-07T00:00:00,实施分配,"10转5.00派0.90元(含税,扣税后0.81元)",8701,2016-06-20T19:37:25,2016-06-20T19:37:25,2016-06-21T00:00:00,
