,代码,名称,股息率,送转总比例,送股比例,转股比例,现金分红比例,预案公告日
13313,600397,安源煤业,0.118764845605701,0.0,-,-,5.0,2014
12730,600863,内蒙华电,0.0737100737100737,5.0,-,5.0,3.0,2014
13374,601939,建设银行,0.0714285714285714,0.0,-,-,3.0,2014
13652,601988,中国银行,0.0707581227436823,0.0,-,-,1.96,2014
13583,601398,工商银行,0.0705390835579515,0.0,-,-,2.617,2014
13707,601288,农业银行,0.0702380952380952,0.0,-,-,1.77,2014
14356,584,哈工智能,0.0700525394045534,5.0,-,5.0,8.0,2014
13754,600177,雅戈尔,0.0686813186813187,0.0,-,-,5.0,2014
13869,488,晨鸣纸业,0.068649885583524,0.0,-,-,3.0,2014
13836,600027,华电国际,0.0683890577507599,0.0,-,-,2.25,2014
13893,600000,浦发银行,0.0683229813664596,0.0,-,-,6.6,2014
13608,600104,上汽集团,0.0680657969370391,0.0,-,-,12.0,2014
13378,601818,光大银行,0.0671875,0.0,-,-,1.72,2014
13375,601328,交通银行,0.0666666666666667,0.0,-,-,2.6,2014
12673,600317,营口港,0.066624685138539,20.0,-,20.0,5.29,2014
13823,2003,伟星股份,0.0662251655629139,3.0,-,3.0,8.0,2014
14099,600183,生益科技,0.0652528548123981,0.0,-,-,4.0,2014
13813,600377,宁沪高速,0.0645161290322581,0.0,-,-,3.8,2014
13147,568,泸州老窖,0.0630040322580645,0.0,-,-,12.5,2014
12604,601006,大秦铁路,0.0626822157434402,0.0,-,-,4.3,2014
13926,600011,华能国际,0.0617886178861789,0.0,-,-,3.8,2014
13472,601088,中国神华,0.0615696887686062,0.0,-,-,9.1,2014
13470,600036,招商银行,0.0604288499025341,0.0,-,-,6.2,2014
14249,600481,双良节能,0.0596330275229358,0.0,-,-,6.5,2014
12932,601566,九牧王,0.058972198820556,0.0,-,-,7.0,2014
13598,601998,中信银行,0.0584686774941995,0.0,-,-,2.52,2014
14241,600660,福耀玻璃,0.0582072176949942,0.0,-,-,5.0,2014
14315,690,宝新能源,0.0568181818181818,0.0,-,-,3.0,2014
12851,540,中天金融,0.056390977443609,0.0,-,-,3.0,2014
13775,600795,国电电力,0.0562770562770563,0.0,-,-,1.3,2014
12520,601009,南京银行,0.0554216867469879,0.0,-,-,4.6,2014
12461,600882,妙可蓝多,0.0551267916207277,0.0,-,-,5.0,2014
12976,600015,华夏银行,0.0535714285714286,0.0,-,-,4.35,2014
13248,600578,京能电力,0.053475935828877,0.0,-,-,2.0,2014
14111,2,万科A,0.0520965692503177,0.0,-,-,4.1,2014
12847,601669,中国电建,0.0512544802867383,0.0,-,-,1.43,2014
13272,601158,重庆水务,0.0510396975425331,0.0,-,-,2.7,2014
13613,987,越秀金控,0.0506585612968592,0.0,-,-,5.0,2014
14094,2242,九阳股份,0.0503018108651912,0.0,-,-,5.0,2014
13014,2372,伟星新材,0.050251256281407,3.0,-,3.0,8.0,2014
13706,601800,中国交建,0.050032,0.0,-,-,1.8762,2014
13376,600012,皖通高速,0.0498866213151927,0.0,-,-,2.2,2014
13463,600350,山东高速,0.0498349834983498,0.0,-,-,1.51,2014
13280,600004,白云机场,0.0497981157469717,0.0,-,-,3.7,2014
14214,601369,陕鼓动力,0.049645390070922,0.0,-,-,3.5,2014
13175,601010,文峰股份,0.0489130434782609,0.0,-,-,3.6,2014
12659,651,格力电器,0.0482005141388175,0.0,-,-,15.0,2014
12752,601668,中国建筑,0.0476666666666667,0.0,-,-,1.43,2014
13250,2489,浙江永强,0.0468164794007491,0.0,-,-,5.0,2014
13354,601166,兴业银行,0.0466058763931104,0.0,-,-,4.6,2014
12893,989,九芝堂,0.0459770114942529,0.0,-,-,6.0,2014
13595,600642,申能股份,0.045766590389016,0.0,-,-,2.0,2014
13968,543,皖能电力,0.0454545454545455,0.0,-,-,3.0,2014
12853,601567,三星医疗,0.0454132606721163,0.0,-,-,5.0,2014
13120,600033,福建高速,0.0448430493273543,0.0,-,-,1.0,2014
12508,600900,长江电力,0.0446528662420382,0.0,-,-,2.8042,2014
13188,600694,大商股份,0.044267053701016,0.0,-,-,12.2,2014
12921,600395,盘江股份,0.0441826215022091,0.0,-,-,3.0,2014
13204,679,大连友谊,0.0440140845070423,0.0,-,-,2.5,2014
12620,2142,宁波银行,0.043956043956044,0.0,-,-,4.0,2014
13185,2300,太阳电缆,0.0437158469945355,5.0,-,5.0,4.0,2014
13928,600266,北京城建,0.0436507936507937,2.0,-,2.0,4.4,2014
13386,333,美的集团,0.0425622472866567,15.0,-,15.0,20.0,2014
13534,27,深圳能源,0.0423728813559322,0.0,-,-,2.5,2014
12762,539,粤电力A,0.0422832980972516,0.0,-,-,2.0,2014
13067,600309,万华化学,0.0420168067226891,0.0,-,-,7.0,2014
13632,726,鲁泰A,0.041896361631753,0.0,-,-,3.8,2014
13878,402,金融街,0.0418760469011725,0.0,-,-,2.5,2014
13883,600548,深高速,0.0417754569190601,0.0,-,-,1.6,2014
13801,600021,上海电力,0.0416666666666667,0.0,-,-,2.0,2014
13017,600755,厦门国贸,0.0415879017013233,0.0,-,-,2.2,2014
13074,601799,星宇股份,0.0405555555555556,0.0,-,-,7.3,2014
13337,528,柳工,0.0401929260450161,0.0,-,-,2.5,2014
13846,600741,华域汽车,0.0400340715502555,0.0,-,-,4.7,2014
13733,12,南玻A,0.0397350993377483,0.0,-,-,3.0,2014
13048,2689,远大智能,0.0395778364116095,3.0,-,3.0,3.0,2014
13504,600376,首开股份,0.0394736842105263,0.0,-,-,1.8,2014
12960,858,五粮液,0.0390407138873397,0.0,-,-,7.0,2014
13332,600048,保利地产,0.0389920424403183,5.0,-,5.0,2.94,2014
13744,600743,华远地产,0.0388349514563107,0.0,-,-,1.2,2014
12899,600160,巨化股份,0.0387596899224806,0.0,-,-,2.0,2014
14158,43,中航善达,0.0378787878787879,0.0,-,-,2.0,2014
13305,600507,方大特钢,0.0376811594202899,0.0,-,-,1.3,2014
13648,828,东莞控股,0.0376569037656904,0.0,-,-,1.8,2014
13241,601777,力帆股份,0.0376506024096386,0.0,-,-,2.5,2014
13345,11,深物业A,0.0376506024096386,0.0,-,-,2.5,2014
13850,603366,日出东方,0.0374029640084686,0.0,-,-,5.3,2014
12962,600509,天富能源,0.0372208436724566,0.0,-,-,3.0,2014
14238,895,双汇发展,0.0370843989769821,0.0,-,-,14.5,2014
12788,2304,洋河股份,0.0366980797366496,0.0,-,-,20.06651,2014
12940,2651,利君股份,0.0366576819407008,0.0,-,-,6.8,2014
13996,2226,江南化工,0.0366300366300366,0.0,-,-,4.0,2014
13712,600362,江西铜业,0.0364963503649635,0.0,-,-,5.0,2014
13496,2275,桂林三金,0.0362796833773087,0.0,-,-,5.5,2014
13165,601018,宁波港,0.0362445414847162,0.0,-,-,0.83,2014
13464,601899,紫金矿业,0.0361990950226244,0.0,-,-,0.8,2014
13834,151,中成股份,0.0359712230215827,0.0,-,-,3.0,2014
13236,603555,贵人鸟,0.0358851674641148,0.0,-,-,4.5,2014
12672,600060,海信电器,0.0358546168958743,0.0,-,-,3.65,2014
13306,600070,浙江富润,0.0357142857142857,5.0,-,5.0,3.0,2014
14303,2014,永新股份,0.0355871886120996,0.0,-,-,3.0,2014
13819,2561,徐家汇,0.0354679802955665,0.0,-,-,3.6,2014
13005,600778,友好集团,0.0351758793969849,0.0,-,-,2.8,2014
13671,600987,航民股份,0.0351493848857645,0.0,-,-,2.0,2014
13476,601618,中国中冶,0.0348571428571429,0.0,-,-,0.61,2014
14190,2419,天虹股份,0.0348499515972894,0.0,-,-,3.6,2014
13524,2251,步步高,0.034106412005457,0.0,-,-,5.0,2014
13200,417,合肥百货,0.0339622641509434,0.0,-,-,1.8,2014
14267,708,大冶特钢,0.0335570469798658,0.0,-,-,2.0,2014
13593,601717,郑煤机,0.0335365853658537,0.0,-,-,1.65,2014
13919,600170,上海建工,0.033500837520938,3.0,-,3.0,2.0,2014
13436,600120,浙江东方,0.033210332103321,0.0,-,-,3.6,2014
13552,46,泛海控股,0.0331125827814569,0.0,-,-,1.5,2014
13569,600790,轻纺城,0.0329341317365269,0.0,-,-,2.2,2014
12552,600123,兰花科创,0.0329161451814768,0.0,-,-,2.63,2014
12559,600,建投能源,0.0327332242225859,0.0,-,-,2.0,2014
13360,789,万年青,0.0327153762268266,0.0,-,-,3.0,2014
13759,600066,宇通客车,0.0327011118378025,0.0,-,-,5.0,2014
14009,2206,海利得,0.0325925925925926,0.0,-,-,2.2,2014
13997,6,深振业A,0.032563025210084,0.0,-,-,1.55,2014
14118,300046,台基股份,0.0324675324675325,0.0,-,-,4.0,2014
13989,2187,广百股份,0.0324324324324324,0.0,-,-,3.0,2014
12656,2269,美邦服饰,0.0321100917431193,0.0,-,-,2.8,2014
13977,600729,重庆百货,0.0320987654320988,0.0,-,-,6.5,2014
13312,600533,栖霞建设,0.0320512820512821,0.0,-,-,1.0,2014
14039,600665,天地源,0.0320512820512821,0.0,-,-,1.0,2014
13166,600325,华发股份,0.032,0.0,-,-,2.0,2014
12740,2670,国盛金控,0.0319148936170213,0.0,-,-,3.0,2014
13366,600023,浙能电力,0.0318471337579618,3.0,-,3.0,2.0,2014
12751,2650,加加食品,0.0317460317460317,10.0,-,10.0,6.0,2014
13842,600859,王府井,0.0317460317460317,0.0,-,-,5.0,2014
13988,600271,航天信息,0.0317460317460317,0.0,-,-,6.0,2014
13974,2563,森马服饰,0.0316957210776545,0.0,-,-,10.0,2014
13647,2662,京威股份,0.0314009661835749,0.0,-,-,2.6,2014
13071,600438,通威股份,0.03125,0.0,-,-,3.0,2014
13157,2406,远东传动,0.0312174817898023,0.0,-,-,3.0,2014
12723,600612,老凤祥,0.0312159709618875,0.0,-,-,8.6,2014
13493,157,中联重科,0.0309278350515464,0.0,-,-,1.5,2014
12682,600897,厦门空港,0.030885380919698,0.0,-,-,4.5,2014
13714,601991,大唐发电,0.0307692307692308,0.0,-,-,1.2,2014
13876,600219,南山铝业,0.0307377049180328,0.0,-,-,1.5,2014
13353,600269,赣粤高速,0.0306859205776173,0.0,-,-,0.85,2014
12759,600098,广州发展,0.0306748466257669,0.0,-,-,1.5,2014
12654,2343,慈文传媒,0.0306372549019608,0.0,-,-,2.5,2014
13317,600622,光大嘉宝,0.0303490136570561,0.0,-,-,2.0,2014
13605,601333,广深铁路,0.030188679245283,0.0,-,-,0.8,2014
12939,2612,朗姿股份,0.0301204819277108,0.0,-,-,6.0,2014
14254,926,福星股份,0.0299850074962519,0.0,-,-,2.0,2014
13865,600724,宁波富达,0.0298507462686567,0.0,-,-,1.2,2014
12533,600690,海尔智家,0.0297927461139896,0.0,-,-,4.6,2014
13522,2677,浙江美大,0.0296861747243427,0.0,-,-,3.5,2014
13889,786,北新建材,0.0295939435650379,0.0,-,-,4.3,2014
13478,1872,招商港口,0.0294561933534743,0.0,-,-,3.9,2014
