,codes,gxl
2850,300343.SZ,0.040498442367601244
845,300343.SZ,0.040498442367601244
886,300586.SZ,0.04045307443365696
260,601997.SH,0.04024390243902439
200,601877.SH,0.04017857142857143
1313,601877.SH,0.04017857142857143
401,002117.SZ,0.040160642570281124
763,603179.SH,0.040160642570281124
209,000552.SZ,0.04
311,601678.SH,0.03992740471869329
929,603776.SH,0.039817974971558596
233,002827.SZ,0.03980099502487562
410,603608.SH,0.0397456279809221
421,002322.SZ,0.03968253968253968
385,002322.SZ,0.03968253968253968
1181,002887.SZ,0.039603960396039604
437,300690.SZ,0.039401103230890466
137,600035.SH,0.0393939393939394
234,601668.SH,0.03930530164533821
80,600020.SH,0.03925233644859812
208,600266.SH,0.03916083916083916
158,000709.SZ,0.0390625
167,600348.SH,0.039047619047619046
273,000789.SZ,0.03901895206243032
444,600303.SH,0.0389920424403183
128,600033.SH,0.03896103896103896
513,603839.SH,0.038910505836575876
211,300307.SZ,0.038910505836575876
220,601699.SH,0.03873144399460189
228,601599.SH,0.03846153846153847
362,002419.SZ,0.038461538461538464
475,603306.SH,0.0383435582822086
287,002521.SZ,0.03824091778202676
874,000018.SZ,0.0380952380952381
123,000778.SZ,0.03807106598984772
379,002293.SZ,0.03804347826086957
585,300719.SZ,0.03787878787878788
95,601166.SH,0.0378567268491555
87,000601.SZ,0.03780068728522337
162,600704.SH,0.03773584905660377
49,000157.SZ,0.03773584905660377
998,002038.SZ,0.037707390648567124
104,600606.SH,0.037707390648567124
394,600297.SH,0.03759398496240601
243,600926.SH,0.03759398496240601
492,002923.SZ,0.03757380568974772
107,600170.SH,0.037500000000000006
372,002763.SZ,0.0375
290,600637.SH,0.03747323340471092
68,000921.SZ,0.037351443123938885
396,002327.SZ,0.03731343283582089
292,002416.SZ,0.037243947858472994
341,000559.SZ,0.03717472118959108
176,002701.SZ,0.03715823529411765
135,603198.SH,0.03713527851458886
395,000338.SZ,0.037132987910189985
219,000338.SZ,0.037132987910189985
36,000656.SZ,0.03698224852071006
93,002591.SZ,0.03697816502463055
320,002553.SZ,0.03690036900369004
172,002187.SZ,0.03690036900369003
198,000016.SZ,0.03681818181818182
171,002091.SZ,0.036764705882352935
1278,002812.SZ,0.03672787979966611
961,603969.SH,0.03667481662591687
2861,603969.SH,0.03667481662591687
112,600900.SH,0.03651987110633727
1155,300703.SZ,0.036420395421436005
1703,002717.SZ,0.03638172557172558
439,002391.SZ,0.036319612590799036
692,002398.SZ,0.036301070780399285
499,002294.SZ,0.03624830086089715
131,600261.SH,0.036231884057971016
948,000732.SZ,0.03600654664484452
265,000090.SZ,0.03597122302158274
376,601366.SH,0.03597122302158274
178,002128.SZ,0.03592814371257485
194,000524.SZ,0.0358267716535433
688,603018.SH,0.03556308213378493
214,002615.SZ,0.03552397868561279
347,002706.SZ,0.03551136363636363
153,000700.SZ,0.03550295857988166
383,002051.SZ,0.035496957403651115
561,600750.SH,0.03548895899053628
476,603958.SH,0.03537414965986395
269,002677.SZ,0.03509433962264151
239,000536.SZ,0.03508771929824561
117,000002.SZ,0.03488372093023256
118,600642.SH,0.034722222222222224
334,603997.SH,0.034696406443618336
283,603166.SH,0.034482758620689655
1031,603933.SH,0.034482758620689655
227,600066.SH,0.03441156228492774
2045,603988.SH,0.034410844629822725
1343,603988.SH,0.034410844629822725
300,000046.SZ,0.034403669724770644
517,600566.SH,0.03436426116838488
127,000637.SZ,0.034324942791762014
140,600093.SH,0.03427762039660057
489,002679.SZ,0.03427004797806717
293,601838.SH,0.03418803418803419
908,603626.SH,0.03415300546448087
199,000006.SZ,0.034150943396226416
165,600123.SH,0.034108527131782945
249,600694.SH,0.03409090909090909
501,603878.SH,0.03397849462365592
263,002404.SZ,0.03377110694183865
175,600340.SH,0.03373313343328336
184,600663.SH,0.03367052023121387
291,000417.SZ,0.03340757238307349
430,000887.SZ,0.03337041156840934
578,603385.SH,0.033296337402885685
409,603611.SH,0.03322259136212625
238,002728.SZ,0.033200531208499334
1403,300640.SZ,0.03315649867374005
213,601991.SH,0.03308823529411765
482,002559.SZ,0.0330188679245283
166,002532.SZ,0.03289473684210526
716,603055.SH,0.032835820895522394
330,601155.SH,0.03267446551028641
192,600795.SH,0.03252032520325203
462,002734.SZ,0.032467532467532464
357,300120.SZ,0.0324474584717608
796,600738.SH,0.03241491085899514
885,600738.SH,0.03241491085899514
183,601588.SH,0.03235294117647059
726,603777.SH,0.03225806451612903
843,603667.SH,0.03225806451612903
557,600133.SH,0.032196969696969696
469,600479.SH,0.03215434083601286
1791,002745.SZ,0.032103688933200404
1784,002745.SZ,0.032103688933200404
733,603359.SH,0.03205128205128205
436,002160.SZ,0.03205128205128205
235,600676.SH,0.0319634703196347
146,601515.SH,0.03194444444444444
182,600089.SH,0.03191489361702128
629,300432.SZ,0.031897926634768745
295,600373.SH,0.031897926634768745
567,601000.SH,0.03187250996015937
820,300497.SZ,0.03178639542275906
92,002242.SZ,0.03171726325328501
331,600563.SH,0.031520882584712376
453,002334.SZ,0.03151260504201681
304,600657.SH,0.031496062992125984
241,601126.SH,0.031448763250883395
333,600828.SH,0.031446540880503145
236,600368.SH,0.031446540880503145
299,002534.SZ,0.031446540880503145
259,001979.SZ,0.03139240506329114
345,000926.SZ,0.03129890453834116
134,600548.SH,0.03128258602711157
964,300230.SZ,0.03125
308,603200.SH,0.031213421771361684
101,300154.SZ,0.031201248049921998
797,002539.SZ,0.03111111111111111
534,002539.SZ,0.03111111111111111
1917,002019.SZ,0.03110419906687403
288,002019.SZ,0.03110419906687403
700,000830.SZ,0.031088082901554404
164,000100.SZ,0.03105590062111801
323,002597.SZ,0.031039834454216247
863,002831.SZ,0.03097573567372225
1728,603579.SH,0.030971738288811466
1399,603579.SH,0.030971738288811466
954,002612.SZ,0.030902348578491962
960,002612.SZ,0.030902348578491962
253,601019.SH,0.030898876404494385
584,002787.SZ,0.030864197530864192
526,600790.SH,0.030640668523676882
1670,600179.SH,0.030581039755351678
617,600176.SH,0.03056234718826406
1169,603801.SH,0.030518819938962362
317,600273.SH,0.030487804878048783
871,600273.SH,0.030487804878048783
177,000828.SZ,0.03045066991473812
121,002238.SZ,0.03045066991473812
143,600585.SH,0.030433679939132638
186,600820.SH,0.030405405405405404
737,002035.SZ,0.030241935483870965
339,000055.SZ,0.03018108651911469
188,000776.SZ,0.030120481927710847
527,002449.SZ,0.03007518796992481
450,002538.SZ,0.03
485,002508.SZ,0.029988004798080763
274,600018.SH,0.029965156794425084
1222,300259.SZ,0.029940119760479042
676,603980.SH,0.029940119760479042
185,000957.SZ,0.029850746268656716
247,000011.SZ,0.029791459781529295
443,601801.SH,0.0297723292469352
442,601828.SH,0.029739776951672865
210,600048.SH,0.02973977695167286
458,600337.SH,0.02972972972972973
498,002001.SZ,0.029673590504451036
452,300695.SZ,0.029650128483890096
1971,002445.SZ,0.02962962962962963
314,002275.SZ,0.029607698001480387
279,603519.SH,0.02952755905511811
254,002546.SZ,0.02948402948402948
559,601952.SH,0.02945508100147275
2412,002210.SZ,0.029411764705882356
459,603323.SH,0.029411764705882353
218,002152.SZ,0.029368575624082235
202,600611.SH,0.029339853300733496
890,603685.SH,0.02933780385582565
582,300446.SZ,0.029325513196480937
1051,300641.SZ,0.029304029304029304
270,601101.SH,0.029143897996357013
346,002360.SZ,0.02912621359223301
285,002315.SZ,0.02910360884749709
649,002080.SZ,0.029069767441860465
564,603365.SH,0.029052876234747237
809,603158.SH,0.02903682719546742
1093,603158.SH,0.02903682719546742
956,300612.SZ,0.02900232018561485
544,600577.SH,0.028985507246376815
276,600723.SH,0.028938906752411578
1021,002762.SZ,0.028846153846153848
373,600908.SH,0.02879078694817658
1756,300732.SZ,0.028785261945883704
114,002616.SZ,0.02873563218390805
348,600480.SH,0.02872062663185379
390,600106.SH,0.028716216216216214
872,603816.SH,0.028665273215885335
520,000423.SZ,0.02857142857142857
366,002150.SZ,0.02857142857142857
639,603319.SH,0.02853519340519975
212,600628.SH,0.028532608695652172
359,603015.SH,0.02852614896988907
361,600067.SH,0.02850356294536817
416,600970.SH,0.02847457627118644
693,002815.SZ,0.028421052631578948
1261,603680.SH,0.028382213812677387
122,603920.SH,0.028377544725478095
422,002748.SZ,0.028368794326241134
337,000937.SZ,0.02824858757062147
620,600060.SH,0.02823529411764706
455,600284.SH,0.02821316614420063
428,002637.SZ,0.028169014084507043
389,002303.SZ,0.028138528138528136
477,002158.SZ,0.028097062579821204
465,601518.SH,0.02792452830188679
231,000685.SZ,0.02791878172588833
505,600219.SH,0.027906976744186046
1479,300453.SZ,0.027816411682892905
332,601965.SH,0.027816411682892905
1508,300453.SZ,0.027816411682892905
106,002565.SZ,0.027816055172413794
156,600674.SH,0.02780586450960566
543,600056.SH,0.027746575342465753
399,002344.SZ,0.02771362586605081
431,002249.SZ,0.027707808564231738
294,001965.SZ,0.027686472819216185
222,601107.SH,0.027624309392265192
461,002626.SZ,0.027567195037904894
99,002191.SZ,0.027526770072992698
491,603615.SH,0.027442371020856202
189,603017.SH,0.027347310847766634
397,000039.SZ,0.02719033232628399
316,600835.SH,0.027133973996608253
275,600598.SH,0.02710843373493976
248,002116.SZ,0.027060270602706025
590,603035.SH,0.027003293084522505
266,002732.SZ,0.026954177897574122
230,600919.SH,0.02694610778443114
463,300415.SZ,0.026905829596412554
224,600755.SH,0.0267379679144385
991,002407.SZ,0.026656511805026654
652,002407.SZ,0.026656511805026654
302,000718.SZ,0.026595744680851068
1054,300433.SZ,0.026588346820809246
411,300183.SZ,0.026535253980288095
537,603661.SH,0.026527570789865874
841,300298.SZ,0.02652519893899204
773,603117.SH,0.026455026455026457
562,002867.SZ,0.026455026455026454
893,603197.SH,0.026413100898045428
412,000038.SZ,0.026350461133069828
355,601188.SH,0.0262987012987013
448,600054.SH,0.0262582056892779
358,600076.SH,0.026252983293556083
388,002687.SZ,0.026178010471204185
151,600720.SH,0.02616609783845279
681,603976.SH,0.02610669693530079
549,600293.SH,0.026000000000000002
1440,300561.SZ,0.02599120839363242
626,002256.SZ,0.02586206896551724
229,002705.SZ,0.02586206896551724
618,300428.SZ,0.025841816758026624
261,600386.SH,0.025839793281653745
508,601333.SH,0.025806451612903226
660,002518.SZ,0.025806451612903226
535,601339.SH,0.025773195876288662
1047,300628.SZ,0.02576489533011272
668,000062.SZ,0.025697503671071955
963,603900.SH,0.02568807339449541
523,002033.SZ,0.02564102564102564
850,300199.SZ,0.02564102564102564
621,300150.SZ,0.02551020408163265
1849,002094.SZ,0.025477707006369425
356,000026.SZ,0.02544529262086514
289,600665.SH,0.02542857142857143
349,000719.SZ,0.025423728813559324
318,600449.SH,0.025316455696202535
1501,002343.SZ,0.025316455696202528
728,300355.SZ,0.025290697674418605
204,600565.SH,0.025280898876404494
746,600804.SH,0.025229357798165136
329,600021.SH,0.025220680958385876
433,002620.SZ,0.025210084033613446
1195,000963.SZ,0.02516602586508214
1078,002470.SZ,0.025157232704402517
1070,002290.SZ,0.025104602510460247
1829,300237.SZ,0.025078369905956115
637,002133.SZ,0.025078369905956115
240,002300.SZ,0.025034770514603615
581,002002.SZ,0.025
432,603298.SH,0.02495840266222962
1409,603337.SH,0.024896265560165973
778,603168.SH,0.024875621890547265
438,601139.SH,0.02487562189054726
369,000883.SZ,0.024813895781637715
464,000151.SZ,0.024801587301587304
242,601811.SH,0.024752475247524754
1330,300485.SZ,0.024742268041237112
449,601618.SH,0.02472727272727273
159,601377.SH,0.024711696869851727
753,603488.SH,0.024691358024691357
1480,002320.SZ,0.024691358024691357
497,600508.SH,0.024663677130044845
1176,002718.SZ,0.02466091245376079
1364,300693.SZ,0.024650780608052588
851,002820.SZ,0.024630541871921183
648,002186.SZ,0.02462121212121212
315,601369.SH,0.024603174603174603
683,300481.SZ,0.02459592410400562
307,601899.SH,0.02459016393442623
731,600859.SH,0.02455661664392906
1282,603527.SH,0.024533856722276745
608,600105.SH,0.02450980392156863
1348,300532.SZ,0.024509803921568627
790,002572.SZ,0.024509803921568627
168,600036.SH,0.024504084014002333
1526,300623.SZ,0.024473813020068524
267,002689.SZ,0.02444987775061125
435,601368.SH,0.024444444444444442
1378,601857.SH,0.024434640522875816
1157,601857.SH,0.024434640522875816
365,600887.SH,0.02443280977312391
272,601128.SH,0.024423337856173677
306,300082.SZ,0.02438162544169611
343,600510.SH,0.024356775300171527
483,002215.SZ,0.024350649350649352
2846,000528.SZ,0.02431118314424635
750,000528.SZ,0.02431118314424635
423,601800.SH,0.024238476953907812
434,600572.SH,0.024232633279483034
588,600717.SH,0.02418300653594771
324,600650.SH,0.024154589371980676
1032,603357.SH,0.02404274265360641
414,603586.SH,0.023952095808383235
638,600008.SH,0.023880597014925373
807,603536.SH,0.023854961832061067
669,002746.SZ,0.02385211687537269
2016,300645.SZ,0.023809523809523808
1788,300645.SZ,0.023809523809523808
1018,600057.SH,0.023584905660377357
1198,300681.SZ,0.023529411764705882
1140,600535.SH,0.023529411764705882
1320,603067.SH,0.02350936967632027
326,600483.SH,0.02347417840375587
1207,002247.SZ,0.023411371237458192
251,601211.SH,0.023405500292568753
496,603968.SH,0.023384615384615382
335,600153.SH,0.02336448598130841
1103,300617.SZ,0.02336448598130841
565,002434.SZ,0.02336298600311042
1035,603111.SH,0.023346303501945526
1671,002788.SZ,0.023337222870478413
628,000591.SZ,0.02332268370607029
1043,002909.SZ,0.023320895522388058
583,300251.SZ,0.023310023310023312
301,600758.SH,0.023305084745762716
719,600754.SH,0.023304203079483977
738,002807.SZ,0.023255813953488372
1106,603717.SH,0.023255813953488372
1175,300476.SZ,0.02321981424148607
925,603089.SH,0.02320185614849188
701,603023.SH,0.023148148148148147
918,600703.SH,0.02310536044362292
426,600736.SH,0.02308917197452229
1391,300261.SZ,0.02304147465437788
1387,300261.SZ,0.02304147465437788
408,601900.SH,0.023037120359955005
1794,300670.SZ,0.023014959723820484
471,600173.SH,0.022988505747126436
441,600977.SH,0.022973925299506693
636,002662.SZ,0.022939068100358423
777,300039.SZ,0.02293577981651376
1565,603225.SH,0.02290748898678414
257,002143.SZ,0.022891566265060243
387,000900.SZ,0.02288329519450801
784,603869.SH,0.022872827081427266
804,002270.SZ,0.022857142857142857
427,603855.SH,0.022857142857142857
1012,603601.SH,0.022857142857142857
354,601007.SH,0.022835394862036156
1098,603985.SH,0.022816166883963495
558,002304.SZ,0.022771923557778177
375,000333.SZ,0.022735884804850323
360,000919.SZ,0.022636484687083888
1525,300473.SZ,0.022590361445783136
1243,300473.SZ,0.022590361445783136
493,300204.SZ,0.022583559168925023
587,600933.SH,0.022571148184494603
938,300100.SZ,0.022556390977443608
271,000550.SZ,0.022535211267605635
615,603585.SH,0.022532672374943667
610,002305.SZ,0.022522522522522518
1242,300221.SZ,0.0225140712945591
836,002906.SZ,0.02248201438848921
903,002244.SZ,0.02237196765498652
368,603803.SH,0.022338049143708114
284,600390.SH,0.022322435174746337
962,600167.SH,0.022317596566523604
473,600551.SH,0.022291407222914072
1058,002345.SZ,0.022271714922048994
1186,603607.SH,0.022197558268590458
915,002102.SZ,0.022026431718061675
875,603898.SH,0.02193808882907133
1386,002627.SZ,0.021929824561403508
381,000928.SZ,0.021857923497267756
1100,603266.SH,0.02181500872600349
382,300185.SZ,0.021739130434782608
350,603886.SH,0.021728861596598956
277,600999.SH,0.021652065081351687
1561,300600.SZ,0.021645021645021644
38,000723.SZ,0.021621621621621623
336,300200.SZ,0.021598272138228944
232,000783.SZ,0.02158273381294964
703,600729.SH,0.02158273381294964
286,300214.SZ,0.021551724137931036
528,000620.SZ,0.021505376344086023
542,600586.SH,0.021505376344086023
484,601163.SH,0.021496815286624203
612,600690.SH,0.021495914519170333
538,600697.SH,0.021474172954149738
905,002092.SZ,0.02145922746781116
406,600997.SH,0.0213903743315508
572,603123.SH,0.021352313167259784
792,000042.SZ,0.021344717182497336
1129,002454.SZ,0.02132196162046908
982,002911.SZ,0.02127659574468085
413,600051.SH,0.02127659574468085
525,600415.SH,0.02125984251968504
353,603026.SH,0.02120141342756184
1296,002050.SZ,0.0211864406779661
1301,002050.SZ,0.0211864406779661
927,603993.SH,0.02116991643454039
552,601199.SH,0.021164021164021166
327,601601.SH,0.021164021164021163
745,002284.SZ,0.02114164904862579
1456,000639.SZ,0.021135029354207437
539,600168.SH,0.021124620060790272
310,600633.SH,0.021101992966002348
1013,603388.SH,0.02109704641350211
1611,603890.SH,0.02107481559536354
576,600713.SH,0.02102803738317757
1719,603183.SH,0.021008403361344536
1293,300335.SZ,0.02098922942206655
566,300530.SZ,0.0209404600811908
1467,603518.SH,0.0208994708994709
895,600715.SH,0.02088235294117647
515,600229.SH,0.020862308762169678
466,600015.SH,0.02085635359116022
1030,002897.SZ,0.020833333333333332
371,600406.SH,0.020809248554913295
673,601633.SH,0.0208078335373317
630,300231.SZ,0.020804438280166437
625,300179.SZ,0.02079002079002079
602,300306.SZ,0.02079002079002079
495,002563.SZ,0.020781379883624274
488,601985.SH,0.020779220779220783
1259,603879.SH,0.02077562326869806
789,601996.SH,0.020761245674740483
223,000708.SZ,0.020761245674740483
1770,600419.SH,0.02075876879026485
579,002533.SZ,0.02074688796680498
984,002682.SZ,0.020737327188940093
686,603730.SH,0.020721094073767096
759,002488.SZ,0.020689655172413793
1085,000537.SZ,0.020667726550079493
795,603016.SH,0.020656634746922028
824,000791.SZ,0.020643431635388742
522,603733.SH,0.020618556701030927
480,601766.SH,0.020604395604395604
661,600252.SH,0.02054794520547945
803,600901.SH,0.02054794520547945
1432,603223.SH,0.02050473186119874
756,600782.SH,0.02050113895216401
451,002039.SZ,0.020477815699658702
417,002318.SZ,0.020463724420191
521,000539.SZ,0.020460358056265986
849,603758.SH,0.02040816326530612
2209,000150.SZ,0.02040816326530612
328,000156.SZ,0.02040816326530612
370,300129.SZ,0.02035623409669211
1839,300130.SZ,0.020348122093023256
419,300130.SZ,0.020348122093023256
1417,002753.SZ,0.020328282828282827
970,300658.SZ,0.02032520325203252
548,600827.SH,0.020247469066366704
547,002084.SZ,0.020242914979757082
709,601607.SH,0.020169851380042462
1160,002285.SZ,0.020151133501259445
1545,603825.SH,0.020145044319097503
1247,600705.SH,0.02012847965738758
1007,600705.SH,0.02012847965738758
392,600958.SH,0.020100502512562814
1256,300272.SZ,0.020080321285140562
580,600917.SH,0.020030816640986132
524,002295.SZ,0.02002670226969292
571,600195.SH,0.02
296,600312.SH,0.019943019943019946
1840,603799.SH,0.019936204146730464
720,600208.SH,0.01993006993006993
842,603020.SH,0.0199203187250996
1505,300718.SZ,0.01984978540772532
623,600388.SH,0.01979264844486334
424,601186.SH,0.01978021978021978
1171,603619.SH,0.01977587343441002
593,601669.SH,0.019775641025641028
425,600746.SH,0.019769357495881382
707,000301.SZ,0.01972386587771203
682,603798.SH,0.01968503937007874
596,600271.SH,0.01966292134831461
1568,300673.SZ,0.019646365422396856
736,600500.SH,0.019646365422396856
785,002287.SZ,0.019645424053665546
1495,600122.SH,0.019642857142857146
402,000785.SZ,0.019627085377821395
1166,603278.SH,0.019627085377821395
742,603908.SH,0.019615535504119264
1272,600687.SH,0.019607843137254905
679,600693.SH,0.0196078431372549
352,603520.SH,0.0196078431372549
550,603636.SH,0.019569471624266144
651,601326.SH,0.019558359621451103
725,000538.SZ,0.01955671447196871
196,600612.SH,0.01954943213554273
794,603987.SH,0.01953125
662,000786.SZ,0.019505494505494506
400,002595.SZ,0.019500780031201245
518,600578.SH,0.01948051948051948
391,600007.SH,0.019476567255021303
714,601018.SH,0.019430051813471502
