,代码,名称,股息率,送转总比例,送股比例,转股比例,现金分红比例,预案公告日,市场
2984,601360.SH,三六零,9.80392156862745e-05,0.0,-,-,0.027,20180427,沪市
2714,002367.SZ,康力电梯,0.100334448160535,0.0,-,-,6.0,20180829,中小板
5499,600507.SH,方大特钢,0.0975015234613041,0.0,-,-,16.0,20180209,沪市
2767,000635.SZ,英力特,0.091254752851711,0.0,-,-,12.0,20180809,深主板
5493,600664.SH,哈药股份,0.0907441016333938,0.0,-,-,5.0,20180210,沪市
4350,002110.SZ,三钢闽光,0.0838457238680827,0.0,-,-,15.0,20180410,中小板
4173,000036.SZ,华联控股,0.0763358778625954,0.0,0.0,0.0,5.0,20180414,深主板
4444,000981.SZ,ST银亿,0.0738396624472574,0.0,-,-,7.0,20180404,深主板
4981,000631.SZ,顺发恒业,0.072093023255814,0.0,-,-,3.1,20180327,深主板
2727,603355.SH,莱克电气,0.072020165646381,0.0,-,-,20.0,20180828,沪市
5153,600873.SH,梅花生物,0.0715835140997831,0.0,-,-,3.3,20180323,沪市
4169,600376.SH,首开股份,0.0696055684454756,0.0,-,-,6.0,20180414,沪市
4304,601003.SH,柳钢股份,0.0683994528043776,0.0,-,-,5.0,20180411,沪市
2782,300403.SZ,汉宇集团,0.067479674796748,0.0,-,-,4.15,20180719,创业板
3397,600185.SH,格力地产,0.0663716814159292,0.0,-,-,3.0,20180425,沪市
5480,600516.SH,方大炭素,0.062479447550148,0.0,-,-,19.0,20180213,沪市
4923,000429.SZ,粤高速A,0.0587688734030197,0.0,-,-,5.06,20180328,深主板
3243,601566.SH,九牧王,0.0585137507314219,0.0,-,-,10.0,20180425,沪市
2783,002516.SZ,旷达科技,0.0579710144927536,0.0,-,-,2.0,20180718,中小板
2749,601216.SH,君正集团,0.0569395017793594,0.0,-,-,1.6,20180822,沪市
5052,600028.SH,中国石化,0.0567375886524823,0.0,-,-,4.0,20180326,沪市
3064,600395.SH,盘江股份,0.0566343042071197,0.0,-,-,3.5,20180427,沪市
4398,300512.SZ,中亚股份,0.0559910414333707,0.0,-,-,10.0,20180410,创业板
4113,000581.SZ,威孚高科,0.0548947849954254,0.0,-,-,12.0,20180417,深主板
4022,600383.SH,金地集团,0.0547520661157025,0.0,-,-,5.3,20180418,沪市
5406,001872.SZ,招商港口,0.0546396023198012,0.0,-,-,13.19,20180307,
4316,600162.SH,香江控股,0.0540540540540541,0.0,-,-,1.6,20180411,沪市
2762,603328.SH,依顿电子,0.0539499036608863,0.0,-,-,5.6,20180815,沪市
5205,600688.SH,上海石化,0.053475935828877,0.0,-,-,3.0,20180321,沪市
4484,002083.SZ,孚日股份,0.0533807829181495,0.0,-,-,3.0,20180403,中小板
2849,601006.SH,大秦铁路,0.0530474040632054,0.0,-,-,4.7,20180428,沪市
2986,600236.SH,桂冠电力,0.0529695024077046,0.0,-,-,3.3,20180427,沪市
4784,601225.SH,陕西煤业,0.0527777777777778,0.0,-,-,4.18,20180330,沪市
4430,603766.SH,隆鑫通用,0.0527156549520767,0.0,-,-,3.3,20180404,沪市
5433,601636.SH,旗滨集团,0.0526315789473684,0.0,-,-,3.0,20180301,沪市
4795,600104.SH,上汽集团,0.0522111269614836,0.0,-,-,18.3,20180330,沪市
4096,000656.SZ,金科股份,0.05175983436853,0.0,-,-,2.5,20180417,深主板
5261,000848.SZ,承德露露,0.05175983436853,0.0,-,-,5.0,20180317,深主板
2780,000723.SZ,美锦能源,0.0516795865633075,0.0,-,-,2.0,20180726,深主板
5089,600971.SH,恒源煤电,0.0509915014164306,0.0,-,-,3.6,20180324,沪市
2788,002609.SZ,捷顺科技,0.050761421319797,0.0,-,-,3.0,20180629,中小板
4325,002146.SZ,荣盛发展,0.0506024096385542,0.0,-,-,4.2,20180411,中小板
5245,600761.SH,安徽合力,0.0503524672708963,0.0,-,-,5.0,20180320,沪市
4016,000625.SZ,长安汽车,0.0498881431767338,0.0,-,-,4.46,20180418,深主板
2810,600641.SH,万业企业,0.0494145199063232,0.0,-,-,6.33,20180428,沪市
2755,002601.SZ,龙蟒佰利,0.0489908539325843,0.0,-,-,6.540279,20180821,中小板
4366,600019.SH,宝钢股份,0.0489662676822633,0.0,-,-,4.5,20180410,沪市
3030,600897.SH,厦门空港,0.048689138576779,0.0,-,-,10.4,20180427,沪市
4961,000488.SZ,晨鸣纸业,0.0483870967741935,5.0,-,5.0,6.0,20180328,深主板
4808,000157.SZ,中联重科,0.0483091787439614,0.0,-,-,2.0,20180330,深主板
4317,000780.SZ,平庄能源,0.0480769230769231,0.0,-,-,2.0,20180411,深主板
3704,002394.SZ,联发股份,0.0480769230769231,0.0,-,-,5.0,20180421,中小板
4526,002016.SZ,世荣兆业,0.048,0.0,-,-,7.2,20180331,中小板
5079,000951.SZ,中国重汽,0.0479210711768851,0.0,-,-,6.8,20180324,深主板
4871,601818.SH,光大银行,0.0477572559366755,0.0,-,-,1.81,20180329,沪市
3579,600090.SH,同济堂,0.0477326968973747,0.0,-,-,2.0,20180424,沪市
4791,601328.SH,交通银行,0.0475207986688852,0.0,-,-,2.856,20180330,沪市
3516,601098.SH,中南传媒,0.047244094488189,0.0,-,-,6.0,20180424,沪市
5111,601088.SH,中国神华,0.0471502590673575,0.0,-,-,9.1,20180324,沪市
5531,600177.SH,雅戈尔,0.0470588235294118,0.0,-,-,4.0,20180203,沪市
4992,601288.SH,农业银行,0.0470448548812665,0.0,-,-,1.783,20180327,沪市
5059,600377.SH,宁沪高速,0.0469583778014941,0.0,-,-,4.4,20180326,沪市
4922,300625.SZ,三雄极光,0.0467639356528245,0.0,-,-,12.5,20180328,创业板
5097,601158.SH,重庆水务,0.046656298600311,0.0,-,-,3.0,20180324,沪市
2712,300195.SZ,长荣股份,0.0466321243523316,0.0,-,-,4.5,20180829,创业板
4788,601988.SH,中国银行,0.0464379947229551,0.0,-,-,1.76,20180330,沪市
4984,002503.SZ,搜于特,0.0464037122969838,0.0,-,-,2.0,20180327,中小板
4295,600325.SH,华发股份,0.0462249614791988,0.0,-,-,3.0,20180412,沪市
4787,000921.SZ,海信家电,0.046218487394958,0.0,-,-,4.4,20180330,深主板
2770,002206.SZ,海利得,0.046189376443418,0.0,-,-,2.0,20180807,中小板
2719,300160.SZ,秀强股份,0.0458715596330275,0.0,-,-,2.0,20180828,创业板
5393,603926.SH,铁流股份,0.0456349206349206,0.0,-,-,11.5,20180308,沪市
3205,601009.SH,南京银行,0.04521625163827,0.0,-,-,3.45,20180426,沪市
4980,002674.SZ,兴业科技,0.0448833034111311,0.0,-,-,5.0,20180327,中小板
5464,300041.SZ,回天新材,0.044762757385855,0.0,-,-,5.0,20180223,创业板
3270,002756.SZ,永兴材料,0.0446030330062444,0.0,-,-,10.0,20180425,中小板
3008,000069.SZ,华侨城A,0.0445765230312036,0.0,0.0,0.0,3.0,20180427,深主板
5536,600829.SH,人民同泰,0.0445235975066785,0.0,-,-,5.0,20180130,沪市
3025,601169.SH,北京银行,0.0440594059405941,0.0,-,-,2.67,20180427,沪市
