,市场,代码,名称,送转总比例,送股比例,转股比例,现金分红比例,股息率(%),预案公告日,预案公告日HSRZF,股权登记日QSRZF,股权登记日,除权除息日,除权除息日HSSRZF,YCQTS,总股本(亿）,每股收益(元),每股净资产(元),每股公积金(元),每股未分配利润(元),净利润同比增长(%),报告期,业绩披露日期,方案进度,分配计划,最新公告日期
0,沪市,603980,吉华集团,0.0,-,-,2.5,0.015527950310559,2018-04-27T00:00:00,4.522,2.8097,2018-07-04T00:00:00,2018-07-05T00:00:00,-10.4597,436.0,500000000.0,0.883,7.94203411,3.099346,3.475557,3.9608,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派2.50元(含税,扣税后2.25元)",2018-06-29T00:00:00
1,中小板,002095,生意宝,0.0,0.0,0.0,0.5,0.00148632580261593,2018-04-27T00:00:00,4.1263,5.9861,2018-07-05T00:00:00,2018-07-06T00:00:00,-9.3647,435.0,252720000.0,0.08,3.27648685,1.290401,0.820754,51.9026,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.50元(含税,扣税后0.45元)",2018-06-30T00:00:00
2,沪市,603160,汇顶科技,0.0,-,-,6.0,0.00885216878135143,2018-04-27T00:00:00,-22.341,5.1831,2018-07-05T00:00:00,2018-07-06T00:00:00,4.8389,435.0,456910757.0,1.95,7.67351726,2.804973,4.35031,3.5151,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派6.00元(含税,扣税后5.40元)",2018-06-29T00:00:00
3,创业板,300644,南京聚隆,0.0,-,-,3.0,0.00629590766002099,2018-04-27T00:00:00,3.1279,-5.7742,2018-07-05T00:00:00,2018-07-06T00:00:00,-21.871,435.0,64000000.0,1.1757,8.83,1.551765,5.410348,-28.2571,2017-12-31T00:00:00,-,实施分配,"10派3.00元(含税,扣税后2.70元)",2018-06-28T00:00:00
4,沪市,600295,鄂尔多斯,0.0,-,-,1.0,0.0119331742243437,2018-04-27T00:00:00,6.8506,-5.6306,2018-07-05T00:00:00,2018-07-06T00:00:00,10.4192,435.0,1032000000.0,0.5,7.59304462,1.358644,4.51219,96.1236,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派1.00元(含税,扣税后0.90元)",2018-07-02T00:00:00
5,中小板,002319,乐通股份,0.0,-,-,0.162,0.00112578179291174,2018-04-27T00:00:00,-0.9327,-0.1388,2018-07-05T00:00:00,2018-07-06T00:00:00,12.069,435.0,200000000.0,0.05,2.45526183,0.518757,0.683655,1107.6597,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.162元(含税,扣税后0.1458元)",2018-06-29T00:00:00
6,深主板,000903,云内动力,0.0,-,-,0.45,0.0179282868525896,2018-04-27T00:00:00,1.0135,1.2097,2018-07-06T00:00:00,2018-07-09T00:00:00,2.7778,432.0,1970800857.0,0.149,2.75849243,1.188665,0.408257,18.2669,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.45元(含税,扣税后0.405元)",2018-06-29T00:00:00
7,沪市,603035,常熟汽饰,0.0,-,-,2.46,0.0171070931849791,2018-04-27T00:00:00,2.2957,6.7558,2018-07-09T00:00:00,2018-07-10T00:00:00,-1.9217,431.0,280000000.0,0.81,7.99673816,4.06036,2.631915,0.5702,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派2.46元(含税,扣税后2.214元)",2018-07-04T00:00:00
8,中小板,002397,梦洁股份,0.0,-,-,0.6,0.0127659574468085,2018-04-27T00:00:00,-23.219,-1.2605,2018-07-10T00:00:00,2018-07-11T00:00:00,1.7429,430.0,779764760.0,0.07,2.60170383,0.955938,0.520517,-47.2991,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.60元(含税,扣税后0.54元)",2018-07-04T00:00:00
9,深主板,000605,渤海股份,4.0,-,4.0,0.5,0.00335570469798658,2018-04-27T00:00:00,-2.8265,5.3748,2018-07-10T00:00:00,2018-07-11T00:00:00,-9.761,430.0,251899000.0,0.46,8.0871805,5.208148,1.68516,165.9207,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10转4.00派0.50元(含税,扣税后0.45元)",2018-07-04T00:00:00
10,沪市,601212,白银有色,0.0,-,-,0.11,0.00272277227722772,2018-04-27T00:00:00,0.5445,0.7481,2018-07-10T00:00:00,2018-07-11T00:00:00,-0.5038,430.0,6972965867.0,0.035,1.48664587,0.486746,0.417526,-4.8481,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.11元(含税,扣税后0.099元)",2018-07-04T00:00:00
11,沪市,603589,口子窖,0.0,-,-,7.5,0.0124958347217594,2018-04-27T00:00:00,23.6825,-6.3651,2018-07-10T00:00:00,2018-07-11T00:00:00,-15.3364,430.0,600000000.0,1.86,8.47455706,1.628137,5.247096,42.146,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派7.50元(含税,扣税后6.75元)",2018-07-05T00:00:00
12,沪市,603076,乐惠国际,0.0,-,-,3.0,0.00838457238680827,2018-04-27T00:00:00,16.4845,5.4524,2018-07-10T00:00:00,2018-07-11T00:00:00,-18.4021,430.0,74500000.0,1.14,10.35412451,6.856621,1.807621,-12.3795,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派3.00元(含税,扣税后2.70元)",2018-07-03T00:00:00
13,中小板,002210,*ST飞马,0.0,0.0,-,0.35,0.00283860502838605,2018-04-27T00:00:00,-53.4959,-2.0651,2018-07-10T00:00:00,2018-07-11T00:00:00,-63.5772,430.0,1652880386.0,0.19,2.502808,0.206235,1.257228,-80.0274,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.35元(含税,扣税后0.315元)",2018-07-04T00:00:00
14,沪市,603711,香飘飘,0.0,-,-,1.0,0.00451263537906137,2018-04-27T00:00:00,13.1963,0.5445,2018-07-11T00:00:00,2018-07-12T00:00:00,-30.0712,429.0,400010000.0,0.74,4.8189985,1.170284,2.494251,0.6253,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派1.00元(含税,扣税后0.90元)",2018-07-07T00:00:00
15,沪市,601169,北京银行,0.0,-,-,2.67,0.0440594059405941,2018-04-27T00:00:00,1.3235,2.5381,2018-07-11T00:00:00,2018-07-12T00:00:00,-2.226,429.0,21142984272.0,0.99,7.43,2.075628,2.465071,5.2297,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派2.67元(含税,扣税后2.403元)",2018-07-04T00:00:00
16,中小板,002375,亚厦股份,0.0,-,-,0.4,0.00804828973843058,2018-04-27T00:00:00,1.7028,-5.5133,2018-07-11T00:00:00,2018-07-12T00:00:00,2.5341,429.0,1339996498.0,0.27,5.58372844,1.371128,2.967736,12.0243,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.40元(含税,扣税后0.36元)",2018-07-04T00:00:00
17,中小板,002212,南洋股份,0.0,0.0,0.0,0.4,0.0036036036036036,2018-04-27T00:00:00,-10.4698,-1.7699,2018-07-11T00:00:00,2018-07-12T00:00:00,4.2365,429.0,1146902165.0,0.38,7.00008976,4.897819,0.981935,504.8445,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.40元(含税,扣税后0.36元)",2018-07-04T00:00:00
18,中小板,002701,奥瑞金,0.0,-,-,1.768732,0.0308141463414634,2018-04-27T00:00:00,3.8801,7.0896,2018-07-12T00:00:00,2018-07-13T00:00:00,-4.3321,428.0,2355225600.0,0.3,2.41294569,-0.00935,1.29633,-38.985,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派1.768732元(含税,扣税后1.591859元)",2018-07-09T00:00:00
19,中小板,002204,大连重工,0.0,0.0,0.0,0.1,0.00267379679144385,2018-04-27T00:00:00,0.4796,-5.3165,2018-07-12T00:00:00,2018-07-13T00:00:00,-15.2815,428.0,1931370032.0,0.01,3.41555076,1.253531,1.037026,-7.1963,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.10元(含税,扣税后0.09元)",2018-07-07T00:00:00
20,沪市,600897,厦门空港,0.0,-,-,10.4,0.048689138576779,2018-04-27T00:00:00,7.6962,5.3774,2018-07-12T00:00:00,2018-07-13T00:00:00,-5.0429,428.0,297810000.0,1.3794,11.4402412,0.60773,8.18718,3.0799,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派10.40元(含税,扣税后9.36元)",2018-07-07T00:00:00
21,中小板,002093,国脉科技,0.0,-,-,0.15,0.00184049079754601,2018-04-27T00:00:00,-1.2565,10.1351,2018-07-12T00:00:00,2018-07-13T00:00:00,-2.75,428.0,1007500000.0,0.1646,2.97523541,1.395509,0.602237,110.5825,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.15元(含税,扣税后0.135元)",2018-07-06T00:00:00
22,沪市,600648,外高桥,0.0,-,-,2.0,0.0107066381156317,2018-04-27T00:00:00,2.3319,4.0669,2018-07-12T00:00:00,2018-07-13T00:00:00,-2.6245,428.0,1135349124.0,0.65,8.74983944,3.385474,3.487878,2.3642,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派2.00元(含税,扣税后1.80元)",2018-07-06T00:00:00
23,沪市,600020,中原高速,0.0,-,-,1.68,0.0438642297650131,2018-04-27T00:00:00,-0.2242,3.794,2018-07-12T00:00:00,2018-07-13T00:00:00,0.0,428.0,2247371832.0,0.4016,4.40239706,0.789391,1.85601,56.7766,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派1.68元(含税,扣税后1.512元)",2018-07-06T00:00:00
24,中小板,002325,洪涛股份,0.0,-,-,0.2,0.00558659217877095,2018-04-27T00:00:00,4.3478,0.2801,2018-07-12T00:00:00,2018-07-13T00:00:00,-4.1667,428.0,1249438640.0,0.11,2.82519517,0.731915,1.097766,4.8789,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.20元(含税,扣税后0.18元)",2018-07-06T00:00:00
25,沪市,603101,汇嘉时代,0.0,-,-,1.0,0.00835421888053467,2018-04-27T00:00:00,12.2466,0.0836,2018-07-13T00:00:00,2018-07-16T00:00:00,1.5164,425.0,240000000.0,0.4256,5.38781059,1.821584,2.408692,5.7282,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派1.00元(含税,扣税后0.90元)",2018-07-10T00:00:00
26,沪市,603619,中曼石油,0.0,-,-,3.0,0.0098135426889107,2018-04-27T00:00:00,3.4682,-5.8516,2018-07-13T00:00:00,2018-07-16T00:00:00,-3.9614,425.0,400000100.0,1.06,6.2857458,2.533837,2.453215,0.1001,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派3.00元(含税,扣税后2.70元)",2018-07-10T00:00:00
27,创业板,300013,新宁物流,0.0,-,-,0.6,0.00713436385255648,2018-04-27T00:00:00,2.5042,-14.7059,2018-07-13T00:00:00,2018-07-16T00:00:00,1.9231,425.0,297791410.0,0.48,4.61026043,3.040072,0.507846,136.1508,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.60元(含税,扣税后0.54元)",2018-07-10T00:00:00
28,沪市,601949,中国出版,0.0,-,-,0.88,0.0184100418410042,2018-04-27T00:00:00,9.0164,-1.0352,2018-07-13T00:00:00,2018-07-16T00:00:00,-7.7586,425.0,1822500000.0,0.336,3.14368929,0.640442,1.500379,-8.6641,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.88元(含税,扣税后0.792元)",2018-07-10T00:00:00
29,中小板,002686,亿利达,0.0,0.0,0.0,0.7,0.00870646766169154,2018-04-27T00:00:00,0.0,13.5593,2018-07-16T00:00:00,2018-07-17T00:00:00,-24.7434,424.0,443082021.0,0.319,3.40062284,1.142433,1.180328,17.2536,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.70元(含税,扣税后0.63元)",2018-07-11T00:00:00
30,沪市,603599,广信股份,0.0,-,-,1.3609,0.00983309248554913,2018-04-27T00:00:00,7.3901,-1.6347,2018-07-16T00:00:00,2018-07-17T00:00:00,-7.3753,424.0,464679135.0,0.9,8.88428988,4.640514,2.81934,86.1784,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派1.3609元(含税,扣税后1.22481元)",2018-07-11T00:00:00
31,中小板,002679,福建金森,7.0,0.0,7.0,5.0,0.0196078431372549,2018-04-27T00:00:00,-0.2162,11.8421,2018-07-17T00:00:00,2018-07-18T00:00:00,-13.7555,423.0,138680000.0,0.4,5.63889748,2.463412,2.001629,117.054,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10转7.00派5.00元(含税,扣税后4.50元)",2018-07-11T00:00:00
32,深主板,000961,中南建设,0.0,0.0,0.0,0.2,0.00338983050847458,2018-04-27T00:00:00,10.9722,-5.6,2018-07-17T00:00:00,2018-07-18T00:00:00,7.7855,423.0,3709788797.0,0.1625,3.78792743,0.713205,1.973966,78.0008,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.20元(含税,扣税后0.18元)",2018-07-12T00:00:00
33,中小板,002477,雏鹰退,0.0,-,-,0.2,0.00604229607250755,2018-04-27T00:00:00,3.1073,-6.4972,2018-07-17T00:00:00,2018-07-18T00:00:00,-53.4954,423.0,3135159630.0,0.01,1.58325399,0.182432,0.337117,-94.5778,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.20元(含税,扣税后0.18元)",2018-07-12T00:00:00
34,沪市,600317,营口港,0.0,-,-,0.25,0.0112107623318386,2018-04-27T00:00:00,1.0135,-1.7621,2018-07-17T00:00:00,2018-07-18T00:00:00,5.4299,423.0,6472983003.0,0.0827,1.66829893,0.237456,0.343494,8.867,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.25元(含税,扣税后0.225元)",2018-07-12T00:00:00
35,中小板,002776,柏堡龙,5.042526,-,5.042526,1.008505,0.00608265983112183,2018-04-27T00:00:00,7.6714,0.6679,2018-07-17T00:00:00,2018-07-18T00:00:00,20.0364,423.0,240458204.0,0.54,9.07899582,6.070572,1.676483,9.238,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10转5.042526派1.008505元(含税,扣税后0.907654元)",2018-07-12T00:00:00
36,中小板,002499,*ST科林,0.0,0.0,0.0,0.2,0.00158102766798419,2018-04-27T00:00:00,-1.7416,3.4342,2018-07-18T00:00:00,2018-07-19T00:00:00,-18.0341,422.0,189000000.0,0.22,3.92699157,1.857951,0.938287,115.6183,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.20元(含税,扣税后0.18元)",2018-07-12T00:00:00
37,深主板,000534,万泽股份,0.0,0.0,0.0,0.5,0.00429184549356223,2018-04-27T00:00:00,3.1418,-2.8357,2018-07-19T00:00:00,2018-07-20T00:00:00,-0.7739,421.0,491785096.0,0.18,3.10181904,0.807202,0.877984,17.4317,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.50元(含税,扣税后0.45元)",2018-07-14T00:00:00
38,沪市,600138,中青旅,0.0,-,-,1.0,0.00513083632632119,2018-04-27T00:00:00,4.0211,10.4875,2018-07-19T00:00:00,2018-07-20T00:00:00,-17.4637,421.0,723840000.0,0.79,7.72563491,2.42184,4.120978,18.2396,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派1.00元(含税,扣税后0.90元)",2018-07-14T00:00:00
39,沪市,600939,重庆建工,0.0,-,-,0.62,0.0107266435986159,2018-04-27T00:00:00,6.1433,15.3693,2018-07-24T00:00:00,2018-07-25T00:00:00,-21.1447,416.0,1814500000.0,0.2,3.38064832,0.593944,1.041545,9.3421,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.62元(含税,扣税后0.558元)",2018-07-19T00:00:00
40,中小板,002063,远光软件,4.0,2.0,2.0,0.5,0.00555555555555556,2018-04-27T00:00:00,-6.7944,9.2233,2018-07-25T00:00:00,2018-07-26T00:00:00,0.7987,415.0,607014388.0,0.2862,3.30661801,0.36281,1.715919,31.1311,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10送2.00转2.00派0.50元(含税,扣税后0.25元)",2018-07-18T00:00:00
41,深主板,000883,湖北能源,0.0,0.0,0.0,1.0,0.0228310502283105,2018-04-27T00:00:00,3.5129,5.7971,2018-07-26T00:00:00,2018-07-27T00:00:00,-7.243,414.0,6507449486.0,0.334,3.92104731,1.666828,1.111274,13.8418,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派1.00元(含税,扣税后0.90元)",2018-07-21T00:00:00
42,沪市,600977,中国电影,0.0,-,-,3.26,0.0208306709265176,2018-04-27T00:00:00,5.203,0.3205,2018-07-27T00:00:00,2018-07-30T00:00:00,-15.298,411.0,1867000000.0,0.517,5.53625162,2.287913,2.051395,5.2132,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派3.26元(含税,扣税后2.934元)",2018-07-24T00:00:00
43,沪市,600863,内蒙华电,0.0,-,-,0.3,0.0123456790123457,2018-04-27T00:00:00,2.3166,7.0485,2018-07-27T00:00:00,2018-07-30T00:00:00,-8.0169,411.0,5807802566.0,0.09,1.75843085,0.029779,0.472883,33.7899,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.30元(含税,扣税后0.27元)",2018-07-20T00:00:00
44,沪市,601188,龙江交通,0.0,-,-,0.81,0.0232091690544413,2018-04-27T00:00:00,-0.7481,5.4381,2018-07-30T00:00:00,2018-07-31T00:00:00,-3.2258,410.0,1315878571.0,0.27,3.04653441,0.928412,1.025327,22.0096,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.81元(含税,扣税后0.729元)",2018-07-23T00:00:00
45,沪市,603680,今创集团,4.0,-,4.0,3.0,0.00914076782449726,2018-04-27T00:00:00,0.0256,10.6168,2018-07-30T00:00:00,2018-07-31T00:00:00,-23.4529,410.0,420000000.0,1.59,5.56670054,1.158222,2.583798,-6.8104,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10转4.00派3.00元(含税,扣税后2.70元)",2018-07-25T00:00:00
46,沪市,600093,易见股份,0.0,-,-,3.63,0.0338619402985075,2018-04-27T00:00:00,-0.2155,-0.2791,2018-07-30T00:00:00,2018-07-31T00:00:00,-6.7633,410.0,1122447500.0,0.73,5.94699274,3.598282,1.219702,35.251,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派3.63元(含税,扣税后3.267元)",2018-07-24T00:00:00
47,沪市,600489,中金黄金,0.0,-,-,0.3,0.0045662100456621,2018-04-27T00:00:00,-0.3425,-4.3668,2018-08-07T00:00:00,2018-08-08T00:00:00,0.7485,402.0,3451137189.0,0.08,3.89897874,1.197511,1.491971,-19.6219,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.30元(含税,扣税后0.27元)",2018-07-31T00:00:00
48,沪市,601198,东兴证券,0.0,-,-,1.5,0.0148809523809524,2018-04-27T00:00:00,10.972,-21.0031,2018-08-08T00:00:00,2018-08-09T00:00:00,1.791,401.0,2757960657.0,0.475,6.96854587,3.539599,1.430211,-3.2285,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派1.50元(含税,扣税后1.35元)",2018-08-02T00:00:00
49,沪市,600246,万通地产,0.0,-,-,0.27,0.00656934306569343,2018-04-27T00:00:00,0.9756,-3.066,2018-08-08T00:00:00,2018-08-09T00:00:00,-5.3398,401.0,2054009302.0,0.1734,3.38228643,1.727079,0.562066,222.8655,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.27元(含税,扣税后0.243元)",2018-08-02T00:00:00
50,沪市,601718,际华集团,0.0,-,-,1.7,0.0398126463700234,2018-04-27T00:00:00,4.5455,-3.1746,2018-08-14T00:00:00,2018-08-15T00:00:00,-8.9552,395.0,4391629404.0,0.18,4.2819458,1.830718,1.394309,-38.2593,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派1.70元(含税,扣税后1.53元)",2018-08-08T00:00:00
51,沪市,601989,中国重工,0.0,-,-,0.11,0.00269607843137255,2018-04-27T00:00:00,-0.3922,-0.4878,2018-08-15T00:00:00,2018-08-16T00:00:00,4.6798,394.0,22879793243.0,0.05,3.34036857,1.52266,0.733335,19.9999,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.11元(含税,扣税后0.099元)",2018-08-10T00:00:00
52,深主板,000601,韶能股份,0.0,-,-,2.2,0.0427184466019418,2018-04-27T00:00:00,1.5823,7.0686,2018-08-16T00:00:00,2018-08-17T00:00:00,-12.3431,393.0,1080551669.0,0.41,4.12350513,1.465937,1.094821,1.1759,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派2.20元(含税,扣税后1.98元)",2018-08-11T00:00:00
53,沪市,600809,山西汾酒,0.0,-,-,6.0,0.0125418060200669,2018-04-27T00:00:00,17.8417,-13.1445,2018-08-16T00:00:00,2018-08-17T00:00:00,-7.6874,393.0,865848266.0,1.0904,6.04745639,0.279662,4.161374,56.0174,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派6.00元(含税,扣税后5.40元)",2018-08-10T00:00:00
54,沪市,600395,盘江股份,0.0,-,-,3.5,0.0566343042071197,2018-04-27T00:00:00,3.2573,-0.8026,2018-08-17T00:00:00,2018-08-20T00:00:00,-1.5437,390.0,1655051861.0,0.53,3.89215607,1.467862,0.905843,347.5242,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派3.50元(含税,扣税后3.15元)",2018-08-14T00:00:00
55,沪市,600280,中央商场,0.0,-,-,0.15,0.00170648464163823,2018-04-27T00:00:00,3.3143,-4.144,2018-08-22T00:00:00,2018-08-23T00:00:00,-59.1599,387.0,1148334872.0,0.209,1.61894251,0.011121,0.254649,101.9593,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.15元(含税,扣税后0.135元)",2018-08-16T00:00:00
56,深主板,000839,中信国安,0.0,-,-,0.5,0.0111111111111111,2018-04-27T00:00:00,3.0488,-3.8462,2018-08-24T00:00:00,2018-08-27T00:00:00,-35.5556,383.0,3919826352.0,0.0662,1.72029679,0.260384,0.340955,12.6713,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.50元(含税,扣税后0.45元)",2018-08-18T00:00:00
57,中小板,002384,东山精密,5.0,-,5.0,0.5,0.00196618167518679,2018-04-27T00:00:00,-4.1554,2.9555,2018-08-27T00:00:00,2018-08-28T00:00:00,-41.2419,382.0,1071048318.0,0.54,7.2575424,5.478697,0.760745,264.8783,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10转5.00派0.50元(含税,扣税后0.45元)",2018-08-22T00:00:00
58,中小板,002563,森马服饰,0.0,-,-,2.5,0.0194704049844237,2018-04-26T00:00:00,12.4038,9.0909,2018-05-24T00:00:00,2018-05-25T00:00:00,8.3401,477.0,2689453840.0,0.42,3.7559372,0.929514,1.456583,-20.2298,2017-12-31T00:00:00,2018-04-26T00:00:00,实施分配,"10派2.50元(含税,扣税后2.25元)",2018-05-19T00:00:00
59,中小板,002553,南方轴承,0.0,-,-,2.0,0.0241254523522316,2018-04-26T00:00:00,2.458,4.0151,2018-05-25T00:00:00,2018-05-28T00:00:00,-15.8157,474.0,348000000.0,0.2257,2.01680173,0.162411,0.709953,8.6688,2017-12-31T00:00:00,2018-04-26T00:00:00,实施分配,"10派2.00元(含税,扣税后1.80元)",2018-05-19T00:00:00
60,中小板,002293,罗莱生活,0.0,0.0,0.0,3.5,0.0224791265253693,2018-04-26T00:00:00,8.231,4.7779,2018-05-25T00:00:00,2018-05-28T00:00:00,-13.588,474.0,744729147.0,0.6083,4.26299858,0.526083,2.325866,34.8507,2017-12-31T00:00:00,2018-04-26T00:00:00,实施分配,"10派3.50元(含税,扣税后3.15元)",2018-05-19T00:00:00
61,中小板,002546,新联电子,0.0,-,-,1.2,0.0267857142857143,2018-04-26T00:00:00,-0.2232,-2.6087,2018-05-25T00:00:00,2018-05-28T00:00:00,-11.1905,474.0,834049096.0,0.13,3.40882736,1.464679,0.817016,24.5179,2017-12-31T00:00:00,2018-04-26T00:00:00,实施分配,"10派1.20元(含税,扣税后1.08元)",2018-05-22T00:00:00
62,中小板,002909,集泰股份,4.0,0.0,4.0,2.5,0.0110913930789707,2018-04-26T00:00:00,7.3915,11.5289,2018-05-25T00:00:00,2018-05-28T00:00:00,11.9537,474.0,120000000.0,0.48,4.03975101,1.990179,0.831722,5.9724,2017-12-31T00:00:00,2018-04-26T00:00:00,实施分配,"10转4.00派2.50元(含税,扣税后2.25元)",2018-05-22T00:00:00
63,中小板,002329,皇氏集团,0.0,-,-,0.1,0.00178890876565295,2018-04-26T00:00:00,0.1792,-0.8865,2018-05-25T00:00:00,2018-05-28T00:00:00,-23.9564,474.0,837640035.0,0.0677,3.28326442,1.401128,0.822908,-80.475,2017-12-31T00:00:00,2018-04-26T00:00:00,实施分配,"10派0.10元(含税,扣税后0.09元)",2018-05-22T00:00:00
64,创业板,300091,金通灵,0.0,-,-,0.23,0.00140500916310324,2018-04-26T00:00:00,-0.5773,5.6129,2018-05-28T00:00:00,2018-05-29T00:00:00,-21.3349,473.0,555598900.0,0.2341,2.57755114,0.940282,0.558895,169.1466,2017-12-31T00:00:00,2018-04-26T00:00:00,实施分配,"10派0.23元(含税,扣税后0.207元)",2018-05-23T00:00:00
65,中小板,002455,百川股份,0.0,-,-,1.0,0.0123609394313968,2018-04-26T00:00:00,-0.5256,6.8692,2018-05-28T00:00:00,2018-05-29T00:00:00,-26.4858,473.0,516977142.0,0.22,2.56260322,0.812905,0.688929,31.0551,2017-12-31T00:00:00,2018-04-26T00:00:00,实施分配,"10派1.00元(含税,扣税后0.90元)",2018-05-22T00:00:00
66,沪市,603588,高能环境,0.0,-,-,0.3,0.00268096514745308,2018-04-26T00:00:00,10.7934,-6.8276,2018-05-28T00:00:00,2018-05-29T00:00:00,-20.3737,473.0,662190954.0,0.296,3.30325684,0.909309,1.427661,22.6637,2017-12-31T00:00:00,2018-04-26T00:00:00,实施分配,"10派0.30元(含税,扣税后0.27元)",2018-05-23T00:00:00
67,中小板,002759,天际股份,0.0,-,-,0.5,0.00469924812030075,2018-04-26T00:00:00,-24.1065,-2.4748,2018-05-29T00:00:00,2018-05-30T00:00:00,-17.6644,472.0,452179983.0,0.05,7.40425412,5.780138,0.545434,-71.1948,2017-12-31T00:00:00,2018-04-26T00:00:00,实施分配,"10派0.50元(含税,扣税后0.45元)",2018-05-23T00:00:00
68,中小板,002332,仙琚制药,0.0,-,-,0.6,0.00647249190938511,2018-04-26T00:00:00,-3.516,-0.8556,2018-05-29T00:00:00,2018-05-30T00:00:00,-0.2176,472.0,916212166.0,0.23,2.56847471,0.9394,0.476195,41.3466,2017-12-31T00:00:00,2018-04-26T00:00:00,实施分配,"10派0.60元(含税,扣税后0.54元)",2018-05-23T00:00:00
69,中小板,002281,光迅科技,0.0,-,-,1.7,0.00680544435548439,2018-04-26T00:00:00,-6.8846,3.2231,2018-05-29T00:00:00,2018-05-30T00:00:00,-7.5052,472.0,646300752.0,0.53,4.91943939,1.733306,1.984484,17.2858,2017-12-31T00:00:00,2018-04-26T00:00:00,实施分配,"10派1.70元(含税,扣税后1.53元)",2018-05-23T00:00:00
70,创业板,300610,晨化股份,0.0,0.0,0.0,1.0,0.00635727908455181,2018-04-26T00:00:00,9.9928,2.2092,2018-05-29T00:00:00,2018-05-30T00:00:00,-11.5862,472.0,150000000.0,0.54,4.55864952,1.817561,1.314633,42.1077,2017-12-31T00:00:00,2018-04-26T00:00:00,实施分配,"10派1.00元(含税,扣税后0.90元)",2018-05-23T00:00:00
