,代码,名称,股息率,送转总比例,送股比例,转股比例,现金分红比例,预案公告日
9392,300093,金刚玻璃,8.04181745074387e-05,0.0,-,-,0.02,2016
9817,2232,启明信息,7.0323488045007e-05,0.0,-,-,0.01,2016
8267,651,格力电器,0.0780437044745057,0.0,-,-,15.0,2016
9171,600066,宇通客车,0.0687757909215956,0.0,-,-,15.0,2016
8324,601006,大秦铁路,0.0681818181818182,0.0,-,-,4.5,2016
8696,600104,上汽集团,0.0641206977840641,0.0,-,-,13.6,2016
9719,600011,华能国际,0.0604890604890605,0.0,-,-,4.7,2016
9351,895,双汇发展,0.0565099457504521,0.0,-,-,12.5,2016
9661,600027,华电国际,0.0560747663551402,0.0,-,-,3.0,2016
8261,600469,风神股份,0.0559910414333707,5.0,5.0,-,10.0,2016
9327,601939,建设银行,0.0546906187624751,0.0,-,-,2.74,2016
9658,600741,华域汽车,0.052665799739922,0.0,-,-,8.1,2016
8245,600177,雅戈尔,0.0520494469746259,0.0,-,-,8.0,2016
9325,601988,中国银行,0.0519287833827893,0.0,-,-,1.75,2016
9143,600894,广日股份,0.0519031141868512,0.0,-,-,7.5,2016
9019,600182,S佳通,0.0512405609492988,0.0,-,-,9.5,2016
9200,601288,农业银行,0.0508536585365854,0.0,-,-,1.668,2016
9332,601398,工商银行,0.0508278867102397,0.0,-,-,2.333,2016
9768,600660,福耀玻璃,0.050744248985115,0.0,-,-,7.5,2016
9092,600023,浙能电力,0.0490018148820327,0.0,-,-,2.7,2016
9430,601818,光大银行,0.0487179487179487,0.0,-,-,1.9,2016
9028,601515,东风股份,0.0484304932735426,0.0,-,-,5.4,2016
9560,600377,宁沪高速,0.0464037122969838,0.0,-,-,4.0,2016
9431,601328,交通银行,0.0459183673469388,0.0,-,-,2.7,2016
8270,600361,华联综超,0.0458015267175573,0.0,-,-,3.0,2016
9070,600,建投能源,0.0454086781029263,0.0,-,-,4.5,2016
8842,625,长安汽车,0.0451339915373766,0.0,-,-,6.4,2016
8244,899,赣能股份,0.0448430493273543,0.0,-,-,4.0,2016
9797,776,广发证券,0.0447427293064877,0.0,-,-,8.0,2016
9107,600578,京能电力,0.0437636761487965,0.0,-,-,2.0,2016
9416,726,鲁泰A,0.0436681222707424,0.0,-,-,5.0,2016
8230,539,粤电力A,0.0436432637571157,0.0,-,-,2.3,2016
9145,600886,国投电力,0.0415326409495549,0.0,-,-,2.7993,2016
9314,600236,桂冠电力,0.0412087912087912,0.0,-,-,3.0,2016
9590,600859,王府井,0.0406466512702079,3.0,-,3.0,8.8,2016
9420,543,皖能电力,0.0404858299595142,0.0,-,-,3.0,2016
9447,601991,大唐发电,0.0404761904761905,0.0,-,-,1.7,2016
9782,600548,深高速,0.0402366863905325,0.0,-,-,3.4,2016
9892,2,万科A,0.0401785714285714,0.0,-,-,7.2,2016
8232,402,金融街,0.0396825396825397,0.0,-,-,4.0,2016
9927,2419,天虹股份,0.039568345323741,0.0,-,-,5.5,2016
8620,600383,金地集团,0.0392523364485981,0.0,-,-,4.2,2016
