,市场,代码,名称,送转总比例,送股比例,转股比例,现金分红比例,股息率(%),预案公告日,预案公告日HSRZF,股权登记日QSRZF,股权登记日,除权除息日,除权除息日HSSRZF,YCQTS,总股本(亿）,每股收益(元),每股净资产(元),每股公积金(元),每股未分配利润(元),净利润同比增长(%),报告期,业绩披露日期,方案进度,分配计划,RowNum,EITIME,EUTIME,NOTICEDATE,Iskcb
0,沪市,600547,山东黄金,10.0,0.0,10.0,3.0,0.00383975425572763,2009-02-28T00:00:00,-5.1746,2.7215,2009-04-24T00:00:00,2009-04-27T00:00:00,27.4538,3793.0,355768102.0,1.8051,6.3553,2.356531,2.651984,72.4575,2008-12-31T00:00:00,2009-02-28T00:00:00,实施分配,"10转10.00派3.00元(含税,扣税后2.70元)",21209,2012-07-13T13:22:45,2014-03-31T17:41:10,2009-04-21T00:00:00,
1,沪市,600141,兴发集团,2.0,0.0,2.0,2.5,0.0161082474226804,2009-02-28T00:00:00,2.4017,-6.8986,2009-05-04T00:00:00,2009-05-05T00:00:00,10.8747,3785.0,252000000.0,1.1713,4.47,1.545947,1.562044,283.7791,2008-12-31T00:00:00,2009-02-28T00:00:00,实施分配,"10转2.00派2.50元(含税,扣税后2.25元)",21174,2012-07-13T13:24:06,2014-03-31T17:41:11,2009-04-28T00:00:00,
2,沪市,600823,世茂股份,0.0,0.0,0.0,0.3,0.00225563909774436,2009-02-28T00:00:00,7.1247,15.7528,2009-05-08T00:00:00,2009-05-11T00:00:00,5.0,3779.0,478355338.0,0.13,8.37,0.42329,0.625525,-8.0266,2008-12-31T00:00:00,2009-02-28T00:00:00,实施分配,"10派0.30元(含税,扣税后0.27元)",21145,2012-07-13T13:06:39,2014-03-31T17:41:05,2009-05-05T00:00:00,
3,沪市,600322,天房发展,0.0,0.0,0.0,0.3,0.00539568345323741,2009-02-28T00:00:00,4.9261,13.2383,2009-05-11T00:00:00,2009-05-12T00:00:00,-0.346,3778.0,1105700000.0,0.1,3.35,1.994431,0.154872,117.0475,2008-12-31T00:00:00,2009-02-28T00:00:00,实施分配,"10派0.30元(含税,扣税后0.27元)",21137,2012-07-13T13:04:53,2014-03-31T17:41:02,2009-05-05T00:00:00,
4,深主板,000630,铜陵有色,0.0,0.0,0.0,1.0,0.00631313131313131,2009-02-28T00:00:00,5.1422,10.2296,2009-05-12T00:00:00,2009-05-13T00:00:00,23.533,3777.0,1294362109.0,0.49,4.49,1.484955,1.623133,-38.2006,2008-12-31T00:00:00,2009-02-28T00:00:00,实施分配,"10派1.00元(含税,扣税后0.90元)",21130,2012-07-13T13:12:10,2014-03-31T17:41:06,2009-05-06T00:00:00,
5,沪市,600572,康恩贝,0.0,0.0,0.0,1.2,0.0155440414507772,2009-02-28T00:00:00,12.215,8.1232,2009-05-12T00:00:00,2009-05-13T00:00:00,7.4468,3777.0,324000000.0,0.28,2.81,0.946534,0.631323,-13.3402,2008-12-31T00:00:00,2009-02-28T00:00:00,实施分配,"10派1.20元(含税,扣税后1.08元)",21126,2012-07-13T13:05:24,2014-03-31T17:41:04,2009-05-07T00:00:00,
6,沪市,600589,广东榕泰,0.0,0.0,0.0,0.2,0.0032520325203252,2009-02-28T00:00:00,3.4404,7.5175,2009-05-13T00:00:00,2009-05-14T00:00:00,0.6483,3776.0,533250000.0,0.22,2.27,0.434636,0.667621,-15.4249,2008-12-31T00:00:00,2009-02-28T00:00:00,实施分配,"10派0.20元(含税,扣税后0.18元)",21123,2012-07-13T13:13:56,2014-03-31T17:41:09,2009-05-07T00:00:00,
7,沪市,600725,ST云维,0.0,0.0,0.0,2.0,0.012911555842479,2009-02-28T00:00:00,-12.6482,14.7407,2009-05-14T00:00:00,2009-05-15T00:00:00,-12.4744,3775.0,290129478.0,0.46,5.477,3.082247,0.963974,-36.4153,2008-12-31T00:00:00,2009-02-28T00:00:00,实施分配,"10派2.00元(含税,扣税后1.80元)",21108,2012-07-13T12:49:34,2014-03-31T17:40:58,2009-05-09T00:00:00,
8,沪市,600495,晋西车轴,0.0,0.0,0.0,1.0,0.00533902829684997,2009-02-28T00:00:00,-4.0933,-1.3172,2009-05-15T00:00:00,2009-05-18T00:00:00,2.4881,3772.0,167910000.0,0.86,5.26,3.110289,1.67143,46.5067,2008-12-31T00:00:00,2009-02-28T00:00:00,实施分配,"10派1.00元(含税,扣税后0.90元)",21087,2012-07-13T13:38:13,2014-03-31T17:41:17,2009-05-12T00:00:00,
9,沪市,600981,汇鸿集团,0.0,0.0,0.0,0.5,0.0087260034904014,2009-02-28T00:00:00,1.3857,6.7039,2009-05-15T00:00:00,2009-05-18T00:00:00,6.4401,3772.0,516106500.0,0.1,1.57,0.118746,0.215664,-15.0661,2008-12-31T00:00:00,2009-02-28T00:00:00,实施分配,"10派0.50元(含税,扣税后0.45元)",21079,2012-07-13T13:29:27,2014-03-31T17:41:13,2009-05-12T00:00:00,
