,代码,名称,股息率,送转总比例,送股比例,转股比例,现金分红比例,预案公告日
11865,2232,启明信息,6.83760683760684e-05,0.0,-,-,0.02,2015
10227,600664,哈药股份,0.0728332119446468,0.0,-,-,10.0,2015
10343,2545,东方铁塔,0.0558867362146051,20.0,-,20.0,15.0,2015
11987,600507,方大特钢,0.0544588155207624,0.0,-,-,8.0,2015
11329,600104,上汽集团,0.0530828909759085,0.0,-,-,13.0,2015
10613,651,格力电器,0.0512908189434091,10.0,-,10.0,30.0,2015
11537,600377,宁沪高速,0.0489690721649485,0.0,-,-,3.8,2015
11140,830,鲁西化工,0.0458715596330275,0.0,-,-,3.0,2015
11955,600000,浦发银行,0.0443468072642062,0.0,-,-,7.57,2015
11704,601398,工商银行,0.0441105354058722,0.0,-,-,2.554,2015
11794,601288,农业银行,0.0440677966101695,0.0,-,-,1.82,2015
11608,601939,建设银行,0.0422159887798036,0.0,-,-,3.01,2015
10513,809,铁岭新城,0.04149377593361,5.0,5.0,-,1.0,2015
12223,600660,福耀玻璃,0.0413223140495868,0.0,-,-,7.5,2015
11866,600548,深高速,0.040650406504065,0.0,-,-,4.5,2015
11287,2003,伟星股份,0.0388852883992223,2.0,-,2.0,6.0,2015
11756,601988,中国银行,0.0379241516966068,0.0,-,-,1.9,2015
11665,601328,交通银行,0.0361930294906166,0.0,-,-,2.7,2015
11958,600036,招商银行,0.0359249329758713,0.0,-,-,6.7,2015
11736,895,双汇发展,0.0352795031055901,5.0,-,5.0,14.2,2015
10535,601006,大秦铁路,0.0336370007007708,0.0,-,-,4.8,2015
11385,12,南玻A,0.0335570469798658,0.0,-,-,5.0,2015
11511,2,万科A,0.0325732899022801,0.0,-,-,5.0,2015
11574,601818,光大银行,0.032404181184669,0.0,-,-,1.86,2015
12189,690,宝新能源,0.0320855614973262,0.0,-,-,3.0,2015
10350,601009,南京银行,0.0319488817891374,0.0,-,-,5.0,2015
11354,600578,京能电力,0.0315955766192733,0.0,-,-,2.0,2015
11524,568,泸州老窖,0.0315084679007483,0.0,-,-,8.0,2015
11795,600011,华能国际,0.0312243221035333,0.0,-,-,3.8,2015
11499,600795,国电电力,0.0303643724696356,0.0,-,-,1.5,2015
11406,600066,宇通客车,0.0301386377335744,5.0,-,5.0,10.0,2015
11369,2242,九阳股份,0.029925187032419,0.0,-,-,6.0,2015
11874,601088,中国神华,0.0292028413575375,0.0,-,-,7.4,2015
10308,600999,招商证券,0.0288659793814433,0.0,-,-,5.04,2015
11262,2300,太阳电缆,0.0288362512873326,0.0,-,-,2.8,2015
12266,2206,海利得,0.028735632183908,0.0,-,-,3.0,2015
10649,600863,内蒙华电,0.0286168521462639,0.0,-,-,1.8,2015
11717,600741,华域汽车,0.0286028602860286,0.0,-,-,5.2,2015
10577,601166,兴业银行,0.0283864541832669,0.0,-,-,5.7,2015
11470,600649,城投控股,0.0276625172890733,0.0,-,-,2.0,2015
12028,550,江铃汽车,0.0268400664084117,0.0,-,-,9.7,2015
11374,333,美的集团,0.0267022696929239,0.0,-,-,10.0,2015
10737,601566,九牧王,0.026581605528974,0.0,-,-,10.0,2015
11937,600720,祁连山,0.0265700483091788,0.0,-,-,2.2,2015
11036,600015,华夏银行,0.026508226691042,2.0,-,2.0,4.35,2015
11838,600585,海螺水泥,0.0261254019292605,0.0,-,-,6.5,2015
11471,600027,华电国际,0.0260617760617761,0.0,-,-,2.7,2015
11466,726,鲁泰A,0.0258397932816537,0.0,-,-,5.0,2015
10486,600900,长江电力,0.0257365919891378,0.0,-,-,3.791,2015
12004,2233,塔牌集团,0.0257116620752984,0.0,-,-,2.8,2015
10274,2394,联发股份,0.024896265560166,0.0,-,-,3.0,2015
10571,2694,顾地科技,0.0242811188811189,0.0,-,-,3.4722,2015
11258,600023,浙能电力,0.0233426704014939,0.0,-,-,2.5,2015
11618,600350,山东高速,0.0230130486358244,0.0,-,-,1.94,2015
12179,600398,海澜之家,0.0228777844671884,0.0,-,-,3.8,2015
11710,300293,蓝英装备,0.0228013029315961,0.0,-,-,3.5,2015
12284,2014,永新股份,0.0225563909774436,0.0,-,-,3.0,2015
11043,600312,平高电气,0.0221434898139947,0.0,-,-,5.0,2015
11548,2561,徐家汇,0.0220723482526058,0.0,-,-,3.6,2015
10570,600642,申能股份,0.0219298245614035,0.0,-,-,2.0,2015
10631,2142,宁波银行,0.0217181467181467,2.0,-,2.0,4.5,2015
11889,601899,紫金矿业,0.021680216802168,0.0,-,-,0.8,2015
11956,600252,中恒集团,0.0214132762312634,0.0,-,-,6.0,2015
11826,2670,国盛金控,0.0213903743315508,0.0,-,-,4.0,2015
11609,2202,金风科技,0.0213789417423838,0.0,-,-,4.0,2015
10389,603989,艾华集团,0.0212720697723889,5.0,-,5.0,10.0,2015
